카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2021년04월_계_총인구수,"1,185,532","271,170","23,459","43,236","29,434","29,682","42,278","20,023","19,610","28,408","18,925","16,115","365,778","10,246","23,574","19,091","40,622","37,743","24,525","45,622","46,430","24,835","48,989","27,368","16,733","182,377","5,932","10,494","18,603","22,600","26,409","11,071","20,324","17,081","39,192","10,671","366,207","18,015","14,935","36,154","21,884","38,889","35,440","26,394","32,916","31,250","28,023","52,998","29,309"
2021년04월_계_연령구간인구수,"1,185,532","271,170","23,459","43,236","29,434","29,682","42,278","20,023","19,610","28,408","18,925","16,115","365,778","10,246","23,574","19,091","40,622","37,743","24,525","45,622","46,430","24,835","48,989","27,368","16,733","182,377","5,932","10,494","18,603","22,600","26,409","11,071","20,324","17,081","39,192","10,671","366,207","18,015","14,935","36,154","21,884","38,889","35,440","26,394","32,916","31,250","28,023","52,998","29,309"
2021년04월_계_0~9세,"94,805","17,609","1,322","3,033","2,430","1,859","3,517",826,"1,118","1,443","1,374",687,"31,392",836,"1,127",912,"3,065","2,332","1,369","4,817","6,906","1,276","5,492","1,617","1,643","10,361",239,421,"1,542","1,466","1,943",392,872,"1,140","2,085",261,"35,443","1,092",850,"2,768","1,302","4,318","3,485","2,517","2,550","3,392","4,263","5,484","3,422"
2021년04월_계_10~19세,"117,430","28,305","1,814","4,406","3,465","3,112","6,805","1,183","1,732","2,715","2,031","1,042","33,028",601,"1,580","1,523","3,508","3,136","2,027","4,944","4,633","1,695","5,386","2,205","1,790","14,203",314,476,"1,313","2,071","2,908",690,"1,360","1,773","2,838",460,"41,894","1,833","1,501","4,352","2,228","3,638","4,750","2,135","4,307","4,022","3,238","6,826","3,064"
2021년04월_계_20~29세,"186,516","43,729","3,388","10,286","4,055","4,315","6,226","2,666","2,981","4,283","2,897","2,632","53,874","1,496","3,590","2,701","6,263","5,771","3,893","6,150","5,012","5,082","6,586","5,309","2,021","30,218",885,"1,799","2,583","3,145","4,084","1,354","3,235","3,618","8,023","1,492","58,695","3,079","2,464","6,450","3,756","6,504","4,886","5,522","6,597","4,484","3,327","8,434","3,192"
2021년04월_계_30~39세,"177,506","32,149","2,975","5,738","3,422","3,608","4,365","2,416","2,593","3,217","2,002","1,813","56,995","1,679","3,526","2,542","5,677","5,222","3,221","6,525","8,938","4,462","7,743","5,232","2,228","26,591",928,"1,667","3,153","2,571","3,424","1,158","2,878","2,205","7,294","1,313","61,771","2,362","1,900","5,512","3,189","7,240","5,369","6,674","4,412","4,877","5,483","9,426","5,327"
2021년04월_계_40~49세,"201,444","44,353","3,627","6,396","5,294","4,970","8,798","2,882","3,060","4,366","2,840","2,120","61,108","1,454","3,654","3,016","6,079","5,968","3,638","8,127","8,538","3,676","8,960","4,863","3,135","28,136",844,"1,427","2,801","3,682","4,402","1,582","2,955","2,699","6,316","1,428","67,847","2,907","2,377","6,756","3,677","7,302","6,981","4,193","6,031","5,777","5,579","10,638","5,629"
2021년04월_계_50~59세,"196,348","48,647","4,332","6,715","5,301","5,320","7,503","3,902","3,645","5,389","3,815","2,725","61,656","1,859","4,225","3,386","7,453","6,685","4,772","7,639","6,057","4,136","7,902","4,630","2,912","31,205","1,071","1,908","3,021","4,020","5,046","2,044","3,616","2,680","5,762","2,037","54,840","3,278","2,742","5,619","3,779","4,785","5,727","3,180","5,391","5,169","3,680","7,300","4,190"
2021년04월_계_60~69세,"125,117","31,703","3,429","3,904","3,104","3,497","2,919","3,560","2,635","3,877","2,142","2,636","41,424","1,319","3,444","2,878","5,228","5,127","3,420","4,409","3,958","2,881","4,656","2,240","1,864","23,721",916,"1,608","2,365","3,149","2,704","2,075","3,015","1,775","4,127","1,987","28,269","2,144","1,835","2,854","2,389","3,137","2,544","1,262","2,284","2,299","1,615","3,145","2,761"
2021년04월_계_70~79세,"56,593","15,698","1,676","1,708","1,503","1,956","1,338","1,772","1,207","1,980","1,012","1,546","17,435",667,"1,623","1,470","2,176","2,406","1,426","1,939","1,596","1,097","1,517",763,755,"12,064",486,797,"1,298","1,714","1,193","1,189","1,633",782,"1,836","1,136","11,396",911,836,"1,180","1,002","1,311","1,056",575,813,815,544,"1,187","1,166"
