,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년11월_계_총인구수,"142,768","6,558","7,078","4,229","52,926","30,402","2,351","35,290","3,934"
2021년11월_계_연령구간인구수,"142,768","6,558","7,078","4,229","52,926","30,402","2,351","35,290","3,934"
2021년11월_계_0~9세,"19,795",179,474,78,"9,703","4,872",53,"4,316",120
2021년11월_계_10~19세,"12,848",265,467,122,"4,652","4,451",58,"2,697",136
2021년11월_계_20~29세,"12,615",586,837,326,"4,522","2,363",179,"3,497",305
2021년11월_계_30~39세,"26,960",567,873,334,"12,996","4,613",191,"7,023",363
2021년11월_계_40~49세,"25,867",662,909,332,"9,984","6,887",193,"6,465",435
2021년11월_계_50~59세,"17,170","1,188","1,054",790,"4,858","3,393",427,"4,666",794
2021년11월_계_60~69세,"17,031","1,671","1,366","1,322","4,176","2,582",619,"4,273","1,022"
2021년11월_계_70~79세,"7,160",972,710,618,"1,431",897,403,"1,645",484
2021년11월_계_80~89세,"2,830",406,334,258,514,287,194,609,228
2021년11월_계_90~99세,469,60,52,46,81,56,32,99,43
2021년11월_계_100세 이상,23,2,2,3,9,1,2,0,4
2021년11월_남_총인구수,"73,971","3,602","3,974","2,264","26,647","15,164","1,252","19,005","2,063"
2021년11월_남_연령구간인구수,"73,971","3,602","3,974","2,264","26,647","15,164","1,252","19,005","2,063"
2021년11월_남_0~9세,"10,269",84,257,44,"4,982","2,542",25,"2,270",65
2021년11월_남_10~19세,"6,534",143,249,62,"2,282","2,275",35,"1,422",66
2021년11월_남_20~29세,"6,908",344,553,211,"2,267","1,223",103,"2,017",190
2021년11월_남_30~39세,"13,712",331,513,200,"6,374","2,081",117,"3,873",223
2021년11월_남_40~49세,"14,360",417,553,213,"5,468","3,496",122,"3,832",259
2021년11월_남_50~59세,"8,918",674,609,426,"2,346","1,742",244,"2,461",416
2021년11월_남_60~69세,"8,605",932,742,716,"1,999","1,242",325,"2,133",516
2021년11월_남_70~79세,"3,588",513,366,303,737,443,206,779,241
2021년11월_남_80~89세,980,152,126,79,173,103,68,198,81
2021년11월_남_90~99세,91,12,5,9,16,16,7,20,6
2021년11월_남_100세 이상,6,0,1,1,3,1,0,0,0
2021년11월_여_총인구수,"68,797","2,956","3,104","1,965","26,279","15,238","1,099","16,285","1,871"
2021년11월_여_연령구간인구수,"68,797","2,956","3,104","1,965","26,279","15,238","1,099","16,285","1,871"
2021년11월_여_0~9세,"9,526",95,217,34,"4,721","2,330",28,"2,046",55
2021년11월_여_10~19세,"6,314",122,218,60,"2,370","2,176",23,"1,275",70
2021년11월_여_20~29세,"5,707",242,284,115,"2,255","1,140",76,"1,480",115
2021년11월_여_30~39세,"13,248",236,360,134,"6,622","2,532",74,"3,150",140
2021년11월_여_40~49세,"11,507",245,356,119,"4,516","3,391",71,"2,633",176
2021년11월_여_50~59세,"8,252",514,445,364,"2,512","1,651",183,"2,205",378
2021년11월_여_60~69세,"8,426",739,624,606,"2,177","1,340",294,"2,140",506
2021년11월_여_70~79세,"3,572",459,344,315,694,454,197,866,243
2021년11월_여_80~89세,"1,850",254,208,179,341,184,126,411,147
2021년11월_여_90~99세,378,48,47,37,65,40,25,79,37
2021년11월_여_100세 이상,17,2,1,2,6,0,2,0,4
