카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년05월_계_총인구수,"62,344","19,403","9,688","13,972","5,686","9,664","3,931"
2021년05월_계_연령구간인구수,"62,344","19,403","9,688","13,972","5,686","9,664","3,931"
2021년05월_계_0~9세,"3,272","1,119",536,622,157,687,151
2021년05월_계_10~19세,"4,582","1,652",771,976,326,658,199
2021년05월_계_20~29세,"6,219","2,200",927,"1,285",533,"1,021",253
2021년05월_계_30~39세,"5,596","1,839",831,"1,146",385,"1,132",263
2021년05월_계_40~49세,"7,859","2,634","1,129","1,915",558,"1,221",402
2021년05월_계_50~59세,"11,163","3,379","1,716","2,636","1,109","1,625",698
2021년05월_계_60~69세,"12,538","3,400","2,067","2,798","1,433","1,831","1,009"
2021년05월_계_70~79세,"6,819","1,910","1,003","1,636",746,954,570
2021년05월_계_80~89세,"3,742","1,107",592,840,386,483,334
2021년05월_계_90~99세,518,147,112,114,51,47,47
2021년05월_계_100세 이상,36,16,4,4,2,5,5
2021년05월_남_총인구수,"32,125","9,874","4,975","7,150","2,975","5,140","2,011"
2021년05월_남_연령구간인구수,"32,125","9,874","4,975","7,150","2,975","5,140","2,011"
2021년05월_남_0~9세,"1,638",570,262,317,77,348,64
2021년05월_남_10~19세,"2,400",895,373,510,168,346,108
2021년05월_남_20~29세,"3,586","1,213",514,732,354,631,142
2021년05월_남_30~39세,"3,040",966,461,617,215,632,149
2021년05월_남_40~49세,"4,232","1,415",577,"1,026",321,662,231
2021년05월_남_50~59세,"5,924","1,785",922,"1,418",562,853,384
2021년05월_남_60~69세,"6,473","1,707","1,088","1,408",750,"1,004",516
2021년05월_남_70~79세,"3,234",869,506,757,374,450,278
2021년05월_남_80~89세,"1,444",407,239,331,141,200,126
2021년05월_남_90~99세,140,43,30,32,12,12,11
2021년05월_남_100세 이상,14,4,3,2,1,2,2
2021년05월_여_총인구수,"30,219","9,529","4,713","6,822","2,711","4,524","1,920"
2021년05월_여_연령구간인구수,"30,219","9,529","4,713","6,822","2,711","4,524","1,920"
2021년05월_여_0~9세,"1,634",549,274,305,80,339,87
2021년05월_여_10~19세,"2,182",757,398,466,158,312,91
2021년05월_여_20~29세,"2,633",987,413,553,179,390,111
2021년05월_여_30~39세,"2,556",873,370,529,170,500,114
2021년05월_여_40~49세,"3,627","1,219",552,889,237,559,171
2021년05월_여_50~59세,"5,239","1,594",794,"1,218",547,772,314
2021년05월_여_60~69세,"6,065","1,693",979,"1,390",683,827,493
2021년05월_여_70~79세,"3,585","1,041",497,879,372,504,292
2021년05월_여_80~89세,"2,298",700,353,509,245,283,208
2021년05월_여_90~99세,378,104,82,82,39,35,36
2021년05월_여_100세 이상,22,12,1,2,1,3,3
