카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년05월_계_총인구수,"166,098","9,272","30,418","5,521","9,647","2,441","3,727","3,600","5,163","5,183","15,982","12,118","23,747","20,598","18,681"
2020년05월_계_연령구간인구수,"166,098","9,272","30,418","5,521","9,647","2,441","3,727","3,600","5,163","5,183","15,982","12,118","23,747","20,598","18,681"
2020년05월_계_0~9세,"16,113",361,"4,149",202,471,59,112,111,189,208,"1,596","1,293","2,559","2,506","2,297"
2020년05월_계_10~19세,"15,667",572,"2,528",285,495,100,192,185,333,355,"1,807","1,019","2,466","2,513","2,817"
2020년05월_계_20~29세,"16,266",748,"2,447",392,952,144,316,283,387,399,"1,479","1,080","3,331","2,164","2,144"
2020년05월_계_30~39세,"23,443",764,"5,809",337,"1,145",133,229,239,300,332,"1,827","2,111","4,382","3,107","2,728"
2020년05월_계_40~49세,"26,491","1,141","5,282",575,"1,338",223,337,381,571,584,"2,596","2,019","4,056","3,697","3,691"
2020년05월_계_50~59세,"25,754","1,615","4,390",984,"1,932",367,637,672,974,909,"2,535","1,797","3,245","3,010","2,687"
2020년05월_계_60~69세,"20,260","1,847","3,095","1,166","1,606",602,830,760,"1,016","1,014","1,973","1,307","1,988","1,871","1,185"
2020년05월_계_70~79세,"13,038","1,299","1,624",854,"1,016",477,599,546,770,794,"1,298",877,"1,144","1,052",688
2020년05월_계_80~89세,"7,902",798,962,630,606,303,409,359,531,516,763,541,503,598,383
2020년05월_계_90~99세,"1,096",112,125,93,81,30,64,62,87,70,100,71,72,69,60
2020년05월_계_100세 이상,68,15,7,3,5,3,2,2,5,2,8,3,1,11,1
2020년05월_남_총인구수,"87,974","4,887","16,839","2,802","5,570","1,225","1,909","1,852","2,616","2,616","8,157","6,876","12,537","10,476","9,612"
2020년05월_남_연령구간인구수,"87,974","4,887","16,839","2,802","5,570","1,225","1,909","1,852","2,616","2,616","8,157","6,876","12,537","10,476","9,612"
2020년05월_남_0~9세,"8,238",202,"2,156",103,245,34,51,55,95,101,786,649,"1,289","1,292","1,180"
2020년05월_남_10~19세,"8,205",316,"1,344",146,262,57,99,96,175,198,936,512,"1,264","1,298","1,502"
2020년05월_남_20~29세,"9,508",453,"1,401",227,632,87,194,174,229,229,859,700,"1,909","1,204","1,210"
2020년05월_남_30~39세,"13,276",458,"3,282",190,786,84,127,140,170,194,952,"1,344","2,550","1,589","1,410"
2020년05월_남_40~49세,"14,894",699,"3,226",335,905,137,198,238,336,336,"1,386","1,274","2,133","1,898","1,793"
2020년05월_남_50~59세,"14,414",922,"2,624",568,"1,168",183,350,362,539,494,"1,392","1,079","1,701","1,573","1,459"
2020년05월_남_60~69세,"10,247",896,"1,640",573,849,303,430,371,492,505,960,707,"1,000",928,593
2020년05월_남_70~79세,"6,096",600,802,408,478,232,290,277,374,344,594,401,492,483,321
2020년05월_남_80~89세,"2,811",310,325,231,219,100,160,119,180,193,269,193,182,199,131
2020년05월_남_90~99세,271,29,39,21,24,7,10,18,25,21,21,17,17,10,12
2020년05월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년05월_여_총인구수,"78,124","4,385","13,579","2,719","4,077","1,216","1,818","1,748","2,547","2,567","7,825","5,242","11,210","10,122","9,069"
2020년05월_여_연령구간인구수,"78,124","4,385","13,579","2,719","4,077","1,216","1,818","1,748","2,547","2,567","7,825","5,242","11,210","10,122","9,069"
2020년05월_여_0~9세,"7,875",159,"1,993",99,226,25,61,56,94,107,810,644,"1,270","1,214","1,117"
2020년05월_여_10~19세,"7,462",256,"1,184",139,233,43,93,89,158,157,871,507,"1,202","1,215","1,315"
2020년05월_여_20~29세,"6,758",295,"1,046",165,320,57,122,109,158,170,620,380,"1,422",960,934
2020년05월_여_30~39세,"10,167",306,"2,527",147,359,49,102,99,130,138,875,767,"1,832","1,518","1,318"
2020년05월_여_40~49세,"11,597",442,"2,056",240,433,86,139,143,235,248,"1,210",745,"1,923","1,799","1,898"
2020년05월_여_50~59세,"11,340",693,"1,766",416,764,184,287,310,435,415,"1,143",718,"1,544","1,437","1,228"
2020년05월_여_60~69세,"10,013",951,"1,455",593,757,299,400,389,524,509,"1,013",600,988,943,592
2020년05월_여_70~79세,"6,942",699,822,446,538,245,309,269,396,450,704,476,652,569,367
2020년05월_여_80~89세,"5,091",488,637,399,387,203,249,240,351,323,494,348,321,399,252
2020년05월_여_90~99세,825,83,86,72,57,23,54,44,62,49,79,54,55,59,48
2020년05월_여_100세 이상,54,13,7,3,3,2,2,0,4,1,6,3,1,9,0
