,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년10월_계_총인구수,"62,802","7,150","6,276","7,915","10,784","3,796","1,709","3,030","8,152","4,070","6,826","3,094"
2020년10월_계_연령구간인구수,"62,802","7,150","6,276","7,915","10,784","3,796","1,709","3,030","8,152","4,070","6,826","3,094"
2020년10월_계_0~9세,"3,859",486,267,371,874,142,97,86,515,311,604,106
2020년10월_계_10~19세,"5,107",611,497,630,924,221,114,175,728,416,581,210
2020년10월_계_20~29세,"6,646",780,726,812,"1,208",421,173,280,842,468,622,314
2020년10월_계_30~39세,"6,988",818,573,792,"1,486",371,179,227,924,486,880,252
2020년10월_계_40~49세,"10,094","1,221",912,"1,239","1,818",527,267,387,"1,392",730,"1,170",431
2020년10월_계_50~59세,"10,154","1,190","1,081","1,296","1,631",696,254,521,"1,287",714,"1,029",455
2020년10월_계_60~69세,"9,955","1,045","1,081","1,350","1,515",702,296,620,"1,222",540,992,592
2020년10월_계_70~79세,"6,675",635,767,961,959,450,209,449,846,285,622,492
2020년10월_계_80~89세,"2,809",303,305,410,314,243,102,245,331,91,267,198
2020년10월_계_90~99세,442,51,56,48,44,23,17,34,57,24,53,35
2020년10월_계_100세 이상,73,10,11,6,11,0,1,6,8,5,6,9
2020년10월_남_총인구수,"31,701","3,675","3,164","3,931","5,350","1,946",837,"1,556","4,165","2,101","3,410","1,566"
2020년10월_남_연령구간인구수,"31,701","3,675","3,164","3,931","5,350","1,946",837,"1,556","4,165","2,101","3,410","1,566"
2020년10월_남_0~9세,"2,049",268,147,194,442,74,50,50,287,164,317,56
2020년10월_남_10~19세,"2,638",315,261,306,489,109,51,80,376,204,323,124
2020년10월_남_20~29세,"3,612",435,386,438,641,237,100,170,489,233,320,163
2020년10월_남_30~39세,"3,701",418,303,437,755,205,97,130,500,273,442,141
2020년10월_남_40~49세,"5,444",661,474,690,951,301,141,230,728,391,630,247
2020년10월_남_50~59세,"5,397",663,590,675,791,384,130,298,690,389,536,251
2020년10월_남_60~69세,"4,793",530,525,636,703,358,148,292,579,268,467,287
2020년10월_남_70~79세,"2,954",276,346,404,446,190,84,208,369,137,282,212
2020년10월_남_80~89세,980,93,117,139,118,78,31,87,129,33,86,69
2020년10월_남_90~99세,110,13,13,11,9,10,5,9,16,6,7,11
2020년10월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년10월_여_총인구수,"31,101","3,475","3,112","3,984","5,434","1,850",872,"1,474","3,987","1,969","3,416","1,528"
2020년10월_여_연령구간인구수,"31,101","3,475","3,112","3,984","5,434","1,850",872,"1,474","3,987","1,969","3,416","1,528"
2020년10월_여_0~9세,"1,810",218,120,177,432,68,47,36,228,147,287,50
2020년10월_여_10~19세,"2,469",296,236,324,435,112,63,95,352,212,258,86
2020년10월_여_20~29세,"3,034",345,340,374,567,184,73,110,353,235,302,151
2020년10월_여_30~39세,"3,287",400,270,355,731,166,82,97,424,213,438,111
2020년10월_여_40~49세,"4,650",560,438,549,867,226,126,157,664,339,540,184
2020년10월_여_50~59세,"4,757",527,491,621,840,312,124,223,597,325,493,204
2020년10월_여_60~69세,"5,162",515,556,714,812,344,148,328,643,272,525,305
2020년10월_여_70~79세,"3,721",359,421,557,513,260,125,241,477,148,340,280
2020년10월_여_80~89세,"1,829",210,188,271,196,165,71,158,202,58,181,129
2020년10월_여_90~99세,332,38,43,37,35,13,12,25,41,18,46,24
2020년10월_여_100세 이상,50,7,9,5,6,0,1,4,6,2,6,4
