카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년01월_계_총인구수,"442,471","17,040","25,021","15,477","15,777","24,882","15,369","16,258","18,881","23,532","15,599","26,310","36,851","16,663","40,180","27,272","20,004","20,326","13,739","17,659","35,631"
2020년01월_계_연령구간인구수,"442,471","17,040","25,021","15,477","15,777","24,882","15,369","16,258","18,881","23,532","15,599","26,310","36,851","16,663","40,180","27,272","20,004","20,326","13,739","17,659","35,631"
2020년01월_계_0~9세,"30,758",868,"1,308",630,903,"2,196",510,"1,024","1,504","1,607",731,"1,881","4,285","1,418","2,928","2,263","1,225","1,021",589,"1,760","2,107"
2020년01월_계_10~19세,"38,948","1,266","2,085","1,002","1,483","2,972",936,"1,048","1,881","1,985","1,044","2,313","4,896","1,426","3,835","2,721","1,528","1,655",966,"1,504","2,402"
2020년01월_계_20~29세,"66,322","2,769","4,438","4,281","2,151","2,983","4,840","2,875","2,354","3,195","2,986","3,282","3,485","2,114","5,832","3,072","3,518","2,995","1,778","2,247","5,127"
2020년01월_계_30~39세,"61,794","2,571","3,658","2,544","2,048","3,138","2,156","2,751","2,762","3,132","1,976","3,564","5,109","2,567","5,334","3,709","2,807","2,455","1,593","2,854","5,066"
2020년01월_계_40~49세,"72,461","2,657","4,028","2,117","2,372","4,719","1,792","2,521","3,363","3,726","2,051","4,425","8,114","2,898","6,732","4,770","2,974","3,025","2,018","2,818","5,341"
2020년01월_계_50~59세,"69,926","2,740","3,919","1,867","2,820","4,021","2,132","2,584","2,845","3,813","2,408","4,213","4,787","2,655","6,410","4,289","3,049","3,907","2,564","2,846","6,057"
2020년01월_계_60~69세,"53,168","1,979","2,735","1,431","2,136","2,609","1,460","1,839","2,135","3,265","2,138","3,502","3,195","2,025","4,572","3,439","2,526","2,880","2,147","2,065","5,090"
2020년01월_계_70~79세,"33,351","1,393","1,924","1,096","1,258","1,453","1,034","1,073","1,399","1,929","1,497","2,192","2,050","1,067","2,889","2,121","1,604","1,650","1,435","1,116","3,171"
2020년01월_계_80~89세,"13,458",657,789,423,531,678,444,455,558,758,641,795,789,420,"1,385",771,671,643,542,385,"1,123"
2020년01월_계_90~99세,"1,921",126,105,68,63,102,52,72,67,105,118,124,116,54,221,93,91,81,80,52,131
2020년01월_계_100세 이상,364,14,32,18,12,11,13,16,13,17,9,19,25,19,42,24,11,14,27,12,16
2020년01월_남_총인구수,"214,247","8,015","12,006","6,553","7,371","11,888","7,800","7,864","9,172","11,480","7,764","12,765","17,555","8,075","19,790","13,201","9,680","9,971","6,829","8,804","17,664"
2020년01월_남_연령구간인구수,"214,247","8,015","12,006","6,553","7,371","11,888","7,800","7,864","9,172","11,480","7,764","12,765","17,555","8,075","19,790","13,201","9,680","9,971","6,829","8,804","17,664"
2020년01월_남_0~9세,"15,730",425,701,308,423,"1,130",270,523,802,832,369,978,"2,213",748,"1,490","1,133",640,491,289,884,"1,081"
2020년01월_남_10~19세,"19,867",672,"1,089",461,693,"1,480",498,521,933,"1,048",555,"1,219","2,396",761,"2,054","1,321",766,858,488,771,"1,283"
2020년01월_남_20~29세,"32,335","1,284","2,022","1,408","1,011","1,490","2,577","1,399","1,204","1,617","1,681","1,671","1,672","1,013","3,081","1,487","1,555","1,572",920,"1,133","2,538"
2020년01월_남_30~39세,"30,735","1,203","1,794","1,181","1,005","1,467","1,190","1,401","1,338","1,623","1,105","1,733","2,293","1,256","2,647","1,836","1,448","1,328",845,"1,403","2,639"
2020년01월_남_40~49세,"35,788","1,286","2,008","1,005","1,117","2,224",912,"1,270","1,654","1,831","1,013","2,200","3,926","1,368","3,319","2,374","1,513","1,484","1,088","1,444","2,752"
2020년01월_남_50~59세,"34,412","1,296","1,962",901,"1,356","1,936","1,049","1,227","1,409","1,824","1,173","2,033","2,416","1,322","3,225","2,144","1,541","1,876","1,300","1,450","2,972"
2020년01월_남_60~69세,"25,075",937,"1,285",636,994,"1,249",687,878,991,"1,526",960,"1,610","1,440",974,"2,158","1,628","1,227","1,383","1,020","1,015","2,477"
2020년01월_남_70~79세,"14,513",599,806,464,550,622,430,457,609,837,625,958,888,455,"1,234",957,710,711,638,528,"1,435"
2020년01월_남_80~89세,"5,199",267,303,164,195,261,171,169,213,311,252,323,279,157,504,296,261,241,219,162,451
2020년01월_남_90~99세,498,38,28,20,22,26,12,14,18,29,29,37,25,16,64,19,18,23,19,12,29
2020년01월_남_100세 이상,95,8,8,5,5,3,4,5,1,2,2,3,7,5,14,6,1,4,3,2,7
2020년01월_여_총인구수,"228,224","9,025","13,015","8,924","8,406","12,994","7,569","8,394","9,709","12,052","7,835","13,545","19,296","8,588","20,390","14,071","10,324","10,355","6,910","8,855","17,967"
2020년01월_여_연령구간인구수,"228,224","9,025","13,015","8,924","8,406","12,994","7,569","8,394","9,709","12,052","7,835","13,545","19,296","8,588","20,390","14,071","10,324","10,355","6,910","8,855","17,967"
2020년01월_여_0~9세,"15,028",443,607,322,480,"1,066",240,501,702,775,362,903,"2,072",670,"1,438","1,130",585,530,300,876,"1,026"
2020년01월_여_10~19세,"19,081",594,996,541,790,"1,492",438,527,948,937,489,"1,094","2,500",665,"1,781","1,400",762,797,478,733,"1,119"
2020년01월_여_20~29세,"33,987","1,485","2,416","2,873","1,140","1,493","2,263","1,476","1,150","1,578","1,305","1,611","1,813","1,101","2,751","1,585","1,963","1,423",858,"1,114","2,589"
2020년01월_여_30~39세,"31,059","1,368","1,864","1,363","1,043","1,671",966,"1,350","1,424","1,509",871,"1,831","2,816","1,311","2,687","1,873","1,359","1,127",748,"1,451","2,427"
2020년01월_여_40~49세,"36,673","1,371","2,020","1,112","1,255","2,495",880,"1,251","1,709","1,895","1,038","2,225","4,188","1,530","3,413","2,396","1,461","1,541",930,"1,374","2,589"
2020년01월_여_50~59세,"35,514","1,444","1,957",966,"1,464","2,085","1,083","1,357","1,436","1,989","1,235","2,180","2,371","1,333","3,185","2,145","1,508","2,031","1,264","1,396","3,085"
2020년01월_여_60~69세,"28,093","1,042","1,450",795,"1,142","1,360",773,961,"1,144","1,739","1,178","1,892","1,755","1,051","2,414","1,811","1,299","1,497","1,127","1,050","2,613"
2020년01월_여_70~79세,"18,838",794,"1,118",632,708,831,604,616,790,"1,092",872,"1,234","1,162",612,"1,655","1,164",894,939,797,588,"1,736"
2020년01월_여_80~89세,"8,259",390,486,259,336,417,273,286,345,447,389,472,510,263,881,475,410,402,323,223,672
2020년01월_여_90~99세,"1,423",88,77,48,41,76,40,58,49,76,89,87,91,38,157,74,73,58,61,40,102
2020년01월_여_100세 이상,269,6,24,13,7,8,9,11,12,15,7,16,18,14,28,18,10,10,24,10,9
