카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년07월_계_총인구수,"28,110","12,748","2,839","2,304","2,606","3,022","4,591"
2021년07월_계_연령구간인구수,"28,110","12,748","2,839","2,304","2,606","3,022","4,591"
2021년07월_계_0~9세,"1,309",844,54,62,77,92,180
2021년07월_계_10~19세,"1,821","1,138",158,87,91,119,228
2021년07월_계_20~29세,"2,383","1,247",217,189,159,159,412
2021년07월_계_30~39세,"2,287","1,266",149,148,198,207,319
2021년07월_계_40~49세,"3,504","1,931",294,228,244,321,486
2021년07월_계_50~59세,"4,995","2,185",535,428,450,501,896
2021년07월_계_60~69세,"5,861","2,141",668,519,693,744,"1,096"
2021년07월_계_70~79세,"3,654","1,237",475,375,423,510,634
2021년07월_계_80~89세,"1,944",635,249,233,233,310,284
2021년07월_계_90~99세,339,119,40,33,36,56,55
2021년07월_계_100세 이상,13,5,0,2,2,3,1
2021년07월_남_총인구수,"14,356","6,485","1,472","1,164","1,347","1,565","2,323"
2021년07월_남_연령구간인구수,"14,356","6,485","1,472","1,164","1,347","1,565","2,323"
2021년07월_남_0~9세,672,429,31,29,42,46,95
2021년07월_남_10~19세,972,618,90,38,50,61,115
2021년07월_남_20~29세,"1,413",748,129,107,99,102,228
2021년07월_남_30~39세,"1,254",657,92,81,117,120,187
2021년07월_남_40~49세,"1,910",977,164,142,149,202,276
2021년07월_남_50~59세,"2,684","1,152",311,238,221,287,475
2021년07월_남_60~69세,"2,953","1,056",329,263,369,392,544
2021년07월_남_70~79세,"1,709",586,214,169,197,244,299
2021년07월_남_80~89세,716,232,107,88,94,106,89
2021년07월_남_90~99세,71,28,5,9,9,5,15
2021년07월_남_100세 이상,2,2,0,0,0,0,0
2021년07월_여_총인구수,"13,754","6,263","1,367","1,140","1,259","1,457","2,268"
2021년07월_여_연령구간인구수,"13,754","6,263","1,367","1,140","1,259","1,457","2,268"
2021년07월_여_0~9세,637,415,23,33,35,46,85
2021년07월_여_10~19세,849,520,68,49,41,58,113
2021년07월_여_20~29세,970,499,88,82,60,57,184
2021년07월_여_30~39세,"1,033",609,57,67,81,87,132
2021년07월_여_40~49세,"1,594",954,130,86,95,119,210
2021년07월_여_50~59세,"2,311","1,033",224,190,229,214,421
2021년07월_여_60~69세,"2,908","1,085",339,256,324,352,552
2021년07월_여_70~79세,"1,945",651,261,206,226,266,335
2021년07월_여_80~89세,"1,228",403,142,145,139,204,195
2021년07월_여_90~99세,268,91,35,24,27,51,40
2021년07월_여_100세 이상,11,3,0,2,2,3,1
