,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년04월_계_총인구수,"653,575","348,512","25,652","24,678","33,853","33,341","27,358","38,927","27,327","20,605","22,264","39,514","27,477","18,289","9,227","305,063","38,948","22,237","25,814","44,962","6,457","18,675","22,797","47,433","15,498","17,597","36,074","8,571"
2020년04월_계_연령구간인구수,"653,575","348,512","25,652","24,678","33,853","33,341","27,358","38,927","27,327","20,605","22,264","39,514","27,477","18,289","9,227","305,063","38,948","22,237","25,814","44,962","6,457","18,675","22,797","47,433","15,498","17,597","36,074","8,571"
2020년04월_계_0~9세,"46,083","24,223","1,900","1,254","2,041","2,740","2,953","2,914","1,708","1,103","1,598","2,445","1,846","1,193",528,"21,860","2,744","1,298","1,736","3,609",300,"1,375","1,729","3,961","1,106","1,012","2,681",309
2020년04월_계_10~19세,"66,514","35,299","2,620","1,744","3,107","3,783","3,417","4,301","3,064","1,888","2,245","4,171","2,789","1,377",793,"31,215","4,114","2,029","2,366","5,480",322,"1,867","2,623","5,111","1,312","1,759","3,844",388
2020년04월_계_20~29세,"105,981","57,363","3,922","4,499","6,138","5,367","4,422","6,028","4,402","3,568","3,574","7,120","4,888","2,235","1,200","48,618","5,995","4,282","5,098","7,744",504,"2,872","3,106","7,533","2,319","2,620","5,849",696
2020년04월_계_30~39세,"86,083","44,134","3,280","3,945","4,808","4,253","3,712","4,935","3,089","2,555","2,520","4,479","3,306","2,267",985,"41,949","5,270","3,195","4,137","5,492",672,"2,522","3,039","7,298","2,435","2,045","5,191",653
2020년04월_계_40~49세,"110,400","58,855","4,703","4,136","5,884","5,714","4,879","7,164","4,739","3,366","3,807","6,452","3,854","2,738","1,419","51,545","7,191","3,412","3,885","7,661","1,086","2,912","4,132","8,441","2,458","3,078","6,353",936
2020년04월_계_50~59세,"126,955","67,863","4,658","4,603","6,292","6,385","4,770","7,349","5,451","4,266","4,609","8,269","5,853","3,475","1,883","59,092","7,504","4,128","4,652","9,145","1,693","3,720","4,265","8,210","2,960","3,913","6,968","1,934"
2020년04월_계_60~69세,"66,476","35,122","2,447","2,557","2,752","3,182","2,239","3,503","2,685","2,146","2,211","3,976","3,141","2,825","1,458","31,354","3,607","2,287","2,653","3,927",996,"2,250","2,460","4,115","1,834","1,924","3,318","1,983"
2020년04월_계_70~79세,"29,003","16,439","1,431","1,283","1,547","1,219",646,"1,811","1,407","1,092","1,092","1,608","1,115","1,546",642,"12,564","1,661","1,029",828,"1,186",599,823,939,"1,763",671,804,"1,204","1,057"
2020년04월_계_80~89세,"13,960","7,983",599,562,"1,082",613,272,829,689,557,545,869,565,542,259,"5,977",746,519,376,617,247,292,448,865,357,385,596,529
2020년04월_계_90~99세,"2,007","1,172",89,88,188,81,47,92,89,64,60,120,113,86,55,835,113,54,77,98,32,34,53,129,45,54,66,80
2020년04월_계_100세 이상,113,59,3,7,14,4,1,1,4,0,3,5,7,5,5,54,3,4,6,3,6,8,3,7,1,3,4,6
2020년04월_남_총인구수,"335,033","177,678","13,037","13,160","17,646","16,878","13,888","20,069","13,513","10,259","11,465","20,200","13,505","9,256","4,802","157,355","20,555","11,142","12,836","22,633","3,725","9,519","12,190","24,317","7,908","9,542","18,494","4,494"
2020년04월_남_연령구간인구수,"335,033","177,678","13,037","13,160","17,646","16,878","13,888","20,069","13,513","10,259","11,465","20,200","13,505","9,256","4,802","157,355","20,555","11,142","12,836","22,633","3,725","9,519","12,190","24,317","7,908","9,542","18,494","4,494"
2020년04월_남_0~9세,"23,441","12,300",937,619,"1,029","1,397","1,461","1,525",872,577,827,"1,250",944,596,266,"11,141","1,422",642,880,"1,819",149,697,887,"2,027",569,517,"1,356",176
2020년04월_남_10~19세,"34,366","18,157","1,298",903,"1,610","1,929","1,748","2,233","1,513",965,"1,118","2,236","1,486",711,407,"16,209","2,197","1,037","1,197","2,878",165,966,"1,356","2,590",660,934,"2,013",216
2020년04월_남_20~29세,"56,322","30,481","2,027","2,366","3,357","2,855","2,445","3,221","2,224","1,822","1,906","3,844","2,540","1,214",660,"25,841","3,302","2,195","2,559","3,972",306,"1,497","1,756","4,052","1,267","1,425","3,125",385
2020년04월_남_30~39세,"46,778","23,821","1,769","2,322","2,786","2,249","1,810","2,642","1,649","1,340","1,363","2,427","1,699","1,219",546,"22,957","2,924","1,792","2,210","2,747",404,"1,365","1,739","4,046","1,378","1,171","2,798",383
