카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년11월_계_총인구수,"42,739","7,685","19,132","3,114","3,880","2,575","1,747",992,"2,703",192,719
2021년11월_계_연령구간인구수,"42,739","7,685","19,132","3,114","3,880","2,575","1,747",992,"2,703",192,719
2021년11월_계_0~9세,"2,555",680,"1,447",84,119,77,43,21,59,4,21
2021년11월_계_10~19세,"3,044",391,"1,929",154,182,133,64,43,102,10,36
2021년11월_계_20~29세,"5,125","1,189","2,339",322,462,214,122,68,316,43,50
2021년11월_계_30~39세,"4,096","1,022","2,109",175,252,158,125,60,138,13,44
2021년11월_계_40~49세,"4,734",754,"2,590",268,385,233,133,75,221,16,59
2021년11월_계_50~59세,"6,951","1,023","3,181",541,679,492,324,147,404,25,135
2021년11월_계_60~69세,"7,973","1,175","2,945",730,906,589,500,248,673,40,167
2021년11월_계_70~79세,"4,849",831,"1,521",479,531,410,241,204,485,24,123
2021년11월_계_80~89세,"2,968",530,905,327,322,249,163,115,268,15,74
2021년11월_계_90~99세,419,85,159,31,40,19,29,10,34,2,10
2021년11월_계_100세 이상,25,5,7,3,2,1,3,1,3,0,0
2021년11월_남_총인구수,"22,405","4,164","9,744","1,660","2,073","1,376",935,534,"1,435",117,367
2021년11월_남_연령구간인구수,"22,405","4,164","9,744","1,660","2,073","1,376",935,534,"1,435",117,367
2021년11월_남_0~9세,"1,298",332,743,44,52,40,25,14,31,2,15
2021년11월_남_10~19세,"1,607",225,979,83,105,80,36,29,47,6,17
2021년11월_남_20~29세,"3,279",822,"1,343",220,336,135,73,40,237,38,35
2021년11월_남_30~39세,"2,332",608,"1,139",110,157,95,72,36,85,8,22
2021년11월_남_40~49세,"2,583",427,"1,318",160,230,127,85,50,139,9,38
2021년11월_남_50~59세,"3,768",585,"1,667",305,375,274,173,84,225,12,68
2021년11월_남_60~69세,"4,141",601,"1,505",392,464,314,285,127,345,24,84
2021년11월_남_70~79세,"2,200",349,700,221,230,194,106,100,229,13,58
2021년11월_남_80~89세,"1,079",189,305,115,113,110,71,52,89,5,30
2021년11월_남_90~99세,109,25,42,8,11,7,8,1,7,0,0
2021년11월_남_100세 이상,9,1,3,2,0,0,1,1,1,0,0
2021년11월_여_총인구수,"20,334","3,521","9,388","1,454","1,807","1,199",812,458,"1,268",75,352
2021년11월_여_연령구간인구수,"20,334","3,521","9,388","1,454","1,807","1,199",812,458,"1,268",75,352
2021년11월_여_0~9세,"1,257",348,704,40,67,37,18,7,28,2,6
2021년11월_여_10~19세,"1,437",166,950,71,77,53,28,14,55,4,19
2021년11월_여_20~29세,"1,846",367,996,102,126,79,49,28,79,5,15
2021년11월_여_30~39세,"1,764",414,970,65,95,63,53,24,53,5,22
2021년11월_여_40~49세,"2,151",327,"1,272",108,155,106,48,25,82,7,21
2021년11월_여_50~59세,"3,183",438,"1,514",236,304,218,151,63,179,13,67
2021년11월_여_60~69세,"3,832",574,"1,440",338,442,275,215,121,328,16,83
2021년11월_여_70~79세,"2,649",482,821,258,301,216,135,104,256,11,65
2021년11월_여_80~89세,"1,889",341,600,212,209,139,92,63,179,10,44
2021년11월_여_90~99세,310,60,117,23,29,12,21,9,27,2,10
2021년11월_여_100세 이상,16,4,4,1,2,1,2,0,2,0,0
