카테고리,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2021년08월_계_총인구수,"64,220","19,767","12,024","3,662","2,347","1,549","2,349","2,828","1,408","1,832","1,144","1,660","2,852","2,738","3,116","2,836","2,108"
2021년08월_계_연령구간인구수,"64,220","19,767","12,024","3,662","2,347","1,549","2,349","2,828","1,408","1,832","1,144","1,660","2,852","2,738","3,116","2,836","2,108"
2021년08월_계_0~9세,"2,755",975,926,97,42,43,58,85,22,41,19,34,98,73,85,98,59
2021년08월_계_10~19세,"4,507","1,810","1,181",188,113,54,138,149,55,75,29,49,131,105,130,209,91
2021년08월_계_20~29세,"5,144","2,071","1,307",204,109,66,120,180,66,96,54,66,158,157,169,215,106
2021년08월_계_30~39세,"4,204","1,523","1,179",177,92,79,118,120,51,67,51,58,129,136,167,133,124
2021년08월_계_40~49세,"6,869","2,521","1,705",320,180,105,206,259,93,142,64,106,240,218,258,292,160
2021년08월_계_50~59세,"10,356","3,531","1,925",595,370,242,355,404,202,227,173,202,405,395,516,500,314
2021년08월_계_60~69세,"13,552","3,708","1,851",968,618,397,511,656,369,429,311,440,654,634,768,653,585
2021년08월_계_70~79세,"9,322","2,223","1,091",601,461,303,443,568,291,377,230,341,588,508,563,399,335
2021년08월_계_80~89세,"6,463","1,195",745,456,308,225,337,359,218,318,185,311,378,443,401,299,285
2021년08월_계_90~99세,"1,012",203,110,50,51,35,62,45,40,58,28,51,69,68,58,36,48
2021년08월_계_100세 이상,36,7,4,6,3,0,1,3,1,2,0,2,2,1,1,2,1
2021년08월_남_총인구수,"31,913","9,848","5,941","1,846","1,153",773,"1,153","1,363",681,887,575,785,"1,420","1,376","1,578","1,474","1,060"
2021년08월_남_연령구간인구수,"31,913","9,848","5,941","1,846","1,153",773,"1,153","1,363",681,887,575,785,"1,420","1,376","1,578","1,474","1,060"
2021년08월_남_0~9세,"1,466",515,489,57,23,23,34,45,13,23,9,15,47,43,40,53,37
2021년08월_남_10~19세,"2,389",966,613,89,75,32,65,78,23,39,22,29,69,64,66,113,46
2021년08월_남_20~29세,"2,974","1,223",684,128,70,42,73,109,41,62,30,34,99,87,102,126,64
2021년08월_남_30~39세,"2,291",801,576,112,59,47,71,71,38,37,32,34,75,79,100,86,73
2021년08월_남_40~49세,"3,745","1,285",881,183,103,63,127,134,51,90,39,58,143,154,163,168,103
2021년08월_남_50~59세,"5,470","1,806","1,014",314,194,121,183,211,113,122,97,111,234,211,269,296,174
2021년08월_남_60~69세,"6,800","1,782",915,503,298,223,260,316,178,218,151,222,332,341,408,341,312
2021년08월_남_70~79세,"4,226","1,008",476,280,205,142,204,247,143,160,115,155,267,228,265,181,150
2021년08월_남_80~89세,"2,303",420,267,163,117,72,120,140,72,120,74,116,135,150,148,99,90
2021년08월_남_90~99세,245,41,26,16,9,8,16,12,9,15,6,11,19,19,17,10,11
2021년08월_남_100세 이상,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2021년08월_여_총인구수,"32,307","9,919","6,083","1,816","1,194",776,"1,196","1,465",727,945,569,875,"1,432","1,362","1,538","1,362","1,048"
2021년08월_여_연령구간인구수,"32,307","9,919","6,083","1,816","1,194",776,"1,196","1,465",727,945,569,875,"1,432","1,362","1,538","1,362","1,048"
2021년08월_여_0~9세,"1,289",460,437,40,19,20,24,40,9,18,10,19,51,30,45,45,22
2021년08월_여_10~19세,"2,118",844,568,99,38,22,73,71,32,36,7,20,62,41,64,96,45
2021년08월_여_20~29세,"2,170",848,623,76,39,24,47,71,25,34,24,32,59,70,67,89,42
2021년08월_여_30~39세,"1,913",722,603,65,33,32,47,49,13,30,19,24,54,57,67,47,51
2021년08월_여_40~49세,"3,124","1,236",824,137,77,42,79,125,42,52,25,48,97,64,95,124,57
2021년08월_여_50~59세,"4,886","1,725",911,281,176,121,172,193,89,105,76,91,171,184,247,204,140
2021년08월_여_60~69세,"6,752","1,926",936,465,320,174,251,340,191,211,160,218,322,293,360,312,273
2021년08월_여_70~79세,"5,096","1,215",615,321,256,161,239,321,148,217,115,186,321,280,298,218,185
2021년08월_여_80~89세,"4,160",775,478,293,191,153,217,219,146,198,111,195,243,293,253,200,195
2021년08월_여_90~99세,767,162,84,34,42,27,46,33,31,43,22,40,50,49,41,26,37
2021년08월_여_100세 이상,32,6,4,5,3,0,1,3,1,1,0,2,2,1,1,1,1
