카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년06월_계_총인구수,"28,018","10,277","1,566","2,061","1,750","1,759","1,459","2,005","2,232","1,348","1,170","2,391"
2020년06월_계_연령구간인구수,"28,018","10,277","1,566","2,061","1,750","1,759","1,459","2,005","2,232","1,348","1,170","2,391"
2020년06월_계_0~9세,"1,579",882,59,79,73,50,67,75,128,48,52,66
2020년06월_계_10~19세,"2,255","1,322",95,108,93,72,73,118,137,45,59,133
2020년06월_계_20~29세,"2,125","1,010",107,108,95,108,82,143,135,111,88,138
2020년06월_계_30~39세,"2,092","1,054",101,112,115,106,107,106,133,80,67,111
2020년06월_계_40~49세,"3,397","1,641",142,216,204,151,122,197,230,129,128,237
2020년06월_계_50~59세,"4,561","1,538",284,349,253,316,249,371,417,208,162,414
2020년06월_계_60~69세,"4,693","1,266",290,390,324,402,273,416,421,249,205,457
2020년06월_계_70~79세,"4,203",963,256,404,328,291,261,341,396,262,216,485
2020년06월_계_80~89세,"2,723",515,200,257,235,233,202,212,202,187,179,301
2020년06월_계_90~99세,360,80,27,35,28,28,21,26,30,26,13,46
2020년06월_계_100세 이상,30,6,5,3,2,2,2,0,3,3,1,3
2020년06월_남_총인구수,"13,605","4,961",755,"1,014",861,868,714,989,"1,073",653,546,"1,171"
2020년06월_남_연령구간인구수,"13,605","4,961",755,"1,014",861,868,714,989,"1,073",653,546,"1,171"
2020년06월_남_0~9세,819,463,31,40,37,25,36,34,71,15,34,33
2020년06월_남_10~19세,"1,149",664,49,54,48,41,39,69,67,23,28,67
2020년06월_남_20~29세,"1,169",534,63,60,54,62,51,75,82,70,39,79
2020년06월_남_30~39세,"1,023",477,46,63,71,64,47,57,56,45,34,63
2020년06월_남_40~49세,"1,927",849,78,148,130,100,78,116,124,79,80,145
2020년06월_남_50~59세,"2,479",814,169,183,146,164,147,190,223,122,90,231
2020년06월_남_60~69세,"2,362",590,149,229,164,224,136,222,214,117,97,220
2020년06월_남_70~79세,"1,697",387,109,143,133,111,105,145,164,109,92,199
2020년06월_남_80~89세,885,162,55,89,72,69,71,72,59,65,52,119
2020년06월_남_90~99세,94,20,6,5,6,8,4,9,13,8,0,15
2020년06월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"14,413","5,316",811,"1,047",889,891,745,"1,016","1,159",695,624,"1,220"
2020년06월_여_연령구간인구수,"14,413","5,316",811,"1,047",889,891,745,"1,016","1,159",695,624,"1,220"
2020년06월_여_0~9세,760,419,28,39,36,25,31,41,57,33,18,33
2020년06월_여_10~19세,"1,106",658,46,54,45,31,34,49,70,22,31,66
2020년06월_여_20~29세,956,476,44,48,41,46,31,68,53,41,49,59
2020년06월_여_30~39세,"1,069",577,55,49,44,42,60,49,77,35,33,48
2020년06월_여_40~49세,"1,470",792,64,68,74,51,44,81,106,50,48,92
2020년06월_여_50~59세,"2,082",724,115,166,107,152,102,181,194,86,72,183
2020년06월_여_60~69세,"2,331",676,141,161,160,178,137,194,207,132,108,237
2020년06월_여_70~79세,"2,506",576,147,261,195,180,156,196,232,153,124,286
2020년06월_여_80~89세,"1,838",353,145,168,163,164,131,140,143,122,127,182
2020년06월_여_90~99세,266,60,21,30,22,20,17,17,17,18,13,31
2020년06월_여_100세 이상,29,5,5,3,2,2,2,0,3,3,1,3
