,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021년08월_계_총인구수,"39,734","8,956","11,588","1,109","1,418","1,167","1,191","1,665",893,"3,653","2,757","1,222","3,050","1,065"
2021년08월_계_연령구간인구수,"39,734","8,956","11,588","1,109","1,418","1,167","1,191","1,665",893,"3,653","2,757","1,222","3,050","1,065"
2021년08월_계_0~9세,"1,601",600,485,27,37,30,38,63,14,99,57,46,81,24
2021년08월_계_10~19세,"2,543",843,813,43,61,49,66,74,50,163,125,66,160,30
2021년08월_계_20~29세,"2,824",924,791,64,84,65,57,101,43,216,131,84,192,72
2021년08월_계_30~39세,"2,379",789,699,46,77,54,59,69,27,171,136,77,127,48
2021년08월_계_40~49세,"3,999","1,186","1,222",86,116,96,100,116,84,318,220,124,261,70
2021년08월_계_50~59세,"6,511","1,483","1,846",174,232,185,190,264,157,565,461,202,576,176
2021년08월_계_60~69세,"7,747","1,390","2,269",224,305,220,229,366,192,789,618,248,677,220
2021년08월_계_70~79세,"6,495",983,"1,973",201,253,221,215,292,172,725,501,211,540,208
2021년08월_계_80~89세,"4,843",666,"1,274",202,219,214,207,280,132,528,428,147,365,181
2021년08월_계_90~99세,768,88,209,41,33,32,29,40,21,78,77,17,68,35
2021년08월_계_100세 이상,24,4,7,1,1,1,1,0,1,1,3,0,3,1
2021년08월_남_총인구수,"19,387","4,383","5,675",528,704,561,582,792,457,"1,757","1,341",590,"1,503",514
2021년08월_남_연령구간인구수,"19,387","4,383","5,675",528,704,561,582,792,457,"1,757","1,341",590,"1,503",514
2021년08월_남_0~9세,844,328,256,13,17,13,24,25,6,57,24,30,40,11
2021년08월_남_10~19세,"1,299",410,421,26,36,27,35,42,23,88,68,28,77,18
2021년08월_남_20~29세,"1,625",502,453,38,49,34,36,61,26,127,82,59,118,40
2021년08월_남_30~39세,"1,254",390,372,26,44,25,33,33,19,88,77,43,74,30
2021년08월_남_40~49세,"2,285",602,701,57,74,55,66,70,52,203,137,72,152,44
2021년08월_남_50~59세,"3,642",786,"1,037",101,143,115,114,147,107,321,280,88,304,99
2021년08월_남_60~69세,"3,946",680,"1,127",123,167,118,126,205,102,385,309,128,363,113
2021년08월_남_70~79세,"2,806",434,852,91,101,104,81,125,79,310,212,95,235,87
2021년08월_남_80~89세,"1,528",233,416,45,69,59,61,74,39,162,135,47,125,63
2021년08월_남_90~99세,155,18,37,8,4,11,6,10,4,16,17,0,15,9
2021년08월_남_100세 이상,3,0,3,0,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"20,347","4,573","5,913",581,714,606,609,873,436,"1,896","1,416",632,"1,547",551
2021년08월_여_연령구간인구수,"20,347","4,573","5,913",581,714,606,609,873,436,"1,896","1,416",632,"1,547",551
2021년08월_여_0~9세,757,272,229,14,20,17,14,38,8,42,33,16,41,13
2021년08월_여_10~19세,"1,244",433,392,17,25,22,31,32,27,75,57,38,83,12
2021년08월_여_20~29세,"1,199",422,338,26,35,31,21,40,17,89,49,25,74,32
2021년08월_여_30~39세,"1,125",399,327,20,33,29,26,36,8,83,59,34,53,18
2021년08월_여_40~49세,"1,714",584,521,29,42,41,34,46,32,115,83,52,109,26
2021년08월_여_50~59세,"2,869",697,809,73,89,70,76,117,50,244,181,114,272,77
2021년08월_여_60~69세,"3,801",710,"1,142",101,138,102,103,161,90,404,309,120,314,107
2021년08월_여_70~79세,"3,689",549,"1,121",110,152,117,134,167,93,415,289,116,305,121
2021년08월_여_80~89세,"3,315",433,858,157,150,155,146,206,93,366,293,100,240,118
2021년08월_여_90~99세,613,70,172,33,29,21,23,30,17,62,60,17,53,26
2021년08월_여_100세 이상,21,4,4,1,1,1,1,0,1,1,3,0,3,1
