,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년08월_계_총인구수,"397,887","35,648","20,911","23,971","23,555","19,917","29,303","8,933","22,555","26,836","33,969","31,092","20,279","22,778","38,216","23,651","16,273"
2021년08월_계_연령구간인구수,"397,887","35,648","20,911","23,971","23,555","19,917","29,303","8,933","22,555","26,836","33,969","31,092","20,279","22,778","38,216","23,651","16,273"
2021년08월_계_0~9세,"26,485","3,484","1,770",827,"1,236",763,"1,755",236,"1,250","1,684","2,165","2,017","1,084","1,181","2,930","1,414","2,689"
2021년08월_계_10~19세,"29,348","3,499","1,935","1,378","1,353","1,045","1,545",272,"1,861","2,182","2,309","2,248","1,375","1,200","3,948","1,936","1,262"
2021년08월_계_20~29세,"54,380","4,144","2,769","3,179","4,201","2,839","5,086","1,542","3,148","3,471","4,546","3,759","2,528","4,105","4,478","3,009","1,576"
2021년08월_계_30~39세,"61,217","5,996","3,699","2,820","4,868","2,861","5,487","1,230","2,805","3,145","5,044","4,302","2,623","4,441","5,018","3,228","3,650"
2021년08월_계_40~49세,"61,679","6,501","3,609","3,316","3,968","2,809","4,106","1,066","3,356","4,162","4,879","4,722","3,073","3,137","6,435","3,692","2,848"
2021년08월_계_50~59세,"62,188","5,051","2,981","4,589","3,042","3,420","4,475","1,759","3,844","4,697","5,707","4,838","3,425","3,018","5,629","3,936","1,777"
2021년08월_계_60~69세,"57,227","4,153","2,701","4,094","2,636","3,100","3,872","1,591","3,581","4,119","5,248","5,158","3,537","3,028","5,138","3,695","1,576"
2021년08월_계_70~79세,"31,855","1,987",994,"2,611","1,568","2,112","2,087",834,"1,920","2,337","2,872","2,972","1,837","1,850","3,269","1,970",635
2021년08월_계_80~89세,"11,953",730,385,"1,031",612,879,799,355,697,927,"1,054",952,717,721,"1,198",679,217
2021년08월_계_90~99세,"1,506",100,64,122,70,89,89,44,91,108,141,118,76,93,171,89,41
2021년08월_계_100세 이상,49,3,4,4,1,0,2,4,2,4,4,6,4,4,2,3,2
2021년08월_남_총인구수,"196,249","17,396","10,244","12,122","12,080","9,639","14,246","4,894","11,222","13,263","16,949","15,162","9,880","11,081","18,398","11,671","8,002"
2021년08월_남_연령구간인구수,"196,249","17,396","10,244","12,122","12,080","9,639","14,246","4,894","11,222","13,263","16,949","15,162","9,880","11,081","18,398","11,671","8,002"
2021년08월_남_0~9세,"13,503","1,761",906,429,651,408,904,121,626,850,"1,070","1,035",516,578,"1,499",736,"1,413"
2021년08월_남_10~19세,"15,081","1,786","1,024",725,668,532,785,151,952,"1,115","1,170","1,132",727,609,"2,015","1,063",627
2021년08월_남_20~29세,"26,657","2,010","1,309","1,631","2,082","1,321","2,227",844,"1,646","1,784","2,336","1,877","1,297","1,789","2,199","1,558",747
2021년08월_남_30~39세,"31,279","2,869","1,855","1,577","2,675","1,499","2,754",729,"1,466","1,583","2,635","2,153","1,352","2,284","2,457","1,644","1,747"
2021년08월_남_40~49세,"31,591","3,171","1,819","1,762","2,195","1,430","2,108",605,"1,706","2,079","2,505","2,433","1,595","1,647","3,198","1,819","1,519"
2021년08월_남_50~59세,"30,793","2,495","1,412","2,414","1,604","1,725","2,248","1,046","1,887","2,318","2,830","2,311","1,600","1,516","2,701","1,867",819
2021년08월_남_60~69세,"27,062","1,986","1,258","1,969","1,228","1,385","1,896",866,"1,715","2,040","2,536","2,337","1,624","1,452","2,302","1,771",697
2021년08월_남_70~79세,"15,080","1,009",493,"1,157",721,959,967,393,939,"1,092","1,380","1,445",869,890,"1,495",928,343
2021년08월_남_80~89세,"4,824",289,148,434,235,355,333,128,264,372,450,401,280,299,492,264,80
2021년08월_남_90~99세,366,19,19,24,21,25,24,10,20,29,36,35,19,17,39,19,10
2021년08월_남_100세 이상,13,1,1,0,0,0,0,1,1,1,1,3,1,0,1,2,0
2021년08월_여_총인구수,"201,638","18,252","10,667","11,849","11,475","10,278","15,057","4,039","11,333","13,573","17,020","15,930","10,399","11,697","19,818","11,980","8,271"
2021년08월_여_연령구간인구수,"201,638","18,252","10,667","11,849","11,475","10,278","15,057","4,039","11,333","13,573","17,020","15,930","10,399","11,697","19,818","11,980","8,271"
2021년08월_여_0~9세,"12,982","1,723",864,398,585,355,851,115,624,834,"1,095",982,568,603,"1,431",678,"1,276"
2021년08월_여_10~19세,"14,267","1,713",911,653,685,513,760,121,909,"1,067","1,139","1,116",648,591,"1,933",873,635
2021년08월_여_20~29세,"27,723","2,134","1,460","1,548","2,119","1,518","2,859",698,"1,502","1,687","2,210","1,882","1,231","2,316","2,279","1,451",829
2021년08월_여_30~39세,"29,938","3,127","1,844","1,243","2,193","1,362","2,733",501,"1,339","1,562","2,409","2,149","1,271","2,157","2,561","1,584","1,903"
2021년08월_여_40~49세,"30,088","3,330","1,790","1,554","1,773","1,379","1,998",461,"1,650","2,083","2,374","2,289","1,478","1,490","3,237","1,873","1,329"
2021년08월_여_50~59세,"31,395","2,556","1,569","2,175","1,438","1,695","2,227",713,"1,957","2,379","2,877","2,527","1,825","1,502","2,928","2,069",958
2021년08월_여_60~69세,"30,165","2,167","1,443","2,125","1,408","1,715","1,976",725,"1,866","2,079","2,712","2,821","1,913","1,576","2,836","1,924",879
2021년08월_여_70~79세,"16,775",978,501,"1,454",847,"1,153","1,120",441,981,"1,245","1,492","1,527",968,960,"1,774","1,042",292
