카테고리,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년06월_계_총인구수,"2,646,493","504,461","231,837","272,624","253,758","140,651","158,526","417,480","104,003","101,601","98,201","71,683","263,034","23,451","52,142","25,228","16,748","36,721","42,553","31,764","43,488","115,345","55,750","31,823","48,843","9,239"
2020년06월_계_연령구간인구수,"2,646,493","504,461","231,837","272,624","253,758","140,651","158,526","417,480","104,003","101,601","98,201","71,683","263,034","23,451","52,142","25,228","16,748","36,721","42,553","31,764","43,488","115,345","55,750","31,823","48,843","9,239"
2020년06월_계_0~9세,"194,959","40,861","18,055","22,806","16,591","10,685","10,880","42,546","6,354","5,818","5,357","4,099","21,095",721,"1,993","1,007",767,"1,762","1,563","1,472","1,945","9,916","4,687","1,459","2,962",419
2020년06월_계_10~19세,"229,448","47,309","21,518","25,791","21,315","12,155","13,826","45,666","9,073","6,713","7,769","5,828","22,970",985,"2,388","1,264",961,"2,122","2,333","2,118","2,364","11,620","4,422","1,899","3,860",488
2020년06월_계_20~29세,"286,407","56,998","26,576","30,422","27,113","14,793","16,509","57,059","9,835","10,285","8,374","6,147","35,991","1,574","3,244","1,766","1,163","2,534","2,920","2,609","3,595","12,321","4,134","2,091","4,510",842
2020년06월_계_30~39세,"298,316","60,979","27,772","33,207","25,973","15,540","15,651","66,962","8,795","9,495","7,672","5,960","33,729","1,390","3,356","1,760","1,053","2,549","2,918","2,401","3,380","15,746","5,643","2,044","4,401",919
2020년06월_계_40~49세,"386,803","77,719","35,917","41,802","37,208","19,497","22,464","73,403","14,089","12,855","11,775","8,910","41,626","2,229","4,766","2,456","1,778","4,008","4,523","3,977","4,840","20,603","7,110","3,306","6,332","1,329"
2020년06월_계_50~59세,"461,830","90,977","41,927","49,050","46,844","23,976","26,646","69,391","18,233","18,295","17,111","12,151","44,668","4,367","8,921","4,779","3,001","6,279","7,492","6,023","8,647","19,418","8,120","5,909","8,694","1,888"
2020년06월_계_60~69세,"396,465","76,143","35,699","40,444","39,904","21,384","24,852","37,543","17,896","18,096","17,858","13,099","33,730","5,213","11,516","5,389","3,347","7,248","9,420","6,128","9,027","13,185","9,146","6,642","7,952","1,747"
2020년06월_계_70~79세,"240,489","36,275","16,886","19,389","24,271","13,460","16,700","15,843","11,992","12,377","12,752","9,311","19,104","4,050","9,087","4,055","2,708","6,002","6,570","4,107","5,767","7,585","6,932","4,783","5,734","1,024"
