,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년01월_계_총인구수,"542,296","55,880","18,235","6,585","7,620","3,845","3,209","6,093","9,888","9,326","10,023","73,928","80,720","9,597","40,625","33,451","7,752","56,771","36,482","72,266"
2021년01월_계_연령구간인구수,"542,296","55,880","18,235","6,585","7,620","3,845","3,209","6,093","9,888","9,326","10,023","73,928","80,720","9,597","40,625","33,451","7,752","56,771","36,482","72,266"
2021년01월_계_0~9세,"48,925","6,472","2,797",223,194,81,83,167,559,611,599,"4,750","7,302",537,"2,591","1,565",530,"5,328","3,640","10,896"
2021년01월_계_10~19세,"61,163","6,036","1,270",323,325,124,144,213,687,567,641,"7,712","10,539",742,"3,867","3,062",760,"8,068","5,190","10,893"
2021년01월_계_20~29세,"68,971","5,414","2,160",612,612,308,278,441,"1,338","1,104","1,427","12,340","10,949","1,251","6,112","5,723","1,029","6,991","4,361","6,521"
2021년01월_계_30~39세,"69,258","8,818","4,035",548,596,260,232,415,"1,252","1,210","1,236","8,359","9,495",985,"4,412","2,955",780,"6,925","4,567","12,178"
2021년01월_계_40~49세,"98,308","10,833","2,932",808,719,356,338,574,"1,382","1,236","1,427","11,826","15,464","1,344","6,381","5,022","1,234","11,997","7,795","16,640"
2021년01월_계_50~59세,"97,182","8,302","2,726","1,479","1,620",834,724,"1,102","1,989","1,745","2,099","16,272","14,826","1,997","8,737","7,562","1,567","9,345","6,005","8,251"
2021년01월_계_60~69세,"58,938","6,004","1,524","1,379","1,829",954,823,"1,685","1,610","1,586","1,582","7,801","7,515","1,627","5,293","4,658","1,139","4,680","2,934","4,315"
2021년01월_계_70~79세,"26,486","2,653",476,753,"1,041",592,384,974,729,867,706,"3,179","3,146",763,"2,236","1,921",495,"2,322","1,392","1,857"
2021년01월_계_80~89세,"11,547","1,182",280,387,609,302,164,448,293,347,274,"1,514","1,305",318,884,891,192,"1,002",525,630
2021년01월_계_90~99세,"1,427",154,35,71,74,33,34,71,42,48,25,164,173,32,102,87,21,106,72,83
2021년01월_계_100세 이상,91,12,0,2,1,1,5,3,7,5,7,11,6,1,10,5,5,7,1,2
2021년01월_남_총인구수,"274,253","28,796","9,299","3,584","4,146","2,046","1,763","3,147","5,035","4,686","5,128","36,886","40,434","5,051","20,653","17,116","3,935","28,304","18,299","35,945"
2021년01월_남_연령구간인구수,"274,253","28,796","9,299","3,584","4,146","2,046","1,763","3,147","5,035","4,686","5,128","36,886","40,434","5,051","20,653","17,116","3,935","28,304","18,299","35,945"
2021년01월_남_0~9세,"24,925","3,330","1,403",124,103,53,50,81,287,322,317,"2,494","3,727",277,"1,338",789,280,"2,645","1,804","5,501"
2021년01월_남_10~19세,"31,805","3,149",651,177,194,64,78,114,335,299,334,"3,989","5,559",392,"2,039","1,611",378,"4,137","2,704","5,601"
2021년01월_남_20~29세,"37,564","3,015","1,094",389,393,192,165,276,739,614,783,"6,703","5,922",677,"3,287","3,216",562,"3,766","2,375","3,396"
2021년01월_남_30~39세,"35,718","4,556","2,079",303,386,156,144,246,704,636,680,"4,395","4,780",564,"2,400","1,664",419,"3,470","2,315","5,821"
2021년01월_남_40~49세,"48,859","5,833","1,530",508,464,217,211,328,708,645,750,"5,501","7,304",735,"3,219","2,486",612,"5,808","3,776","8,224"
2021년01월_남_50~59세,"49,892","4,295","1,373",845,930,466,408,585,"1,015",872,"1,045","7,987","7,595","1,079","4,386","3,790",793,"4,900","3,166","4,362"
2021년01월_남_60~69세,"30,069","2,991",852,750,994,515,446,890,828,784,796,"4,109","3,804",876,"2,728","2,458",594,"2,245","1,412","1,997"
2021년01월_남_70~79세,"11,506","1,211",231,336,497,274,198,466,320,373,321,"1,251","1,312",340,964,810,222,976,570,834
2021년01월_남_80~89세,"3,610",384,77,143,176,101,53,145,89,129,98,419,396,109,261,274,68,330,164,194
2021년01월_남_90~99세,279,30,9,8,9,8,9,15,7,11,3,35,35,2,26,17,5,23,12,15
2021년01월_남_100세 이상,26,2,0,1,0,0,1,1,3,1,1,3,0,0,5,1,2,4,1,0
2021년01월_여_총인구수,"268,043","27,084","8,936","3,001","3,474","1,799","1,446","2,946","4,853","4,640","4,895","37,042","40,286","4,546","19,972","16,335","3,817","28,467","18,183","36,321"
2021년01월_여_연령구간인구수,"268,043","27,084","8,936","3,001","3,474","1,799","1,446","2,946","4,853","4,640","4,895","37,042","40,286","4,546","19,972","16,335","3,817","28,467","18,183","36,321"
2021년01월_여_0~9세,"24,000","3,142","1,394",99,91,28,33,86,272,289,282,"2,256","3,575",260,"1,253",776,250,"2,683","1,836","5,395"
2021년01월_여_10~19세,"29,358","2,887",619,146,131,60,66,99,352,268,307,"3,723","4,980",350,"1,828","1,451",382,"3,931","2,486","5,292"
2021년01월_여_20~29세,"31,407","2,399","1,066",223,219,116,113,165,599,490,644,"5,637","5,027",574,"2,825","2,507",467,"3,225","1,986","3,125"
2021년01월_여_30~39세,"33,540","4,262","1,956",245,210,104,88,169,548,574,556,"3,964","4,715",421,"2,012","1,291",361,"3,455","2,252","6,357"
2021년01월_여_40~49세,"49,449","5,000","1,402",300,255,139,127,246,674,591,677,"6,325","8,160",609,"3,162","2,536",622,"6,189","4,019","8,416"
2021년01월_여_50~59세,"47,290","4,007","1,353",634,690,368,316,517,974,873,"1,054","8,285","7,231",918,"4,351","3,772",774,"4,445","2,839","3,889"
2021년01월_여_60~69세,"28,869","3,013",672,629,835,439,377,795,782,802,786,"3,692","3,711",751,"2,565","2,200",545,"2,435","1,522","2,318"
2021년01월_여_70~79세,"14,980","1,442",245,417,544,318,186,508,409,494,385,"1,928","1,834",423,"1,272","1,111",273,"1,346",822,"1,023"
2021년01월_여_80~89세,"7,937",798,203,244,433,201,111,303,204,218,176,"1,095",909,209,623,617,124,672,361,436
2021년01월_여_90~99세,"1,148",124,26,63,65,25,25,56,35,37,22,129,138,30,76,70,16,83,60,68
2021년01월_여_100세 이상,65,10,0,1,1,1,4,2,4,4,6,8,6,1,5,4,3,3,0,2
