카테고리,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년01월_계_총인구수,"103,043","10,657","2,377","1,459","1,969","2,213","3,040","2,741","2,013","1,904","3,104","7,752","6,313","4,054","3,564","6,657","8,237","8,030","18,971","7,988"
2021년01월_계_연령구간인구수,"103,043","10,657","2,377","1,459","1,969","2,213","3,040","2,741","2,013","1,904","3,104","7,752","6,313","4,054","3,564","6,657","8,237","8,030","18,971","7,988"
2021년01월_계_0~9세,"6,047",463,57,23,54,57,86,68,35,27,51,478,349,161,173,493,432,443,"2,058",539
2021년01월_계_10~19세,"8,855",711,102,55,89,104,128,132,77,64,119,934,607,291,251,853,635,714,"2,178",811
2021년01월_계_20~29세,"9,622",932,185,89,141,161,202,164,135,102,132,754,635,311,297,708,939,940,"1,940",855
2021년01월_계_30~39세,"8,444",733,118,47,102,116,153,122,87,84,138,576,470,293,250,526,700,635,"2,523",771
2021년01월_계_40~49세,"13,876","1,237",188,99,178,184,263,261,133,155,212,"1,262",886,487,417,"1,143","1,049","1,061","3,414","1,247"
2021년01월_계_50~59세,"17,887","1,875",481,261,331,368,502,519,370,348,576,"1,330","1,155",679,625,"1,210","1,558","1,599","2,708","1,392"
2021년01월_계_60~69세,"18,457","2,290",554,344,463,518,730,709,558,469,838,"1,164","1,055",877,746,847,"1,480","1,410","2,186","1,219"
2021년01월_계_70~79세,"11,877","1,458",354,290,309,379,532,455,344,332,587,770,729,573,527,557,950,784,"1,251",696
2021년01월_계_80~89세,"6,878",802,293,210,248,267,381,265,232,279,389,410,380,340,243,283,437,382,629,408
2021년01월_계_90~99세,"1,039",143,44,38,51,56,62,39,40,43,58,71,43,39,34,35,54,61,81,47
2021년01월_계_100세 이상,61,13,1,3,3,3,1,7,2,1,4,3,4,3,1,2,3,1,3,3
2021년01월_남_총인구수,"51,041","5,247","1,219",737,"1,000","1,119","1,536","1,392","1,014",952,"1,540","3,873","3,021","1,963","1,706","3,306","4,054","3,996","9,528","3,838"
2021년01월_남_연령구간인구수,"51,041","5,247","1,219",737,"1,000","1,119","1,536","1,392","1,014",952,"1,540","3,873","3,021","1,963","1,706","3,306","4,054","3,996","9,528","3,838"
2021년01월_남_0~9세,"3,127",242,27,16,27,32,44,31,19,14,28,250,182,94,100,247,201,221,"1,074",278
2021년01월_남_10~19세,"4,615",354,50,26,48,52,69,66,42,36,62,494,308,135,141,450,351,391,"1,113",427
2021년01월_남_20~29세,"5,659",583,119,60,89,101,126,100,91,74,76,463,357,185,163,426,527,561,"1,110",448
2021년01월_남_30~39세,"4,490",385,68,27,63,74,102,68,55,52,81,303,253,157,127,262,392,339,"1,284",398
2021년01월_남_40~49세,"7,200",672,108,66,108,108,166,163,75,95,136,618,432,254,207,554,539,511,"1,765",623
2021년01월_남_50~59세,"9,115",929,268,147,177,197,261,268,193,185,307,699,589,371,316,620,736,800,"1,395",657
2021년01월_남_60~69세,"8,841","1,124",290,177,253,273,373,360,287,254,417,548,472,389,320,379,674,654,"1,022",575
2021년01월_남_70~79세,"5,358",645,175,137,141,178,254,232,162,148,282,341,284,246,235,260,439,369,527,303
2021년01월_남_80~89세,"2,397",281,103,69,84,93,130,90,83,84,137,151,132,119,90,95,180,134,220,122
2021년01월_남_90~99세,228,29,11,12,10,11,11,12,6,9,13,6,11,13,7,13,14,16,17,7
2021년01월_남_100세 이상,11,3,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,0,1,0
2021년01월_여_총인구수,"52,002","5,410","1,158",722,969,"1,094","1,504","1,349",999,952,"1,564","3,879","3,292","2,091","1,858","3,351","4,183","4,034","9,443","4,150"
2021년01월_여_연령구간인구수,"52,002","5,410","1,158",722,969,"1,094","1,504","1,349",999,952,"1,564","3,879","3,292","2,091","1,858","3,351","4,183","4,034","9,443","4,150"
2021년01월_여_0~9세,"2,920",221,30,7,27,25,42,37,16,13,23,228,167,67,73,246,231,222,984,261
2021년01월_여_10~19세,"4,240",357,52,29,41,52,59,66,35,28,57,440,299,156,110,403,284,323,"1,065",384
2021년01월_여_20~29세,"3,963",349,66,29,52,60,76,64,44,28,56,291,278,126,134,282,412,379,830,407
2021년01월_여_30~39세,"3,954",348,50,20,39,42,51,54,32,32,57,273,217,136,123,264,308,296,"1,239",373
2021년01월_여_40~49세,"6,676",565,80,33,70,76,97,98,58,60,76,644,454,233,210,589,510,550,"1,649",624
2021년01월_여_50~59세,"8,772",946,213,114,154,171,241,251,177,163,269,631,566,308,309,590,822,799,"1,313",735
2021년01월_여_60~69세,"9,616","1,166",264,167,210,245,357,349,271,215,421,616,583,488,426,468,806,756,"1,164",644
2021년01월_여_70~79세,"6,519",813,179,153,168,201,278,223,182,184,305,429,445,327,292,297,511,415,724,393
2021년01월_여_80~89세,"4,481",521,190,141,164,174,251,175,149,195,252,259,248,221,153,188,257,248,409,286
2021년01월_여_90~99세,811,114,33,26,41,45,51,27,34,34,45,65,32,26,27,22,40,45,64,40
2021년01월_여_100세 이상,50,10,1,3,3,3,1,5,1,0,3,3,3,3,1,2,2,1,2,3
