카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년07월_계_총인구수,"101,515","10,928","4,209","3,849","3,198","2,185","3,109","1,166","4,234","5,968","4,451","3,052","29,584","9,535","4,846","6,927","4,274"
2020년07월_계_연령구간인구수,"101,515","10,928","4,209","3,849","3,198","2,185","3,109","1,166","4,234","5,968","4,451","3,052","29,584","9,535","4,846","6,927","4,274"
2020년07월_계_0~9세,"5,805",404,105,105,69,68,68,18,131,273,78,83,"2,708",686,182,565,262
2020년07월_계_10~19세,"6,691",481,150,170,90,87,88,33,154,232,140,93,"2,990",933,277,565,208
2020년07월_계_20~29세,"10,201",972,330,232,181,106,176,65,269,975,269,208,"3,552","1,244",498,702,422
2020년07월_계_30~39세,"9,453",794,299,224,179,97,166,49,237,469,254,193,"3,748","1,033",396,845,470
2020년07월_계_40~49세,"12,856","1,300",373,345,283,169,254,61,405,511,417,261,"4,865","1,461",567,"1,068",516
2020년07월_계_50~59세,"18,292","2,277",804,662,578,404,593,261,702,895,799,562,"5,242","1,677",903,"1,130",803
2020년07월_계_60~69세,"18,145","2,237",998,938,756,539,800,281,961,"1,108","1,072",819,"3,670","1,261",958,994,753
2020년07월_계_70~79세,"12,423","1,589",711,705,629,388,573,217,848,924,850,500,"1,783",808,678,706,514
2020년07월_계_80~89세,"6,842",795,382,421,390,292,344,159,465,524,506,296,931,386,349,323,279
2020년07월_계_90~99세,765,76,54,46,43,34,41,21,61,54,63,36,90,41,37,22,46
2020년07월_계_100세 이상,42,3,3,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020년07월_남_총인구수,"51,550","5,735","2,183","1,888","1,666","1,079","1,571",584,"2,152","3,297","2,291","1,598","14,603","4,750","2,387","3,449","2,317"
2020년07월_남_연령구간인구수,"51,550","5,735","2,183","1,888","1,666","1,079","1,571",584,"2,152","3,297","2,291","1,598","14,603","4,750","2,387","3,449","2,317"
2020년07월_남_0~9세,"2,930",210,54,59,38,40,29,11,67,146,36,45,"1,353",342,91,272,137
2020년07월_남_10~19세,"3,590",280,83,83,55,46,52,15,86,124,77,43,"1,597",486,143,313,107
2020년07월_남_20~29세,"6,030",555,197,146,126,61,99,38,166,774,161,125,"1,987",676,270,383,266
2020년07월_남_30~39세,"5,167",444,187,128,103,56,101,25,129,267,157,120,"1,970",539,221,436,284
2020년07월_남_40~49세,"7,057",760,242,192,180,100,162,36,249,322,253,172,"2,406",773,326,565,319
2020년07월_남_50~59세,"9,754","1,324",428,365,348,219,339,142,393,468,460,336,"2,572",820,481,572,487
2020년07월_남_60~69세,"9,066","1,149",509,465,411,279,395,160,472,586,560,420,"1,715",641,451,478,375
2020년07월_남_70~79세,"5,509",723,341,302,273,177,268,94,395,416,401,229,726,333,294,297,240
2020년07월_남_80~89세,"2,243",269,127,138,121,96,115,58,172,179,173,99,252,133,100,118,93
2020년07월_남_90~99세,191,20,14,10,11,5,10,5,23,14,12,8,24,6,10,10,9
2020년07월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년07월_여_총인구수,"49,965","5,193","2,026","1,961","1,532","1,106","1,538",582,"2,082","2,671","2,160","1,454","14,981","4,785","2,459","3,478","1,957"
2020년07월_여_연령구간인구수,"49,965","5,193","2,026","1,961","1,532","1,106","1,538",582,"2,082","2,671","2,160","1,454","14,981","4,785","2,459","3,478","1,957"
2020년07월_여_0~9세,"2,875",194,51,46,31,28,39,7,64,127,42,38,"1,355",344,91,293,125
2020년07월_여_10~19세,"3,101",201,67,87,35,41,36,18,68,108,63,50,"1,393",447,134,252,101
2020년07월_여_20~29세,"4,171",417,133,86,55,45,77,27,103,201,108,83,"1,565",568,228,319,156
2020년07월_여_30~39세,"4,286",350,112,96,76,41,65,24,108,202,97,73,"1,778",494,175,409,186
2020년07월_여_40~49세,"5,799",540,131,153,103,69,92,25,156,189,164,89,"2,459",688,241,503,197
2020년07월_여_50~59세,"8,538",953,376,297,230,185,254,119,309,427,339,226,"2,670",857,422,558,316
2020년07월_여_60~69세,"9,079","1,088",489,473,345,260,405,121,489,522,512,399,"1,955",620,507,516,378
2020년07월_여_70~79세,"6,914",866,370,403,356,211,305,123,453,508,449,271,"1,057",475,384,409,274
2020년07월_여_80~89세,"4,599",526,255,283,269,196,229,101,293,345,333,197,679,253,249,205,186
2020년07월_여_90~99세,574,56,40,36,32,29,31,16,38,40,51,28,66,35,27,12,37
2020년07월_여_100세 이상,29,2,2,1,0,1,5,1,1,2,2,0,4,4,1,2,1
