카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년01월_계_총인구수,"544,608","46,408","42,418","31,378","48,903","26,902","28,384","6,752","10,125","23,012","13,803","15,224","32,759","11,948","21,002","16,703","11,068","33,221","23,012","24,608","28,593","24,891","23,494"
2020년01월_계_연령구간인구수,"544,608","46,408","42,418","31,378","48,903","26,902","28,384","6,752","10,125","23,012","13,803","15,224","32,759","11,948","21,002","16,703","11,068","33,221","23,012","24,608","28,593","24,891","23,494"
2020년01월_계_0~9세,"53,009","5,064","2,667","4,112","7,193","4,258","3,441",364,521,"1,338",829,688,"2,950",602,"1,534",755,817,"2,958","2,101","2,734","3,226","2,485","2,372"
2020년01월_계_10~19세,"57,736","4,541","3,818","4,363","6,192","3,499","2,156",484,859,"1,665",957,"1,416","3,157",894,"2,077","1,389",806,"3,527","2,966","3,548","3,359","2,744","3,319"
2020년01월_계_20~29세,"73,476","6,585","6,823","3,753","5,840","2,849","3,525","1,098","1,674","3,407","1,849","2,366","4,503","1,701","3,190","2,340","1,509","4,761","2,877","2,619","3,876","3,197","3,134"
2020년01월_계_30~39세,"82,587","8,825","5,211","6,162","8,626","5,025","5,248",922,"1,202","3,007","1,665","1,669","4,704","1,480","2,711","1,909","1,739","4,860","2,670","3,623","4,869","3,420","3,040"
2020년01월_계_40~49세,"96,469","8,543","6,755","6,429","9,826","5,300","4,471",872,"1,430","3,435","2,000","2,338","5,154","1,884","3,089","2,365","1,627","5,977","4,656","5,723","5,539","4,427","4,629"
2020년01월_계_50~59세,"93,079","6,811","8,892","3,889","6,443","3,558","4,654","1,649","2,349","4,884","2,859","3,312","6,189","2,555","4,139","3,472","2,100","5,778","3,808","3,276","4,385","4,381","3,696"
2020년01월_계_60~69세,"53,544","3,711","4,793","1,705","3,207","1,650","3,047",916,"1,320","3,221","2,181","2,031","3,970","1,648","2,686","2,671","1,547","3,145","2,044","1,700","1,962","2,499","1,890"
2020년01월_계_70~79세,"23,271","1,642","2,173",639,"1,082",496,"1,251",275,504,"1,399",995,964,"1,494",831,"1,034","1,220",590,"1,482","1,274",938,911,"1,133",944
2020년01월_계_80~89세,"9,789",582,"1,095",285,421,222,494,131,236,563,408,388,550,305,457,509,270,624,566,381,405,506,391
2020년01월_계_90~99세,"1,548",98,180,41,70,44,90,34,28,83,57,51,81,45,84,66,57,99,45,61,59,96,79
2020년01월_계_100세 이상,100,6,11,0,3,1,7,7,2,10,3,1,7,3,1,7,6,10,5,5,2,3,0
2020년01월_남_총인구수,"274,954","23,579","21,640","15,600","24,344","13,248","14,285","3,541","5,108","11,858","7,162","7,720","16,403","6,392","10,217","8,518","5,690","17,149","11,591","12,436","14,201","12,723","11,549"
2020년01월_남_연령구간인구수,"274,954","23,579","21,640","15,600","24,344","13,248","14,285","3,541","5,108","11,858","7,162","7,720","16,403","6,392","10,217","8,518","5,690","17,149","11,591","12,436","14,201","12,723","11,549"
2020년01월_남_0~9세,"27,327","2,610","1,372","2,129","3,733","2,199","1,804",182,259,690,419,380,"1,499",331,768,376,406,"1,537","1,062","1,445","1,633","1,282","1,211"
2020년01월_남_10~19세,"29,576","2,386","1,983","2,193","3,185","1,742","1,123",256,439,871,518,691,"1,562",460,"1,045",724,438,"1,801","1,530","1,821","1,744","1,417","1,647"
2020년01월_남_20~29세,"38,202","3,397","3,621","1,828","2,968","1,433","1,806",607,892,"1,824","1,019","1,281","2,333",942,"1,660","1,252",767,"2,494","1,522","1,340","1,920","1,718","1,578"
2020년01월_남_30~39세,"42,054","4,484","2,807","3,027","4,042","2,324","2,656",520,672,"1,721",910,955,"2,384",861,"1,366","1,092",916,"2,652","1,344","1,763","2,392","1,699","1,467"
2020년01월_남_40~49세,"49,114","4,471","3,434","3,189","4,929","2,622","2,373",467,718,"1,867","1,090","1,196","2,599","1,068","1,467","1,209",843,"3,078","2,330","2,878","2,754","2,289","2,243"
2020년01월_남_50~59세,"47,320","3,435","4,531","2,009","3,192","1,765","2,292",862,"1,136","2,442","1,466","1,651","3,074","1,373","1,947","1,739","1,085","3,071","2,034","1,823","2,222","2,270","1,901"
2020년01월_남_60~69세,"27,263","1,833","2,528",869,"1,636",877,"1,498",477,701,"1,628","1,115","1,011","2,054",871,"1,347","1,358",856,"1,617",968,789,981,"1,332",917
2020년01월_남_70~79세,"10,615",741,941,255,512,220,583,131,209,639,482,436,713,370,462,592,279,676,573,415,391,545,450
2020년01월_남_80~89세,"3,147",195,381,97,132,61,135,30,77,153,130,112,173,102,136,160,82,204,212,151,148,155,121
2020년01월_남_90~99세,307,24,38,4,15,4,13,6,5,19,13,7,11,12,19,15,16,16,15,10,15,16,14
2020년01월_남_100세 이상,29,3,4,0,0,1,2,3,0,4,0,0,1,2,0,1,2,3,1,1,1,0,0
2020년01월_여_총인구수,"269,654","22,829","20,778","15,778","24,559","13,654","14,099","3,211","5,017","11,154","6,641","7,504","16,356","5,556","10,785","8,185","5,378","16,072","11,421","12,172","14,392","12,168","11,945"
2020년01월_여_연령구간인구수,"269,654","22,829","20,778","15,778","24,559","13,654","14,099","3,211","5,017","11,154","6,641","7,504","16,356","5,556","10,785","8,185","5,378","16,072","11,421","12,172","14,392","12,168","11,945"
2020년01월_여_0~9세,"25,682","2,454","1,295","1,983","3,460","2,059","1,637",182,262,648,410,308,"1,451",271,766,379,411,"1,421","1,039","1,289","1,593","1,203","1,161"
2020년01월_여_10~19세,"28,160","2,155","1,835","2,170","3,007","1,757","1,033",228,420,794,439,725,"1,595",434,"1,032",665,368,"1,726","1,436","1,727","1,615","1,327","1,672"
2020년01월_여_20~29세,"35,274","3,188","3,202","1,925","2,872","1,416","1,719",491,782,"1,583",830,"1,085","2,170",759,"1,530","1,088",742,"2,267","1,355","1,279","1,956","1,479","1,556"
2020년01월_여_30~39세,"40,533","4,341","2,404","3,135","4,584","2,701","2,592",402,530,"1,286",755,714,"2,320",619,"1,345",817,823,"2,208","1,326","1,860","2,477","1,721","1,573"
2020년01월_여_40~49세,"47,355","4,072","3,321","3,240","4,897","2,678","2,098",405,712,"1,568",910,"1,142","2,555",816,"1,622","1,156",784,"2,899","2,326","2,845","2,785","2,138","2,386"
2020년01월_여_50~59세,"45,759","3,376","4,361","1,880","3,251","1,793","2,362",787,"1,213","2,442","1,393","1,661","3,115","1,182","2,192","1,733","1,015","2,707","1,774","1,453","2,163","2,111","1,795"
2020년01월_여_60~69세,"26,281","1,878","2,265",836,"1,571",773,"1,549",439,619,"1,593","1,066","1,020","1,916",777,"1,339","1,313",691,"1,528","1,076",911,981,"1,167",973
2020년01월_여_70~79세,"12,656",901,"1,232",384,570,276,668,144,295,760,513,528,781,461,572,628,311,806,701,523,520,588,494
2020년01월_여_80~89세,"6,642",387,714,188,289,161,359,101,159,410,278,276,377,203,321,349,188,420,354,230,257,351,270
2020년01월_여_90~99세,"1,241",74,142,37,55,40,77,28,23,64,44,44,70,33,65,51,41,83,30,51,44,80,65
2020년01월_여_100세 이상,71,3,7,0,3,0,5,4,2,6,3,1,6,1,1,6,4,7,4,4,1,3,0
