,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2021년02월_계_총인구수,"51,227","22,791","3,308","2,811","2,471","2,519","2,869","2,139","3,207","3,066","6,046"
2021년02월_계_연령구간인구수,"51,227","22,791","3,308","2,811","2,471","2,519","2,869","2,139","3,207","3,066","6,046"
2021년02월_계_0~9세,"2,517","1,636",84,76,64,125,85,56,72,78,241
2021년02월_계_10~19세,"4,254","2,463",152,105,68,136,400,158,211,146,415
2021년02월_계_20~29세,"3,972","2,170",221,181,103,133,165,101,189,202,507
2021년02월_계_30~39세,"3,649","2,092",194,150,111,140,125,83,139,193,422
2021년02월_계_40~49세,"6,191","3,538",294,243,177,250,248,161,304,293,683
2021년02월_계_50~59세,"8,976","3,754",604,488,419,416,419,429,639,578,"1,230"
2021년02월_계_60~69세,"9,997","3,461",752,717,628,589,592,485,703,745,"1,325"
2021년02월_계_70~79세,"6,837","2,374",549,462,468,414,447,370,563,489,701
2021년02월_계_80~89세,"4,239","1,149",379,340,379,280,355,261,349,287,460
2021년02월_계_90~99세,566,140,77,48,51,36,32,33,36,53,60
2021년02월_계_100세 이상,29,14,2,1,3,0,1,2,2,2,2
2021년02월_남_총인구수,"25,815","11,187","1,704","1,465","1,240","1,256","1,447","1,100","1,610","1,618","3,188"
2021년02월_남_연령구간인구수,"25,815","11,187","1,704","1,465","1,240","1,256","1,447","1,100","1,610","1,618","3,188"
2021년02월_남_0~9세,"1,283",809,55,41,32,61,48,27,41,39,130
2021년02월_남_10~19세,"2,217","1,253",83,66,33,71,196,86,117,86,226
2021년02월_남_20~29세,"2,276","1,216",135,114,61,76,100,68,97,117,292
2021년02월_남_30~39세,"1,922","1,061",108,89,69,75,62,37,68,99,254
2021년02월_남_40~49세,"3,411","1,841",166,155,120,142,151,99,176,181,380
2021년02월_남_50~59세,"4,951","1,924",353,274,256,249,246,244,371,343,691
2021년02월_남_60~69세,"5,095","1,645",389,382,320,303,312,275,366,393,710
2021년02월_남_70~79세,"3,104",998,260,227,217,185,208,168,254,250,337
2021년02월_남_80~89세,"1,415",409,135,105,120,86,116,90,109,94,151
2021년02월_남_90~99세,133,28,19,12,12,8,8,5,9,15,17
2021년02월_남_100세 이상,8,3,1,0,0,0,0,1,2,1,0
2021년02월_여_총인구수,"25,412","11,604","1,604","1,346","1,231","1,263","1,422","1,039","1,597","1,448","2,858"
2021년02월_여_연령구간인구수,"25,412","11,604","1,604","1,346","1,231","1,263","1,422","1,039","1,597","1,448","2,858"
2021년02월_여_0~9세,"1,234",827,29,35,32,64,37,29,31,39,111
2021년02월_여_10~19세,"2,037","1,210",69,39,35,65,204,72,94,60,189
2021년02월_여_20~29세,"1,696",954,86,67,42,57,65,33,92,85,215
2021년02월_여_30~39세,"1,727","1,031",86,61,42,65,63,46,71,94,168
2021년02월_여_40~49세,"2,780","1,697",128,88,57,108,97,62,128,112,303
2021년02월_여_50~59세,"4,025","1,830",251,214,163,167,173,185,268,235,539
2021년02월_여_60~69세,"4,902","1,816",363,335,308,286,280,210,337,352,615
2021년02월_여_70~79세,"3,733","1,376",289,235,251,229,239,202,309,239,364
2021년02월_여_80~89세,"2,824",740,244,235,259,194,239,171,240,193,309
2021년02월_여_90~99세,433,112,58,36,39,28,24,28,27,38,43
2021년02월_여_100세 이상,21,11,1,1,3,0,1,1,0,1,2
