카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년07월_계_총인구수,"94,315","17,152","20,346","2,930","3,068","13,297","15,764","7,047","4,573","10,138"
2020년07월_계_연령구간인구수,"94,315","17,152","20,346","2,930","3,068","13,297","15,764","7,047","4,573","10,138"
2020년07월_계_0~9세,"6,281",943,"1,432",52,66,"1,646","1,172",272,181,517
2020년07월_계_10~19세,"7,891","1,449","2,078",120,154,"1,007","1,599",451,235,798
2020년07월_계_20~29세,"9,645","1,747","2,258",167,181,"1,476","1,792",638,350,"1,036"
2020년07월_계_30~39세,"10,157","1,576","2,171",180,173,"2,483","1,758",601,322,893
2020년07월_계_40~49세,"14,064","2,378","3,410",229,229,"2,220","2,892",898,491,"1,317"
2020년07월_계_50~59세,"17,856","3,302","3,902",543,548,"1,831","3,186","1,588",944,"2,012"
2020년07월_계_60~69세,"14,768","2,980","2,747",682,778,"1,454","1,903","1,356","1,009","1,859"
2020년07월_계_70~79세,"8,295","1,751","1,447",539,547,730,905,731,596,"1,049"
2020년07월_계_80~89세,"4,612",885,778,370,333,369,486,444,384,563
2020년07월_계_90~99세,693,134,109,46,56,65,71,64,57,91
2020년07월_계_100세 이상,53,7,14,2,3,16,0,4,4,3
2020년07월_남_총인구수,"49,995","8,762","10,862","1,501","1,608","7,107","8,603","3,901","2,490","5,161"
2020년07월_남_연령구간인구수,"49,995","8,762","10,862","1,501","1,608","7,107","8,603","3,901","2,490","5,161"
2020년07월_남_0~9세,"3,274",486,751,26,32,866,606,160,93,254
2020년07월_남_10~19세,"4,115",734,"1,143",65,102,503,833,246,116,373
2020년07월_남_20~29세,"5,634",997,"1,348",99,106,788,"1,075",394,235,592
2020년07월_남_30~39세,"5,682",871,"1,204",109,101,"1,328","1,022",369,193,485
2020년07월_남_40~49세,"7,896","1,272","1,874",152,154,"1,244","1,586",571,312,731
2020년07월_남_50~59세,"9,916","1,763","2,187",296,302,999,"1,849",911,543,"1,066"
2020년07월_남_60~69세,"7,823","1,504","1,413",364,428,837,"1,031",747,551,948
2020년07월_남_70~79세,"3,903",807,639,242,263,368,419,347,301,517
2020년07월_남_80~89세,"1,559",285,275,139,105,146,165,140,130,174
2020년07월_남_90~99세,168,40,25,9,14,14,17,14,14,21
2020년07월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년07월_여_총인구수,"44,320","8,390","9,484","1,429","1,460","6,190","7,161","3,146","2,083","4,977"
2020년07월_여_연령구간인구수,"44,320","8,390","9,484","1,429","1,460","6,190","7,161","3,146","2,083","4,977"
2020년07월_여_0~9세,"3,007",457,681,26,34,780,566,112,88,263
2020년07월_여_10~19세,"3,776",715,935,55,52,504,766,205,119,425
2020년07월_여_20~29세,"4,011",750,910,68,75,688,717,244,115,444
2020년07월_여_30~39세,"4,475",705,967,71,72,"1,155",736,232,129,408
2020년07월_여_40~49세,"6,168","1,106","1,536",77,75,976,"1,306",327,179,586
2020년07월_여_50~59세,"7,940","1,539","1,715",247,246,832,"1,337",677,401,946
2020년07월_여_60~69세,"6,945","1,476","1,334",318,350,617,872,609,458,911
2020년07월_여_70~79세,"4,392",944,808,297,284,362,486,384,295,532
2020년07월_여_80~89세,"3,053",600,503,231,228,223,321,304,254,389
2020년07월_여_90~99세,525,94,84,37,42,51,54,50,43,70
2020년07월_여_100세 이상,28,4,11,2,2,2,0,2,2,3
