카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년06월_계_총인구수,"307,070","17,248","16,193","20,586","19,434","35,362","23,903","15,475","13,881","22,770","26,611","15,605","29,798","18,211","31,993"
2021년06월_계_연령구간인구수,"307,070","17,248","16,193","20,586","19,434","35,362","23,903","15,475","13,881","22,770","26,611","15,605","29,798","18,211","31,993"
2021년06월_계_0~9세,"19,452","1,190","1,395","1,201",695,"1,610","1,475",744,773,"1,457","1,216","2,099","2,658","1,372","1,567"
2021년06월_계_10~19세,"23,065","1,425","1,045","1,346",920,"2,366","1,855","1,077","1,028","1,749","2,119","1,461","2,381","1,932","2,361"
2021년06월_계_20~29세,"49,525","2,145","2,304","3,435","7,622","7,577","3,116","2,059","1,786","2,845","4,128","1,484","4,231","2,123","4,670"
2021년06월_계_30~39세,"44,493","2,347","2,836","3,327","3,385","5,558","3,345","1,948","1,865","3,014","3,474","2,364","4,497","2,350","4,183"
2021년06월_계_40~49세,"46,171","2,728","2,611","3,002","1,964","4,826","3,657","2,106","1,966","3,382","3,864","3,076","4,879","3,201","4,909"
2021년06월_계_50~59세,"48,627","2,978","2,711","3,301","1,953","5,142","4,046","2,648","2,517","3,905","4,533","2,141","4,416","2,997","5,339"
2021년06월_계_60~69세,"39,141","2,221","1,818","2,721","1,408","4,105","3,336","2,308","2,084","3,371","3,792","1,571","3,442","2,252","4,712"
2021년06월_계_70~79세,"23,559","1,362",968,"1,412",906,"2,673","1,982","1,621","1,212","1,917","2,196",920,"2,164","1,319","2,907"
2021년06월_계_80~89세,"11,390",760,437,705,506,"1,298",968,854,568,988,"1,114",430,989,583,"1,190"
2021년06월_계_90~99세,"1,535",87,63,126,70,197,120,86,78,137,145,55,139,80,152
2021년06월_계_100세 이상,112,5,5,10,5,10,3,24,4,5,30,4,2,2,3
2021년06월_남_총인구수,"146,844","8,173","7,758","9,915","8,613","16,994","11,242","7,476","6,562","10,988","12,835","7,516","14,393","8,795","15,584"
2021년06월_남_연령구간인구수,"146,844","8,173","7,758","9,915","8,613","16,994","11,242","7,476","6,562","10,988","12,835","7,516","14,393","8,795","15,584"
2021년06월_남_0~9세,"9,891",593,709,601,367,808,742,372,416,732,609,"1,064","1,343",702,833
2021년06월_남_10~19세,"11,511",712,513,646,414,"1,188",909,580,523,859,"1,082",703,"1,175","1,022","1,185"
2021년06월_남_20~29세,"23,613","1,020","1,047","1,650","2,933","3,824","1,530","1,022",883,"1,446","2,077",723,"2,074","1,035","2,349"
2021년06월_남_30~39세,"21,948","1,144","1,378","1,634","1,700","2,781","1,617","1,011",901,"1,516","1,820","1,033","2,166","1,097","2,150"
2021년06월_남_40~49세,"22,809","1,318","1,342","1,505",950,"2,303","1,763","1,058",949,"1,663","1,890","1,606","2,455","1,590","2,417"
2021년06월_남_50~59세,"23,729","1,487","1,335","1,641",981,"2,457","1,883","1,330","1,187","1,906","2,199","1,058","2,211","1,451","2,603"
2021년06월_남_60~69세,"18,439","1,064",853,"1,311",656,"1,907","1,536","1,067",981,"1,635","1,726",745,"1,638","1,069","2,251"
2021년06월_남_70~79세,"10,060",548,413,629,390,"1,119",847,678,483,822,968,383,921,570,"1,289"
2021년06월_남_80~89세,"4,396",264,151,263,200,532,382,317,215,373,429,185,377,239,469
2021년06월_남_90~99세,413,21,16,32,20,72,33,29,22,36,28,15,32,19,38
2021년06월_남_100세 이상,35,2,1,3,2,3,0,12,2,0,7,1,1,1,0
2021년06월_여_총인구수,"160,226","9,075","8,435","10,671","10,821","18,368","12,661","7,999","7,319","11,782","13,776","8,089","15,405","9,416","16,409"
2021년06월_여_연령구간인구수,"160,226","9,075","8,435","10,671","10,821","18,368","12,661","7,999","7,319","11,782","13,776","8,089","15,405","9,416","16,409"
2021년06월_여_0~9세,"9,561",597,686,600,328,802,733,372,357,725,607,"1,035","1,315",670,734
2021년06월_여_10~19세,"11,554",713,532,700,506,"1,178",946,497,505,890,"1,037",758,"1,206",910,"1,176"
2021년06월_여_20~29세,"25,912","1,125","1,257","1,785","4,689","3,753","1,586","1,037",903,"1,399","2,051",761,"2,157","1,088","2,321"
2021년06월_여_30~39세,"22,545","1,203","1,458","1,693","1,685","2,777","1,728",937,964,"1,498","1,654","1,331","2,331","1,253","2,033"
2021년06월_여_40~49세,"23,362","1,410","1,269","1,497","1,014","2,523","1,894","1,048","1,017","1,719","1,974","1,470","2,424","1,611","2,492"
2021년06월_여_50~59세,"24,898","1,491","1,376","1,660",972,"2,685","2,163","1,318","1,330","1,999","2,334","1,083","2,205","1,546","2,736"
2021년06월_여_60~69세,"20,702","1,157",965,"1,410",752,"2,198","1,800","1,241","1,103","1,736","2,066",826,"1,804","1,183","2,461"
2021년06월_여_70~79세,"13,499",814,555,783,516,"1,554","1,135",943,729,"1,095","1,228",537,"1,243",749,"1,618"
2021년06월_여_80~89세,"6,994",496,286,442,306,766,586,537,353,615,685,245,612,344,721
2021년06월_여_90~99세,"1,122",66,47,94,50,125,87,57,56,101,117,40,107,61,114
2021년06월_여_100세 이상,77,3,4,7,3,7,3,12,2,5,23,3,1,1,3
