,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년03월_계_총인구수,"509,115","44,725","36,301","9,978","55,731","12,133","42,229","22,052","16,026","20,328","22,571","32,064","22,935","21,371","71,063","1,988","23,771","30,895","22,954"
2021년03월_계_연령구간인구수,"509,115","44,725","36,301","9,978","55,731","12,133","42,229","22,052","16,026","20,328","22,571","32,064","22,935","21,371","71,063","1,988","23,771","30,895","22,954"
2021년03월_계_0~9세,"49,124","3,478","1,612",442,"7,337",680,"5,855","1,533","1,385","1,133","1,297","2,394","1,723","1,651","10,906",40,"1,699","3,658","2,301"
2021년03월_계_10~19세,"50,509","3,547","3,223",749,"5,728","1,185","3,338","2,198","1,479","1,119","1,955","3,551","2,127","2,703","8,001",53,"2,878","3,980","2,695"
2021년03월_계_20~29세,"70,166","6,812","5,872","1,403","6,655","1,650","4,204","2,874","1,873","3,243","3,796","5,175","3,065","3,583","9,055",162,"3,678","3,912","3,154"
2021년03월_계_30~39세,"78,787","6,964","3,907",966,"9,800","1,100","8,361","2,667","2,357","4,013","3,378","4,346","3,143","2,433","14,531",173,"2,586","4,652","3,410"
2021년03월_계_40~49세,"91,950","6,576","5,254","1,304","9,710","1,944","7,454","3,851","3,181","4,221","4,554","6,125","4,618","3,829","14,767",180,"4,180","6,160","4,042"
2021년03월_계_50~59세,"88,589","8,611","8,117","2,225","8,631","2,472","5,714","4,087","2,701","3,765","4,322","6,216","4,563","4,324","8,592",476,"4,823","5,048","3,902"
2021년03월_계_60~69세,"49,553","5,516","5,150","1,691","5,055","1,690","4,559","2,840","1,802","1,862","2,145","2,598","2,336","1,649","3,745",567,"2,216","2,121","2,011"
2021년03월_계_70~79세,"19,725","2,031","2,090",757,"1,832",894,"1,843","1,301",838,664,741,"1,023",871,727,"1,029",228,"1,075",888,893
2021년03월_계_80~89세,"9,192","1,009",936,378,831,448,759,605,353,265,328,564,406,431,373,87,546,408,465
2021년03월_계_90~99세,"1,417",174,117,54,146,66,128,85,53,40,53,69,81,40,63,18,85,65,80
2021년03월_계_100세 이상,103,7,23,9,6,4,14,11,4,3,2,3,2,1,1,4,5,3,1
