,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년03월_계_총인구수,"23,940","9,438","2,233","4,037","2,579","4,246","1,407"
2021년03월_계_연령구간인구수,"23,940","9,438","2,233","4,037","2,579","4,246","1,407"
2021년03월_계_0~9세,"1,170",721,55,176,61,125,32
2021년03월_계_10~19세,"1,825",998,109,296,112,254,56
2021년03월_계_20~29세,"1,733",863,117,314,141,241,57
2021년03월_계_30~39세,"1,679",878,137,244,116,238,66
2021년03월_계_40~49세,"2,824","1,442",186,490,228,372,106
2021년03월_계_50~59세,"4,145","1,479",437,789,440,759,241
2021년03월_계_60~69세,"4,497","1,311",522,784,568,948,364
2021년03월_계_70~79세,"3,354",992,366,538,479,700,279
2021년03월_계_80~89세,"2,367",642,266,362,385,535,177
2021년03월_계_90~99세,324,105,37,42,46,66,28
2021년03월_계_100세 이상,22,7,1,2,3,8,1
2021년03월_남_총인구수,"11,944","4,709","1,112","2,042","1,274","2,103",704
2021년03월_남_연령구간인구수,"11,944","4,709","1,112","2,042","1,274","2,103",704
2021년03월_남_0~9세,629,385,31,102,29,68,14
2021년03월_남_10~19세,929,498,65,161,54,123,28
2021년03월_남_20~29세,969,470,65,170,88,140,36
2021년03월_남_30~39세,924,451,78,145,72,140,38
2021년03월_남_40~49세,"1,571",757,112,273,132,229,68
2021년03월_남_50~59세,"2,292",824,228,439,249,417,135
2021년03월_남_60~69세,"2,328",653,270,404,307,496,198
2021년03월_남_70~79세,"1,398",421,167,211,192,287,120
2021년03월_남_80~89세,823,229,86,127,135,186,60
2021년03월_남_90~99세,76,21,9,10,15,14,7
2021년03월_남_100세 이상,5,0,1,0,1,3,0
2021년03월_여_총인구수,"11,996","4,729","1,121","1,995","1,305","2,143",703
2021년03월_여_연령구간인구수,"11,996","4,729","1,121","1,995","1,305","2,143",703
2021년03월_여_0~9세,541,336,24,74,32,57,18
2021년03월_여_10~19세,896,500,44,135,58,131,28
2021년03월_여_20~29세,764,393,52,144,53,101,21
2021년03월_여_30~39세,755,427,59,99,44,98,28
2021년03월_여_40~49세,"1,253",685,74,217,96,143,38
2021년03월_여_50~59세,"1,853",655,209,350,191,342,106
2021년03월_여_60~69세,"2,169",658,252,380,261,452,166
2021년03월_여_70~79세,"1,956",571,199,327,287,413,159
2021년03월_여_80~89세,"1,544",413,180,235,250,349,117
2021년03월_여_90~99세,248,84,28,32,31,52,21
2021년03월_여_100세 이상,17,7,0,2,2,5,1
