,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년08월_계_총인구수,"283,496","7,066","7,988","7,252","2,316","1,581","1,944","2,660","3,119","3,035","3,402","5,346","4,450","4,583","2,643","1,594","3,519","4,933","7,119","22,766","9,200","11,777","38,665","8,652","23,600","14,470","25,449","15,670","6,743","31,954"
2020년08월_계_연령구간인구수,"283,496","7,066","7,988","7,252","2,316","1,581","1,944","2,660","3,119","3,035","3,402","5,346","4,450","4,583","2,643","1,594","3,519","4,933","7,119","22,766","9,200","11,777","38,665","8,652","23,600","14,470","25,449","15,670","6,743","31,954"
2020년08월_계_0~9세,"19,772",386,546,277,64,30,33,72,107,95,188,332,95,190,73,23,100,338,324,"1,745",418,508,"3,729",922,"1,588","1,324","2,411",668,570,"2,616"
2020년08월_계_10~19세,"28,291",608,624,529,139,64,102,147,146,135,172,365,201,296,113,88,156,346,430,"2,267",668,861,"4,354",976,"2,778","2,120","3,496","1,155",680,"4,275"
2020년08월_계_20~29세,"36,311",634,704,679,178,96,129,174,218,150,332,694,268,394,255,102,363,499,907,"2,571","1,334","1,363","4,875",870,"3,403","2,268","3,520","4,020",746,"4,565"
2020년08월_계_30~39세,"29,079",551,817,527,129,61,97,152,196,161,283,467,238,347,159,66,324,561,791,"2,494",860,"1,036","4,510","1,205","2,441","1,671","3,149","1,484",866,"3,436"
2020년08월_계_40~49세,"42,427",833,"1,066",822,224,137,179,231,334,270,337,587,412,532,255,156,431,726,856,"3,531","1,199","1,506","6,286","1,448","3,670","2,838","5,013","1,724","1,053","5,771"
2020년08월_계_50~59세,"49,301","1,241","1,405","1,339",441,268,374,385,561,539,577,946,757,854,549,234,578,947,"1,136","4,038","1,857","1,946","6,394","1,267","4,549","2,457","4,411","2,313","1,089","5,849"
2020년08월_계_60~69세,"39,666","1,382","1,414","1,377",445,378,439,609,659,702,632,982,998,912,521,368,738,832,"1,304","3,342","1,608","2,118","4,694","1,048","3,184",951,"2,068","2,031",867,"3,063"
2020년08월_계_70~79세,"24,239",862,840,980,401,284,336,521,529,567,514,623,831,573,392,312,571,461,888,"1,830",855,"1,709","2,477",641,"1,305",569,911,"1,443",515,"1,499"
2020년08월_계_80~89세,"12,397",491,495,609,244,218,215,316,326,361,322,309,544,411,271,208,211,189,428,839,346,644,"1,165",245,576,241,410,697,280,786
2020년08월_계_90~99세,"1,907",72,75,103,47,43,37,53,42,51,43,39,99,72,51,34,42,31,53,99,53,83,176,28,104,31,57,123,74,92
2020년08월_계_100세 이상,106,6,2,10,4,2,3,0,1,4,2,2,7,2,4,3,5,3,2,10,2,3,5,2,2,0,3,12,3,2
2020년08월_남_총인구수,"141,163","3,456","3,940","3,653","1,144",811,989,"1,342","1,646","1,493","1,704","2,828","2,290","2,365","1,363",784,"1,874","2,610","3,630","11,231","4,679","5,982","18,726","4,317","11,606","7,071","12,409","7,892","3,478","15,850"
2020년08월_남_연령구간인구수,"141,163","3,456","3,940","3,653","1,144",811,989,"1,342","1,646","1,493","1,704","2,828","2,290","2,365","1,363",784,"1,874","2,610","3,630","11,231","4,679","5,982","18,726","4,317","11,606","7,071","12,409","7,892","3,478","15,850"
2020년08월_남_0~9세,"10,088",201,272,145,27,14,25,36,50,41,86,177,60,104,43,11,59,183,172,858,234,272,"1,911",450,806,670,"1,244",339,292,"1,306"
2020년08월_남_10~19세,"14,462",279,311,269,65,42,52,72,89,62,95,177,114,164,64,49,95,163,224,"1,211",374,472,"2,154",520,"1,419","1,110","1,765",546,342,"2,163"
2020년08월_남_20~29세,"19,775",363,367,394,106,51,76,101,126,93,188,470,149,230,148,59,206,279,461,"1,388",726,761,"2,525",474,"1,859","1,166","1,870","2,253",428,"2,458"
2020년08월_남_30~39세,"15,244",287,445,287,74,40,56,104,111,108,166,262,160,194,105,33,207,302,469,"1,305",493,585,"2,184",606,"1,249",818,"1,557",854,474,"1,709"
2020년08월_남_40~49세,"21,684",456,572,471,132,89,117,153,213,157,198,343,268,319,168,105,253,409,481,"1,842",656,831,"3,107",756,"1,735","1,278","2,298",931,555,"2,791"
2020년08월_남_50~59세,"24,991",641,707,717,239,163,220,211,329,293,317,489,424,480,298,122,297,529,617,"1,988",889,983,"3,041",645,"2,163","1,251","2,234","1,135",575,"2,994"
2020년08월_남_60~69세,"19,672",682,705,719,237,193,219,309,367,346,315,502,527,478,275,186,385,430,602,"1,599",789,"1,002","2,279",501,"1,590",470,969,958,452,"1,586"
2020년08월_남_70~79세,"10,756",380,371,436,172,130,151,239,231,259,236,290,376,260,169,139,276,240,432,735,396,772,"1,094",271,600,218,345,662,251,625
2020년08월_남_80~89세,"4,023",152,169,191,80,79,65,103,118,121,92,106,175,119,80,73,83,67,158,278,111,278,385,85,163,84,115,195,92,206
2020년08월_남_90~99세,445,14,19,21,12,10,7,14,12,12,10,12,34,17,12,7,13,7,14,24,11,24,46,8,22,6,12,18,16,11
2020년08월_남_100세 이상,23,1,2,3,0,0,1,0,0,1,1,0,3,0,1,0,0,1,0,3,0,2,0,1,0,0,0,1,1,1
2020년08월_여_총인구수,"142,333","3,610","4,048","3,599","1,172",770,955,"1,318","1,473","1,542","1,698","2,518","2,160","2,218","1,280",810,"1,645","2,323","3,489","11,535","4,521","5,795","19,939","4,335","11,994","7,399","13,040","7,778","3,265","16,104"
2020년08월_여_연령구간인구수,"142,333","3,610","4,048","3,599","1,172",770,955,"1,318","1,473","1,542","1,698","2,518","2,160","2,218","1,280",810,"1,645","2,323","3,489","11,535","4,521","5,795","19,939","4,335","11,994","7,399","13,040","7,778","3,265","16,104"
2020년08월_여_0~9세,"9,684",185,274,132,37,16,8,36,57,54,102,155,35,86,30,12,41,155,152,887,184,236,"1,818",472,782,654,"1,167",329,278,"1,310"
2020년08월_여_10~19세,"13,829",329,313,260,74,22,50,75,57,73,77,188,87,132,49,39,61,183,206,"1,056",294,389,"2,200",456,"1,359","1,010","1,731",609,338,"2,112"
2020년08월_여_20~29세,"16,536",271,337,285,72,45,53,73,92,57,144,224,119,164,107,43,157,220,446,"1,183",608,602,"2,350",396,"1,544","1,102","1,650","1,767",318,"2,107"
2020년08월_여_30~39세,"13,835",264,372,240,55,21,41,48,85,53,117,205,78,153,54,33,117,259,322,"1,189",367,451,"2,326",599,"1,192",853,"1,592",630,392,"1,727"
2020년08월_여_40~49세,"20,743",377,494,351,92,48,62,78,121,113,139,244,144,213,87,51,178,317,375,"1,689",543,675,"3,179",692,"1,935","1,560","2,715",793,498,"2,980"
2020년08월_여_50~59세,"24,310",600,698,622,202,105,154,174,232,246,260,457,333,374,251,112,281,418,519,"2,050",968,963,"3,353",622,"2,386","1,206","2,177","1,178",514,"2,855"
