,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년06월_계_총인구수,"539,841","55,651","18,197","6,433","7,421","3,806","3,118","5,847","9,747","9,112","9,875","73,658","80,359","9,559","40,171","33,069","7,607","57,078","36,313","72,820"
2021년06월_계_연령구간인구수,"539,841","55,651","18,197","6,433","7,421","3,806","3,118","5,847","9,747","9,112","9,875","73,658","80,359","9,559","40,171","33,069","7,607","57,078","36,313","72,820"
2021년06월_계_0~9세,"47,416","6,295","2,793",207,178,81,75,141,557,600,566,"4,614","7,097",542,"2,443","1,483",489,"5,186","3,477","10,592"
2021년06월_계_10~19세,"60,511","6,127","1,256",311,316,119,137,211,664,537,634,"7,382","10,358",726,"3,803","2,991",722,"8,018","5,134","11,065"
2021년06월_계_20~29세,"68,290","5,305","2,081",578,592,298,257,390,"1,298","1,040","1,372","12,278","10,825","1,220","5,966","5,659",999,"7,071","4,356","6,705"
2021년06월_계_30~39세,"67,638","8,489","3,948",515,559,253,214,368,"1,210","1,190","1,194","8,420","9,326",970,"4,275","2,931",771,"6,860","4,380","11,765"
2021년06월_계_40~49세,"97,280","10,913","2,979",773,694,349,318,539,"1,355","1,195","1,391","11,501","15,166","1,339","6,248","4,823","1,197","11,907","7,755","16,838"
2021년06월_계_50~59세,"97,437","8,320","2,732","1,417","1,535",799,705,"1,045","1,945","1,658","2,093","16,244","14,989","1,956","8,639","7,410","1,542","9,610","6,177","8,621"
2021년06월_계_60~69세,"61,286","6,192","1,600","1,419","1,854",988,827,"1,679","1,661","1,616","1,603","8,282","7,874","1,690","5,522","4,827","1,165","4,927","3,018","4,542"
2021년06월_계_70~79세,"26,664","2,648",501,740,"1,022",580,381,950,719,871,716,"3,188","3,183",756,"2,265","1,939",499,"2,360","1,408","1,938"
2021년06월_계_80~89세,"11,810","1,195",272,400,595,307,169,447,297,349,280,"1,576","1,370",329,912,911,194,"1,014",530,663
2021년06월_계_90~99세,"1,457",164,35,72,75,32,32,76,40,50,24,164,164,30,98,93,24,118,77,89
2021년06월_계_100세 이상,52,3,0,1,1,0,3,1,1,6,2,9,7,1,0,2,5,7,1,2
