카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년06월_계_총인구수,"50,933","24,207","1,764","1,854","2,719","1,590","1,666",857,"1,432","1,109","1,026","3,587","1,743","3,067","4,312"
2021년06월_계_연령구간인구수,"50,933","24,207","1,764","1,854","2,719","1,590","1,666",857,"1,432","1,109","1,026","3,587","1,743","3,067","4,312"
2021년06월_계_0~9세,"2,409","1,737",41,25,100,23,32,13,37,22,26,145,16,61,131
2021년06월_계_10~19세,"4,151","2,670",77,108,179,68,64,28,58,71,32,313,55,141,287
2021년06월_계_20~29세,"3,815","2,232",84,86,230,68,77,44,100,57,52,250,79,173,283
2021년06월_계_30~39세,"3,641","2,259",86,89,186,64,71,34,69,40,42,219,63,147,272
2021년06월_계_40~49세,"6,185","3,664",170,137,286,135,124,48,121,74,65,389,165,275,532
2021년06월_계_50~59세,"8,944","4,266",293,288,484,274,297,110,248,167,175,637,331,563,811
2021년06월_계_60~69세,"10,045","3,875",460,456,598,371,413,211,329,281,255,798,416,731,851
2021년06월_계_70~79세,"6,748","2,212",324,391,375,319,297,193,231,181,194,505,337,561,628
2021년06월_계_80~89세,"4,325","1,134",197,236,238,228,239,155,201,181,155,293,243,364,461
2021년06월_계_90~99세,655,154,31,38,42,39,52,21,37,34,28,38,37,50,54
2021년06월_계_100세 이상,15,4,1,0,1,1,0,0,1,1,2,0,1,1,2
2021년06월_남_총인구수,"25,551","12,147",911,907,"1,404",782,852,382,701,543,519,"1,746",865,"1,587","2,205"
2021년06월_남_연령구간인구수,"25,551","12,147",911,907,"1,404",782,852,382,701,543,519,"1,746",865,"1,587","2,205"
2021년06월_남_0~9세,"1,205",889,21,11,45,12,15,8,13,11,12,67,6,29,66
2021년06월_남_10~19세,"2,271","1,479",46,60,92,38,39,13,30,36,16,156,28,80,158
2021년06월_남_20~29세,"2,248","1,292",56,56,146,44,41,23,65,34,36,133,49,99,174
2021년06월_남_30~39세,"2,015","1,182",58,50,114,33,51,17,42,24,28,112,41,98,165
2021년06월_남_40~49세,"3,438","1,910",101,93,174,82,72,26,78,49,39,203,95,195,321
2021년06월_남_50~59세,"4,878","2,226",171,165,247,143,174,60,139,95,107,338,195,337,481
2021년06월_남_60~69세,"5,035","1,847",245,210,316,203,230,102,174,144,148,403,225,374,414
2021년06월_남_70~79세,"3,001",943,151,178,179,142,142,87,99,83,78,234,146,266,273
2021년06월_남_80~89세,"1,343",350,57,74,82,77,73,44,58,59,48,95,76,105,145
2021년06월_남_90~99세,115,28,5,10,9,8,15,2,3,8,6,5,4,4,8
2021년06월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년06월_여_총인구수,"25,382","12,060",853,947,"1,315",808,814,475,731,566,507,"1,841",878,"1,480","2,107"
2021년06월_여_연령구간인구수,"25,382","12,060",853,947,"1,315",808,814,475,731,566,507,"1,841",878,"1,480","2,107"
2021년06월_여_0~9세,"1,204",848,20,14,55,11,17,5,24,11,14,78,10,32,65
2021년06월_여_10~19세,"1,880","1,191",31,48,87,30,25,15,28,35,16,157,27,61,129
2021년06월_여_20~29세,"1,567",940,28,30,84,24,36,21,35,23,16,117,30,74,109
2021년06월_여_30~39세,"1,626","1,077",28,39,72,31,20,17,27,16,14,107,22,49,107
2021년06월_여_40~49세,"2,747","1,754",69,44,112,53,52,22,43,25,26,186,70,80,211
2021년06월_여_50~59세,"4,066","2,040",122,123,237,131,123,50,109,72,68,299,136,226,330
2021년06월_여_60~69세,"5,010","2,028",215,246,282,168,183,109,155,137,107,395,191,357,437
2021년06월_여_70~79세,"3,747","1,269",173,213,196,177,155,106,132,98,116,271,191,295,355
2021년06월_여_80~89세,"2,982",784,140,162,156,151,166,111,143,122,107,198,167,259,316
2021년06월_여_90~99세,540,126,26,28,33,31,37,19,34,26,22,33,33,46,46
2021년06월_여_100세 이상,13,3,1,0,1,1,0,0,1,1,1,0,1,1,2
