,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년05월_계_총인구수,"23,477","8,278","2,274","3,812","2,039","2,065","2,439","1,209","1,361"
2020년05월_계_연령구간인구수,"23,477","8,278","2,274","3,812","2,039","2,065","2,439","1,209","1,361"
2020년05월_계_0~9세,721,448,36,92,38,25,46,18,18
2020년05월_계_10~19세,991,589,52,137,53,50,65,24,21
2020년05월_계_20~29세,"1,589",737,110,274,139,119,113,30,67
2020년05월_계_30~39세,"1,411",695,107,194,99,91,113,58,54
2020년05월_계_40~49세,"2,232","1,102",147,320,157,157,182,82,85
2020년05월_계_50~59세,"4,389","1,518",446,737,419,373,416,217,263
2020년05월_계_60~69세,"5,174","1,427",522,936,492,506,596,306,389
2020년05월_계_70~79세,"4,047","1,060",454,683,366,410,517,268,289
2020년05월_계_80~89세,"2,591",615,352,404,238,303,347,183,149
2020년05월_계_90~99세,318,80,46,34,38,28,43,23,26
2020년05월_계_100세 이상,14,7,2,1,0,3,1,0,0
2020년05월_남_총인구수,"11,983","4,286","1,152","1,956","1,044","1,034","1,183",611,717
2020년05월_남_연령구간인구수,"11,983","4,286","1,152","1,956","1,044","1,034","1,183",611,717
2020년05월_남_0~9세,388,248,17,49,23,13,14,12,12
2020년05월_남_10~19세,538,326,29,61,34,26,37,12,13
2020년05월_남_20~29세,965,444,63,173,89,69,67,20,40
2020년05월_남_30~39세,790,373,59,99,63,55,65,40,36
2020년05월_남_40~49세,"1,324",602,97,202,92,106,119,55,51
2020년05월_남_50~59세,"2,470",839,255,412,240,206,230,136,152
2020년05월_남_60~69세,"2,694",728,276,506,248,264,290,154,228
2020년05월_남_70~79세,"1,860",492,210,320,161,187,234,121,135
2020년05월_남_80~89세,887,215,135,128,85,101,119,56,48
2020년05월_남_90~99세,66,18,11,6,9,7,8,5,2
2020년05월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년05월_여_총인구수,"11,494","3,992","1,122","1,856",995,"1,031","1,256",598,644
2020년05월_여_연령구간인구수,"11,494","3,992","1,122","1,856",995,"1,031","1,256",598,644
2020년05월_여_0~9세,333,200,19,43,15,12,32,6,6
2020년05월_여_10~19세,453,263,23,76,19,24,28,12,8
2020년05월_여_20~29세,624,293,47,101,50,50,46,10,27
2020년05월_여_30~39세,621,322,48,95,36,36,48,18,18
2020년05월_여_40~49세,908,500,50,118,65,51,63,27,34
2020년05월_여_50~59세,"1,919",679,191,325,179,167,186,81,111
2020년05월_여_60~69세,"2,480",699,246,430,244,242,306,152,161
2020년05월_여_70~79세,"2,187",568,244,363,205,223,283,147,154
2020년05월_여_80~89세,"1,704",400,217,276,153,202,228,127,101
2020년05월_여_90~99세,252,62,35,28,29,21,35,18,24
2020년05월_여_100세 이상,13,6,2,1,0,3,1,0,0
