,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년12월_계_총인구수,"229,983","35,537","20,644","61,008","31,971","16,188","64,635"
2021년12월_계_연령구간인구수,"229,983","35,537","20,644","61,008","31,971","16,188","64,635"
2021년12월_계_0~9세,"21,682","3,641",822,"6,533","3,773","1,235","5,678"
2021년12월_계_10~19세,"24,904","4,150","1,121","7,223","3,375","1,921","7,114"
2021년12월_계_20~29세,"31,150","4,367","3,789","6,997","4,055","2,241","9,701"
2021년12월_계_30~39세,"37,349","5,222","4,984","9,291","5,664","2,328","9,860"
2021년12월_계_40~49세,"43,914","6,688","3,923","11,976","6,189","3,053","12,085"
2021년12월_계_50~59세,"34,049","5,520","2,936","8,545","4,372","2,556","10,120"
2021년12월_계_60~69세,"22,019","3,477","1,881","6,166","2,900","1,659","5,936"
2021년12월_계_70~79세,"9,954","1,628",789,"2,861","1,120",775,"2,781"
2021년12월_계_80~89세,"4,385",767,361,"1,239",446,381,"1,191"
2021년12월_계_90~99세,560,77,35,170,75,38,165
2021년12월_계_100세 이상,17,0,3,7,2,1,4
2021년12월_남_총인구수,"119,409","17,837","12,330","30,825","16,384","8,361","33,672"
2021년12월_남_연령구간인구수,"119,409","17,837","12,330","30,825","16,384","8,361","33,672"
2021년12월_남_0~9세,"11,092","1,868",405,"3,344","1,917",645,"2,913"
2021년12월_남_10~19세,"12,742","2,060",562,"3,682","1,699",993,"3,746"
2021년12월_남_20~29세,"16,891","2,288","2,220","3,659","2,154","1,239","5,331"
2021년12월_남_30~39세,"20,355","2,672","3,241","4,814","2,963","1,289","5,376"
2021년12월_남_40~49세,"23,409","3,379","2,471","6,339","3,253","1,581","6,386"
2021년12월_남_50~59세,"17,830","2,837","1,848","4,319","2,221","1,319","5,286"
2021년12월_남_60~69세,"10,933","1,731","1,057","2,940","1,451",825,"2,929"
2021년12월_남_70~79세,"4,397",692,369,"1,260",558,333,"1,185"
2021년12월_남_80~89세,"1,640",294,152,430,160,128,476
2021년12월_남_90~99세,118,16,5,37,8,9,43
2021년12월_남_100세 이상,2,0,0,1,0,0,1
2021년12월_여_총인구수,"110,574","17,700","8,314","30,183","15,587","7,827","30,963"
2021년12월_여_연령구간인구수,"110,574","17,700","8,314","30,183","15,587","7,827","30,963"
2021년12월_여_0~9세,"10,590","1,773",417,"3,189","1,856",590,"2,765"
2021년12월_여_10~19세,"12,162","2,090",559,"3,541","1,676",928,"3,368"
2021년12월_여_20~29세,"14,259","2,079","1,569","3,338","1,901","1,002","4,370"
2021년12월_여_30~39세,"16,994","2,550","1,743","4,477","2,701","1,039","4,484"
2021년12월_여_40~49세,"20,505","3,309","1,452","5,637","2,936","1,472","5,699"
2021년12월_여_50~59세,"16,219","2,683","1,088","4,226","2,151","1,237","4,834"
2021년12월_여_60~69세,"11,086","1,746",824,"3,226","1,449",834,"3,007"
2021년12월_여_70~79세,"5,557",936,420,"1,601",562,442,"1,596"
2021년12월_여_80~89세,"2,745",473,209,809,286,253,715
2021년12월_여_90~99세,442,61,30,133,67,29,122
2021년12월_여_100세 이상,15,0,3,6,2,1,3
