,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년03월_계_총인구수,"137,587","6,506","5,220","13,448","4,140","3,508","6,050","2,964","4,601","15,381","42,149","29,435","4,185"
2020년03월_계_연령구간인구수,"137,587","6,506","5,220","13,448","4,140","3,508","6,050","2,964","4,601","15,381","42,149","29,435","4,185"
2020년03월_계_0~9세,"12,221",262,241,943,155,142,209,92,214,969,"7,100","1,800",94
2020년03월_계_10~19세,"12,462",399,358,"1,147",310,219,314,168,350,"1,222","4,504","3,346",125
2020년03월_계_20~29세,"19,210",667,546,"1,639",435,397,654,304,526,"2,160","3,967","7,631",284
2020년03월_계_30~39세,"21,065",655,508,"1,697",421,330,700,268,457,"2,224","9,016","4,484",305
2020년03월_계_40~49세,"24,289",925,838,"2,094",602,500,803,409,635,"2,540","8,926","5,491",526
2020년03월_계_50~59세,"19,851","1,357",906,"2,292",748,660,"1,156",545,866,"2,671","4,235","3,457",958
2020년03월_계_60~69세,"15,238","1,245",834,"1,923",725,628,"1,084",558,778,"2,143","2,649","1,624","1,047"
2020년03월_계_70~79세,"9,056",656,618,"1,168",517,430,721,413,526,961,"1,297","1,149",600
2020년03월_계_80~89세,"3,524",279,304,462,189,163,330,170,202,404,405,412,204
2020년03월_계_90~99세,596,57,61,78,35,33,68,28,35,76,48,39,38
2020년03월_계_100세 이상,75,4,6,5,3,6,11,9,12,11,2,2,4
2020년03월_남_총인구수,"71,205","3,535","2,636","6,813","2,108","1,802","3,202","1,523","2,282","8,543","21,113","15,303","2,345"
2020년03월_남_연령구간인구수,"71,205","3,535","2,636","6,813","2,108","1,802","3,202","1,523","2,282","8,543","21,113","15,303","2,345"
2020년03월_남_0~9세,"6,315",142,138,479,70,83,94,61,110,496,"3,673",930,39
2020년03월_남_10~19세,"6,440",187,183,595,174,104,167,83,171,648,"2,285","1,778",65
2020년03월_남_20~29세,"9,731",397,299,852,242,218,361,173,286,"1,251","1,909","3,558",185
2020년03월_남_30~39세,"11,355",386,269,901,236,186,420,157,257,"1,325","4,366","2,660",192
2020년03월_남_40~49세,"13,335",559,456,"1,099",337,274,482,220,353,"1,506","4,756","2,939",354
2020년03월_남_50~59세,"10,859",783,489,"1,218",392,373,669,310,450,"1,508","2,154","1,956",557
2020년03월_남_60~69세,"7,542",649,392,966,345,310,544,268,355,"1,167","1,186",802,558
2020년03월_남_70~79세,"4,189",313,282,514,232,194,334,177,222,478,629,499,315
2020년03월_남_80~89세,"1,262",102,108,171,67,54,111,60,62,144,143,168,72
2020년03월_남_90~99세,150,16,17,16,13,5,17,12,9,15,11,11,8
2020년03월_남_100세 이상,27,1,3,2,0,1,3,2,7,5,1,2,0
2020년03월_여_총인구수,"66,382","2,971","2,584","6,635","2,032","1,706","2,848","1,441","2,319","6,838","21,036","14,132","1,840"
2020년03월_여_연령구간인구수,"66,382","2,971","2,584","6,635","2,032","1,706","2,848","1,441","2,319","6,838","21,036","14,132","1,840"
2020년03월_여_0~9세,"5,906",120,103,464,85,59,115,31,104,473,"3,427",870,55
2020년03월_여_10~19세,"6,022",212,175,552,136,115,147,85,179,574,"2,219","1,568",60
2020년03월_여_20~29세,"9,479",270,247,787,193,179,293,131,240,909,"2,058","4,073",99
2020년03월_여_30~39세,"9,710",269,239,796,185,144,280,111,200,899,"4,650","1,824",113
2020년03월_여_40~49세,"10,954",366,382,995,265,226,321,189,282,"1,034","4,170","2,552",172
2020년03월_여_50~59세,"8,992",574,417,"1,074",356,287,487,235,416,"1,163","2,081","1,501",401
2020년03월_여_60~69세,"7,696",596,442,957,380,318,540,290,423,976,"1,463",822,489
2020년03월_여_70~79세,"4,867",343,336,654,285,236,387,236,304,483,668,650,285
2020년03월_여_80~89세,"2,262",177,196,291,122,109,219,110,140,260,262,244,132
2020년03월_여_90~99세,446,41,44,62,22,28,51,16,26,61,37,28,30
2020년03월_여_100세 이상,48,3,3,3,3,5,8,7,5,6,1,0,4
