,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년10월_계_총인구수,"495,391","44,263","36,622","10,044","49,328","12,206","42,400","22,350","15,969","20,307","22,423","31,928","22,919","21,434","70,525","1,934","23,839","28,283","18,617"
2020년10월_계_연령구간인구수,"495,391","44,263","36,622","10,044","49,328","12,206","42,400","22,350","15,969","20,307","22,423","31,928","22,919","21,434","70,525","1,934","23,839","28,283","18,617"
2020년10월_계_0~9세,"47,996","3,528","1,762",470,"5,991",729,"6,085","1,625","1,456","1,177","1,366","2,493","1,772","1,688","11,087",50,"1,772","3,457","1,488"
2020년10월_계_10~19세,"49,970","3,656","3,368",775,"5,234","1,232","3,332","2,265","1,474","1,143","1,933","3,628","2,139","2,759","7,788",46,"2,993","3,823","2,382"
2020년10월_계_20~29세,"68,799","6,817","5,895","1,418","6,307","1,657","4,190","2,938","1,816","3,142","3,568","5,146","3,098","3,589","9,054",158,"3,658","3,643","2,705"
2020년10월_계_30~39세,"76,517","6,835","3,964",992,"8,130","1,114","8,586","2,747","2,391","4,130","3,447","4,326","3,240","2,469","14,863",172,"2,571","4,270","2,270"
2020년10월_계_40~49세,"89,853","6,509","5,458","1,364","8,508","1,987","7,386","3,922","3,183","4,229","4,648","6,193","4,590","3,913","14,358",181,"4,338","5,750","3,336"
2020년10월_계_50~59세,"86,891","8,568","8,184","2,238","8,147","2,517","5,766","4,130","2,669","3,782","4,316","6,099","4,538","4,295","8,446",467,"4,793","4,525","3,411"
2020년10월_계_60~69세,"45,955","5,226","4,887","1,621","4,385","1,596","4,369","2,743","1,746","1,769","2,039","2,416","2,212","1,522","3,493",537,"2,022","1,684","1,688"
2020년10월_계_70~79세,"19,230","1,973","2,075",747,"1,725",871,"1,819","1,292",832,641,744,"1,033",859,737,"1,009",220,"1,077",732,844
2020년10월_계_80~89세,"8,771",982,889,364,775,439,735,595,348,255,314,536,394,419,366,82,523,338,417
2020년10월_계_90~99세,"1,311",159,120,47,120,60,118,83,50,36,46,56,76,42,60,18,87,58,75
2020년10월_계_100세 이상,98,10,20,8,6,4,14,10,4,3,2,2,1,1,1,3,5,3,1
2020년10월_남_총인구수,"258,939","22,460","18,994","5,265","24,709","6,378","21,495","11,699","8,308","12,764","13,185","17,137","12,908","10,645","36,102","1,177","12,124","14,316","9,273"
2020년10월_남_연령구간인구수,"258,939","22,460","18,994","5,265","24,709","6,378","21,495","11,699","8,308","12,764","13,185","17,137","12,908","10,645","36,102","1,177","12,124","14,316","9,273"
2020년10월_남_0~9세,"24,483","1,819",944,240,"3,067",365,"3,066",844,733,599,678,"1,250",911,868,"5,611",30,908,"1,787",763
2020년10월_남_10~19세,"25,688","1,893","1,773",401,"2,656",649,"1,728","1,179",778,599,998,"1,858","1,109","1,425","3,882",24,"1,554","1,983","1,199"
