,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년09월_계_총인구수,"104,932","5,410","1,290","7,178","5,279","3,104","2,832","3,938","4,347","8,464","3,427","5,069","1,757","2,812","15,522","20,440","8,077","5,986"
2020년09월_계_연령구간인구수,"104,932","5,410","1,290","7,178","5,279","3,104","2,832","3,938","4,347","8,464","3,427","5,069","1,757","2,812","15,522","20,440","8,077","5,986"
2020년09월_계_0~9세,"5,704",146,19,283,133,65,64,92,79,466,78,115,34,73,"1,313","1,985",391,368
2020년09월_계_10~19세,"7,915",257,51,438,248,97,127,212,155,527,133,276,60,151,"1,347","2,598",664,574
2020년09월_계_20~29세,"9,191",334,113,503,383,163,184,224,251,671,173,315,75,255,"1,901","2,184",804,658
2020년09월_계_30~39세,"9,001",332,70,497,338,157,163,189,246,672,165,251,71,205,"2,058","2,229",724,634
2020년09월_계_40~49세,"13,042",524,100,783,490,215,260,362,329,"1,012",310,397,125,316,"2,343","3,496","1,083",897
2020년09월_계_50~59세,"18,901","1,004",229,"1,332","1,047",552,569,744,907,"1,510",593,895,283,557,"2,735","3,346","1,461","1,137"
2020년09월_계_60~69세,"20,837","1,373",330,"1,595","1,303",919,701,"1,041","1,255","1,750",934,"1,285",499,597,"2,242","2,554","1,467",992
2020년09월_계_70~79세,"12,547",907,215,"1,060",791,548,475,679,689,"1,143",631,857,339,433,"1,023","1,335",921,501
2020년09월_계_80~89세,"6,844",466,143,612,477,334,250,345,384,630,364,587,242,199,478,628,499,206
2020년09월_계_90~99세,905,66,20,67,68,54,36,49,49,77,42,88,29,20,80,82,62,16
2020년09월_계_100세 이상,45,1,0,8,1,0,3,1,3,6,4,3,0,6,2,3,1,3
2020년09월_남_총인구수,"51,425","2,662",640,"3,585","2,699","1,494","1,447","2,017","2,147","4,193","1,701","2,470",854,"1,375","7,651","9,860","3,749","2,881"
2020년09월_남_연령구간인구수,"51,425","2,662",640,"3,585","2,699","1,494","1,447","2,017","2,147","4,193","1,701","2,470",854,"1,375","7,651","9,860","3,749","2,881"
2020년09월_남_0~9세,"2,898",73,9,153,73,31,34,47,43,225,38,62,15,38,644,"1,035",208,170
2020년09월_남_10~19세,"4,166",132,25,236,132,54,72,109,84,281,71,152,30,81,701,"1,383",325,298
2020년09월_남_20~29세,"5,291",191,63,296,249,106,117,151,155,399,101,176,53,166,"1,074","1,231",411,352
2020년09월_남_30~39세,"4,776",198,43,283,206,92,94,115,140,364,104,146,40,105,"1,075","1,056",386,329
2020년09월_남_40~49세,"6,891",308,66,475,286,131,155,232,192,573,196,225,81,171,"1,185","1,652",521,442
2020년09월_남_50~59세,"9,574",516,129,707,576,274,304,391,464,767,316,500,130,286,"1,336","1,604",727,547
2020년09월_남_60~69세,"10,135",688,159,768,670,452,358,537,629,895,453,637,269,271,"1,062","1,146",675,466
2020년09월_남_70~79세,"5,427",393,98,463,336,253,228,328,326,490,296,376,154,187,407,540,337,215
2020년09월_남_80~89세,"2,090",150,44,191,160,90,80,101,107,181,118,181,78,64,147,194,144,60
2020년09월_남_90~99세,170,13,4,12,11,11,4,6,6,18,7,15,4,4,20,18,15,2
2020년09월_남_100세 이상,7,0,0,1,0,0,1,0,1,0,1,0,0,2,0,1,0,0
2020년09월_여_총인구수,"53,507","2,748",650,"3,593","2,580","1,610","1,385","1,921","2,200","4,271","1,726","2,599",903,"1,437","7,871","10,580","4,328","3,105"
2020년09월_여_연령구간인구수,"53,507","2,748",650,"3,593","2,580","1,610","1,385","1,921","2,200","4,271","1,726","2,599",903,"1,437","7,871","10,580","4,328","3,105"
2020년09월_여_0~9세,"2,806",73,10,130,60,34,30,45,36,241,40,53,19,35,669,950,183,198
2020년09월_여_10~19세,"3,749",125,26,202,116,43,55,103,71,246,62,124,30,70,646,"1,215",339,276
2020년09월_여_20~29세,"3,900",143,50,207,134,57,67,73,96,272,72,139,22,89,827,953,393,306
2020년09월_여_30~39세,"4,225",134,27,214,132,65,69,74,106,308,61,105,31,100,983,"1,173",338,305
2020년09월_여_40~49세,"6,151",216,34,308,204,84,105,130,137,439,114,172,44,145,"1,158","1,844",562,455
2020년09월_여_50~59세,"9,327",488,100,625,471,278,265,353,443,743,277,395,153,271,"1,399","1,742",734,590
2020년09월_여_60~69세,"10,702",685,171,827,633,467,343,504,626,855,481,648,230,326,"1,180","1,408",792,526
2020년09월_여_70~79세,"7,120",514,117,597,455,295,247,351,363,653,335,481,185,246,616,795,584,286
2020년09월_여_80~89세,"4,754",316,99,421,317,244,170,244,277,449,246,406,164,135,331,434,355,146
2020년09월_여_90~99세,735,53,16,55,57,43,32,43,43,59,35,73,25,16,60,64,47,14
2020년09월_여_100세 이상,38,1,0,7,1,0,2,1,2,6,3,3,0,4,2,2,1,3
