카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2021년04월_계_총인구수,"1,080,736","479,828","14,866","23,557","46,863","21,838","11,385","13,375","24,028","21,918","30,071","36,710","15,578","37,869","33,154","18,995","21,922","32,108","45,765","27,386","2,440","300,407","36,783","47,036","23,539","39,084","30,739","20,953","24,172","16,496","11,372","26,971","23,262","300,501","27,371","18,543","35,670","51,817","28,083","29,136","36,370","21,791","51,720"
2021년04월_계_연령구간인구수,"1,080,736","479,828","14,866","23,557","46,863","21,838","11,385","13,375","24,028","21,918","30,071","36,710","15,578","37,869","33,154","18,995","21,922","32,108","45,765","27,386","2,440","300,407","36,783","47,036","23,539","39,084","30,739","20,953","24,172","16,496","11,372","26,971","23,262","300,501","27,371","18,543","35,670","51,817","28,083","29,136","36,370","21,791","51,720"
2021년04월_계_0~9세,"81,222","38,448",549,"3,009","5,418","1,277",612,"2,051","2,429","2,642","2,139","2,089",895,"1,938","2,542",704,"1,310","2,212","2,638","3,908",86,"20,696","3,626","3,338","1,238","3,128","2,005",892,"1,398","1,209","1,404","1,071","1,387","22,078","1,927",885,"2,576","4,496","1,811","1,960","2,263","1,660","4,500"
2021년04월_계_10~19세,"103,680","41,295","1,140","2,021","4,128","1,815","1,021",983,"1,560","1,585","3,092","2,816","1,204","3,608","3,669","1,191","2,039","2,748","4,784","1,765",126,"29,204","4,831","4,397","2,053","4,439","2,701","1,309","3,248","2,177",962,"1,564","1,523","33,181","2,639","1,463","5,714","5,492","3,192","3,188","2,993","2,257","6,243"
2021년04월_계_20~29세,"149,697","62,636","2,084","2,225","5,237","2,984","1,473","1,543","2,808","2,417","3,562","4,331","2,114","6,181","4,621","2,850","3,074","4,866","6,901","2,971",394,"44,758","4,978","6,818","3,949","5,392","4,892","3,478","3,720","2,245","1,263","5,075","2,948","42,303","3,936","2,703","4,733","7,344","3,771","3,764","6,306","3,057","6,689"
2021년04월_계_30~39세,"143,232","68,497","1,540","3,914","7,896","2,541","1,272","2,878","4,608","4,921","3,203","4,071","1,816","4,288","4,287","2,264","2,683","4,886","5,079","6,083",267,"38,625","4,124","5,473","2,906","4,705","4,533","3,345","2,268","1,585","1,853","4,820","3,013","36,110","3,162","1,929","3,486","7,043","3,317","3,303","5,315","2,859","5,696"
2021년04월_계_40~49세,"180,894","78,854","2,077","4,285","8,708","3,416","1,700","2,366","4,023","3,873","5,207","5,711","2,197","5,730","6,090","2,681","3,467","4,908","7,319","4,804",292,"50,887","7,246","7,292","3,556","6,732","4,994","3,697","4,124","2,913","2,081","4,780","3,472","51,153","4,230","2,516","7,043","9,092","4,586","4,742","5,578","3,715","9,651"
2021년04월_계_50~59세,"195,280","83,215","3,160","3,292","6,733","4,238","2,100","1,666","3,452","2,746","5,081","6,964","3,147","7,546","5,830","3,974","4,242","5,914","9,291","3,387",452,"56,071","6,564","9,164","4,481","7,038","5,714","3,880","4,736","3,100","1,941","4,859","4,594","55,994","5,214","4,151","6,533","9,530","5,039","5,206","6,802","4,032","9,487"
2021년04월_계_60~69세,"125,985","59,022","2,396","2,857","4,969","3,047","1,637","1,127","2,847","2,189","4,115","5,971","2,386","4,314","3,192","3,054","2,877","3,555","5,386","2,658",445,"34,102","3,210","5,900","3,052","4,359","3,490","2,399","2,672","1,631","1,208","2,579","3,602","32,861","3,383","2,835","3,233","4,847","3,205","3,331","4,127","2,405","5,495"
2021년04월_계_70~79세,"61,795","30,338","1,229","1,330","2,563","1,578",941,493,"1,560","1,053","2,439","3,121","1,150","2,525","1,710","1,420","1,361","1,825","2,601","1,186",253,"15,595","1,391","2,738","1,437","2,031","1,494","1,150","1,162",831,448,"1,262","1,651","15,862","1,809","1,252","1,357","2,326","1,693","1,966","1,834","1,120","2,505"
2021년04월_계_80~89세,"33,821","15,327",602,548,"1,064",816,558,227,669,417,"1,088","1,428",578,"1,548","1,075",739,759,"1,051","1,534",519,107,"8,985",700,"1,622",758,"1,085",804,700,714,699,175,845,883,"9,509",944,703,841,"1,422","1,292","1,454",991,605,"1,257"
2021년04월_계_90~99세,"4,948","2,103",85,76,142,116,67,33,69,72,139,199,90,180,135,116,105,136,230,99,14,"1,439",107,289,107,173,107,97,125,104,36,109,185,"1,406",121,102,151,223,169,217,153,78,192
2021년04월_계_100세 이상,182,93,4,0,5,10,4,8,3,3,6,9,1,11,3,2,5,7,2,6,4,45,6,5,2,2,5,6,5,2,1,7,4,44,6,4,3,2,8,5,8,3,5
2021년04월_남_총인구수,"529,062","237,074","7,674","11,330","22,787","10,863","5,503","6,513","11,591","10,928","15,094","18,601","7,995","18,447","16,066","9,944","10,701","15,781","22,211","13,631","1,414","146,147","17,898","22,718","11,361","18,835","14,634","10,095","11,642","7,820","5,820","13,131","12,193","145,841","13,236","9,201","17,330","25,380","13,145","13,641","17,629","10,757","25,522"
