카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년09월_계_총인구수,"525,486","22,684","27,735","30,770","37,872","39,868","27,695","22,851","25,223","27,558","20,806","35,801","39,302","20,708","27,184","24,820","33,740","23,215","21,356","16,298"
2020년09월_계_연령구간인구수,"525,486","22,684","27,735","30,770","37,872","39,868","27,695","22,851","25,223","27,558","20,806","35,801","39,302","20,708","27,184","24,820","33,740","23,215","21,356","16,298"
2020년09월_계_0~9세,"33,894","1,244","1,824","2,290","2,186","2,959","1,213","1,561","1,606","1,987","1,206","2,172","2,440","1,039","1,447","1,149","2,581","2,536","1,447","1,007"
2020년09월_계_10~19세,"53,951","1,744","2,226","2,173","2,751","4,488","3,275","2,885","4,530","5,820","2,385","3,266","3,386","1,910","2,152","2,107","3,103","2,136","2,222","1,392"
2020년09월_계_20~29세,"73,476","3,864","3,301","3,660","6,823","6,677","4,748","3,127","3,313","2,975","2,594","4,387","5,381","3,331","3,262","3,472","4,679","2,717","2,749","2,416"
2020년09월_계_30~39세,"65,445","2,809","3,318","4,693","5,473","5,249","2,787","2,588","1,936","2,023","2,006","4,379","4,997","2,361","3,008","2,692","4,970","4,814","2,848","2,494"
2020년09월_계_40~49세,"87,143","3,449","4,390","4,717","5,463","6,678","4,304","4,134","5,182","6,694","3,595","6,006","5,790","3,180","4,032","3,775","5,628","3,965","3,597","2,564"
2020년09월_계_50~59세,"88,081","3,607","4,642","4,838","5,857","6,107","4,997","3,946","4,620","4,483","3,619","5,705","7,055","3,952","4,874","4,558","5,656","3,043","3,630","2,892"
2020년09월_계_60~69세,"67,130","3,123","4,364","4,552","5,396","4,376","3,487","2,474","2,272","2,027","2,627","4,815","5,856","2,832","4,284","3,649","3,961","2,222","2,733","2,080"
2020년09월_계_70~79세,"37,384","1,987","2,507","2,594","2,728","2,238","1,819","1,360","1,117",979,"1,894","3,325","2,910","1,431","2,761","2,303","1,986","1,170","1,374",901
2020년09월_계_80~89세,"16,253",729,993,"1,092","1,018",936,926,674,545,487,754,"1,513","1,227",570,"1,199",948,989,527,654,472
2020년09월_계_90~99세,"2,445",110,154,146,160,146,132,98,87,71,113,218,210,89,135,139,182,81,98,76
2020년09월_계_100세 이상,284,18,16,15,17,14,7,4,15,12,13,15,50,13,30,28,5,4,4,4
2020년09월_남_총인구수,"253,797","11,684","13,386","14,750","18,471","19,441","13,350","10,896","12,341","13,447","10,054","16,543","19,101","10,239","13,511","12,071","15,695","11,171","10,161","7,485"
2020년09월_남_연령구간인구수,"253,797","11,684","13,386","14,750","18,471","19,441","13,350","10,896","12,341","13,447","10,054","16,543","19,101","10,239","13,511","12,071","15,695","11,171","10,161","7,485"
2020년09월_남_0~9세,"17,450",634,927,"1,178","1,124","1,533",648,814,846,"1,076",612,"1,084","1,267",525,736,588,"1,320","1,300",738,500
2020년09월_남_10~19세,"28,006",939,"1,158","1,124","1,379","2,292","1,825","1,479","2,272","3,075","1,331","1,566","1,756",984,"1,171","1,080","1,614","1,084","1,173",704
2020년09월_남_20~29세,"37,761","2,237","1,756","1,845","3,420","3,297","2,547","1,582","1,745","1,544","1,346","2,280","2,756","1,672","1,747","1,825","2,262","1,329","1,437","1,134"
2020년09월_남_30~39세,"32,642","1,531","1,669","2,359","2,805","2,615","1,414","1,226",913,871,"1,018","2,123","2,510","1,228","1,585","1,427","2,325","2,387","1,425","1,211"
2020년09월_남_40~49세,"41,446","1,779","2,215","2,358","2,769","3,168","1,906","1,918","2,275","2,923","1,665","2,948","2,777","1,543","2,030","1,844","2,591","1,967","1,632","1,138"
2020년09월_남_50~59세,"42,722","1,814","2,230","2,256","2,800","3,004","2,408","1,907","2,397","2,399","1,816","2,699","3,311","1,962","2,468","2,216","2,596","1,442","1,694","1,303"
2020년09월_남_60~69세,"31,233","1,494","1,957","2,032","2,508","2,094","1,596","1,162","1,195",984,"1,229","2,092","2,836","1,399","2,038","1,712","1,767",964,"1,240",934
2020년09월_남_70~79세,"16,173",911,"1,121","1,161","1,234","1,042",692,568,472,407,750,"1,226","1,336",684,"1,221","1,000",857,505,595,391
2020년09월_남_80~89세,"5,663",314,315,399,385,346,269,216,199,144,259,469,469,217,476,335,321,175,207,148
2020년09월_남_90~99세,614,27,37,36,44,44,43,23,23,20,28,53,50,19,31,38,41,18,19,20
2020년09월_남_100세 이상,87,4,1,2,3,6,2,1,4,4,0,3,33,6,8,6,1,0,1,2
2020년09월_여_총인구수,"271,689","11,000","14,349","16,020","19,401","20,427","14,345","11,955","12,882","14,111","10,752","19,258","20,201","10,469","13,673","12,749","18,045","12,044","11,195","8,813"
2020년09월_여_연령구간인구수,"271,689","11,000","14,349","16,020","19,401","20,427","14,345","11,955","12,882","14,111","10,752","19,258","20,201","10,469","13,673","12,749","18,045","12,044","11,195","8,813"
2020년09월_여_0~9세,"16,444",610,897,"1,112","1,062","1,426",565,747,760,911,594,"1,088","1,173",514,711,561,"1,261","1,236",709,507
2020년09월_여_10~19세,"25,945",805,"1,068","1,049","1,372","2,196","1,450","1,406","2,258","2,745","1,054","1,700","1,630",926,981,"1,027","1,489","1,052","1,049",688
2020년09월_여_20~29세,"35,715","1,627","1,545","1,815","3,403","3,380","2,201","1,545","1,568","1,431","1,248","2,107","2,625","1,659","1,515","1,647","2,417","1,388","1,312","1,282"
2020년09월_여_30~39세,"32,803","1,278","1,649","2,334","2,668","2,634","1,373","1,362","1,023","1,152",988,"2,256","2,487","1,133","1,423","1,265","2,645","2,427","1,423","1,283"
2020년09월_여_40~49세,"45,697","1,670","2,175","2,359","2,694","3,510","2,398","2,216","2,907","3,771","1,930","3,058","3,013","1,637","2,002","1,931","3,037","1,998","1,965","1,426"
2020년09월_여_50~59세,"45,359","1,793","2,412","2,582","3,057","3,103","2,589","2,039","2,223","2,084","1,803","3,006","3,744","1,990","2,406","2,342","3,060","1,601","1,936","1,589"
2020년09월_여_60~69세,"35,897","1,629","2,407","2,520","2,888","2,282","1,891","1,312","1,077","1,043","1,398","2,723","3,020","1,433","2,246","1,937","2,194","1,258","1,493","1,146"
2020년09월_여_70~79세,"21,211","1,076","1,386","1,433","1,494","1,196","1,127",792,645,572,"1,144","2,099","1,574",747,"1,540","1,303","1,129",665,779,510
2020년09월_여_80~89세,"10,590",415,678,693,633,590,657,458,346,343,495,"1,044",758,353,723,613,668,352,447,324
2020년09월_여_90~99세,"1,831",83,117,110,116,102,89,75,64,51,85,165,160,70,104,101,141,63,79,56
2020년09월_여_100세 이상,197,14,15,13,14,8,5,3,11,8,13,12,17,7,22,22,4,4,3,2
