,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년11월_계_총인구수,"2,946,319","143,052","61,716","407,010","389,638","518,372","487,201","295,462","553,962","69,502","20,404"
2021년11월_계_연령구간인구수,"2,946,319","143,052","61,716","407,010","389,638","518,372","487,201","295,462","553,962","69,502","20,404"
2021년11월_계_0~9세,"218,194","11,683","3,507","26,150","37,234","38,300","30,554","17,343","49,328","3,217",878
2021년11월_계_10~19세,"271,348","13,076","4,910","31,561","43,166","48,705","41,625","25,561","57,100","4,539","1,105"
2021년11월_계_20~29세,"391,498","18,876","6,407","56,897","50,769","68,884","67,444","42,455","72,070","5,120","2,576"
2021년11월_계_30~39세,"401,742","21,872","6,819","55,652","56,595","69,191","66,058","37,936","80,585","5,189","1,845"
2021년11월_계_40~49세,"480,658","25,146","9,701","63,484","68,948","86,796","74,961","44,532","97,117","7,638","2,335"
2021년11월_계_50~59세,"510,589","21,131","9,958","67,331","65,166","89,040","88,117","59,480","95,185","11,712","3,469"
2021년11월_계_60~69세,"397,525","17,216","10,455","58,851","42,851","70,574","70,117","43,344","64,425","15,298","4,394"
2021년11월_계_70~79세,"179,068","9,358","6,517","31,187","15,849","31,336","31,516","15,764","25,220","9,956","2,365"
2021년11월_계_80~89세,"82,331","4,020","2,974","13,796","7,636","13,387","14,575","7,811","11,054","5,925","1,153"
2021년11월_계_90~99세,"12,928",652,448,"2,029","1,375","2,084","2,160","1,210","1,809",890,271
2021년11월_계_100세 이상,438,22,20,72,49,75,74,26,69,18,13
2021년11월_남_총인구수,"1,475,245","74,366","31,120","205,009","193,434","257,523","240,572","147,171","279,621","34,782","11,647"
2021년11월_남_연령구간인구수,"1,475,245","74,366","31,120","205,009","193,434","257,523","240,572","147,171","279,621","34,782","11,647"
2021년11월_남_0~9세,"111,933","6,035","1,838","13,358","18,994","19,764","15,577","8,818","25,418","1,686",445
2021년11월_남_10~19세,"139,487","6,719","2,533","16,303","22,123","24,936","21,623","13,061","29,262","2,323",604
2021년11월_남_20~29세,"204,050","9,717","3,461","29,953","26,392","35,603","34,537","22,312","37,243","2,941","1,891"
2021년11월_남_30~39세,"208,043","11,896","3,661","29,969","27,810","35,723","34,148","19,847","41,120","2,712","1,157"
2021년11월_남_40~49세,"246,215","13,698","5,223","33,608","33,867","44,226","37,860","22,265","49,877","4,121","1,470"
2021년11월_남_50~59세,"255,055","11,727","5,322","33,991","32,131","43,913","42,957","28,853","48,086","6,048","2,027"
2021년11월_남_60~69세,"196,854","8,642","5,064","28,117","21,911","34,114","34,110","22,056","32,805","7,651","2,384"
2021년11월_남_70~79세,"82,068","4,317","2,869","14,182","7,351","14,238","14,299","7,162","11,753","4,728","1,169"
2021년11월_남_80~89세,"28,725","1,459","1,039","5,052","2,560","4,598","4,996","2,538","3,691","2,354",438
2021년11월_남_90~99세,"2,718",147,106,455,286,398,453,253,347,214,59
2021년11월_남_100세 이상,97,9,4,21,9,10,12,6,19,4,3
2021년11월_여_총인구수,"1,471,074","68,686","30,596","202,001","196,204","260,849","246,629","148,291","274,341","34,720","8,757"
2021년11월_여_연령구간인구수,"1,471,074","68,686","30,596","202,001","196,204","260,849","246,629","148,291","274,341","34,720","8,757"
2021년11월_여_0~9세,"106,261","5,648","1,669","12,792","18,240","18,536","14,977","8,525","23,910","1,531",433
2021년11월_여_10~19세,"131,861","6,357","2,377","15,258","21,043","23,769","20,002","12,500","27,838","2,216",501
2021년11월_여_20~29세,"187,448","9,159","2,946","26,944","24,377","33,281","32,907","20,143","34,827","2,179",685
2021년11월_여_30~39세,"193,699","9,976","3,158","25,683","28,785","33,468","31,910","18,089","39,465","2,477",688
2021년11월_여_40~49세,"234,443","11,448","4,478","29,876","35,081","42,570","37,101","22,267","47,240","3,517",865
2021년11월_여_50~59세,"255,534","9,404","4,636","33,340","33,035","45,127","45,160","30,627","47,099","5,664","1,442"
2021년11월_여_60~69세,"200,671","8,574","5,391","30,734","20,940","36,460","36,007","21,288","31,620","7,647","2,010"
2021년11월_여_70~79세,"97,000","5,041","3,648","17,005","8,498","17,098","17,217","8,602","13,467","5,228","1,196"
2021년11월_여_80~89세,"53,606","2,561","1,935","8,744","5,076","8,789","9,579","5,273","7,363","3,571",715
2021년11월_여_90~99세,"10,210",505,342,"1,574","1,089","1,686","1,707",957,"1,462",676,212
2021년11월_여_100세 이상,341,13,16,51,40,65,62,20,50,14,10
