카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년08월_계_총인구수,"71,045","5,817","1,105","3,197",849,"2,452","3,082","2,393","2,763","1,962","3,580","2,659","5,785","7,074","8,946","3,132","16,249"
2021년08월_계_연령구간인구수,"71,045","5,817","1,105","3,197",849,"2,452","3,082","2,393","2,763","1,962","3,580","2,659","5,785","7,074","8,946","3,132","16,249"
2021년08월_계_0~9세,"3,871",202,34,105,12,57,92,39,58,82,94,76,353,435,609,121,"1,502"
2021년08월_계_10~19세,"5,484",362,60,148,40,271,127,150,102,80,120,92,392,572,842,151,"1,975"
2021년08월_계_20~29세,"6,173",367,68,162,32,142,185,336,148,89,219,127,522,604,848,201,"2,123"
2021년08월_계_30~39세,"5,492",354,47,152,44,88,160,101,117,94,205,127,543,638,758,246,"1,818"
2021년08월_계_40~49세,"8,541",592,93,253,72,177,255,165,210,173,280,185,701,862,"1,311",315,"2,897"
2021년08월_계_50~59세,"11,786",991,222,514,186,327,475,379,463,340,621,506,975,"1,097","1,509",513,"2,668"
2021년08월_계_60~69세,"13,935","1,335",275,752,218,589,751,547,671,532,788,681,"1,167","1,417","1,588",706,"1,918"
2021년08월_계_70~79세,"9,140",953,170,568,139,383,536,352,509,316,686,458,735,956,941,515,923
2021년08월_계_80~89세,"5,730",566,118,465,92,356,417,283,418,221,498,334,363,438,472,328,361
2021년08월_계_90~99세,855,84,18,76,13,62,83,41,62,35,65,68,33,53,65,35,62
2021년08월_계_100세 이상,38,11,0,2,1,0,1,0,5,0,4,5,1,2,3,1,2
2021년08월_남_총인구수,"34,883","2,813",565,"1,551",445,"1,285","1,555","1,145","1,369","1,010","1,699","1,227","2,821","3,434","4,452","1,576","7,936"
2021년08월_남_연령구간인구수,"34,883","2,813",565,"1,551",445,"1,285","1,555","1,145","1,369","1,010","1,699","1,227","2,821","3,434","4,452","1,576","7,936"
2021년08월_남_0~9세,"1,991",98,17,53,4,25,50,19,34,42,42,41,200,219,328,50,769
2021년08월_남_10~19세,"2,976",185,33,88,23,178,63,84,56,44,68,48,219,303,484,86,"1,014"
2021년08월_남_20~29세,"3,496",218,45,99,18,85,124,136,93,54,128,75,303,357,516,123,"1,122"
2021년08월_남_30~39세,"2,905",205,26,85,18,53,86,58,71,54,115,70,287,340,383,141,913
2021년08월_남_40~49세,"4,575",320,55,140,40,111,172,93,131,107,178,115,388,465,689,194,"1,377"
2021년08월_남_50~59세,"6,129",518,128,274,112,192,272,215,264,176,352,253,454,553,744,300,"1,322"
2021년08월_남_60~69세,"6,802",653,144,395,135,307,374,285,362,311,395,331,515,626,734,347,888
2021년08월_남_70~79세,"3,977",397,75,246,61,190,250,156,223,140,277,190,311,421,394,235,411
2021년08월_남_80~89세,"1,855",199,39,153,34,129,149,92,119,75,131,91,135,143,161,96,109
2021년08월_남_90~99세,169,16,3,18,0,15,15,7,14,7,13,12,9,7,19,4,10
2021년08월_남_100세 이상,8,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1
2021년08월_여_총인구수,"36,162","3,004",540,"1,646",404,"1,167","1,527","1,248","1,394",952,"1,881","1,432","2,964","3,640","4,494","1,556","8,313"
2021년08월_여_연령구간인구수,"36,162","3,004",540,"1,646",404,"1,167","1,527","1,248","1,394",952,"1,881","1,432","2,964","3,640","4,494","1,556","8,313"
2021년08월_여_0~9세,"1,880",104,17,52,8,32,42,20,24,40,52,35,153,216,281,71,733
2021년08월_여_10~19세,"2,508",177,27,60,17,93,64,66,46,36,52,44,173,269,358,65,961
2021년08월_여_20~29세,"2,677",149,23,63,14,57,61,200,55,35,91,52,219,247,332,78,"1,001"
2021년08월_여_30~39세,"2,587",149,21,67,26,35,74,43,46,40,90,57,256,298,375,105,905
2021년08월_여_40~49세,"3,966",272,38,113,32,66,83,72,79,66,102,70,313,397,622,121,"1,520"
2021년08월_여_50~59세,"5,657",473,94,240,74,135,203,164,199,164,269,253,521,544,765,213,"1,346"
2021년08월_여_60~69세,"7,133",682,131,357,83,282,377,262,309,221,393,350,652,791,854,359,"1,030"
2021년08월_여_70~79세,"5,163",556,95,322,78,193,286,196,286,176,409,268,424,535,547,280,512
2021년08월_여_80~89세,"3,875",367,79,312,58,227,268,191,299,146,367,243,228,295,311,232,252
2021년08월_여_90~99세,686,68,15,58,13,47,68,34,48,28,52,56,24,46,46,31,52
2021년08월_여_100세 이상,30,7,0,2,1,0,1,0,3,0,4,4,1,2,3,1,1
