카테고리,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년05월_계_총인구수,"224,729","5,027","26,025","12,505","12,800","8,829","16,886","15,450","10,660","14,079","18,956","20,920","12,604","11,191","14,820","2,555","21,422"
2020년05월_계_연령구간인구수,"224,729","5,027","26,025","12,505","12,800","8,829","16,886","15,450","10,660","14,079","18,956","20,920","12,604","11,191","14,820","2,555","21,422"
2020년05월_계_0~9세,"15,707",115,"2,781",956,900,310,"1,005","1,518",396,837,"1,055","1,217",951,619,887,83,"2,077"
2020년05월_계_10~19세,"20,495",149,"3,380",934,"1,028",410,"1,580","1,447",914,"1,176","1,887","1,578",972,850,"1,323",153,"2,714"
2020년05월_계_20~29세,"30,409",371,"2,669","1,465","1,575",885,"2,702","1,852","2,606","2,025","3,040","3,914","1,461","1,904","1,613",200,"2,127"
2020년05월_계_30~39세,"26,639",416,"3,301","1,737","1,600",775,"1,758","2,189","1,088","1,503","2,052","3,156","1,597","1,367","1,509",163,"2,428"
2020년05월_계_40~49세,"34,370",563,"4,937","1,860","1,777","1,020","2,565","2,364","1,296","2,051","2,856","3,207","1,864","1,636","2,232",293,"3,849"
2020년05월_계_50~59세,"37,278","1,058","3,716","1,977","2,261","1,602","2,998","2,441","1,579","2,443","3,343","3,443","2,180","1,954","2,644",487,"3,152"
2020년05월_계_60~69세,"31,680","1,150","2,882","1,815","1,877","1,849","2,391","1,899","1,469","2,141","2,644","2,552","1,882","1,585","2,360",542,"2,642"
2020년05월_계_70~79세,"18,822",808,"1,628","1,195","1,149","1,252","1,258","1,146",914,"1,292","1,421","1,307","1,138",859,"1,509",348,"1,598"
2020년05월_계_80~89세,"8,140",338,635,484,562,640,547,512,355,543,591,472,474,364,650,251,722
2020년05월_계_90~99세,"1,094",49,89,69,67,84,76,71,38,61,67,71,76,50,87,33,106
2020년05월_계_100세 이상,95,10,7,13,4,2,6,11,5,7,0,3,9,3,6,2,7
2020년05월_남_총인구수,"113,288","2,823","12,781","6,187","6,232","4,313","8,526","7,722","5,599","7,268","9,450","10,755","6,253","5,735","7,532","1,341","10,771"
2020년05월_남_연령구간인구수,"113,288","2,823","12,781","6,187","6,232","4,313","8,526","7,722","5,599","7,268","9,450","10,755","6,253","5,735","7,532","1,341","10,771"
2020년05월_남_0~9세,"8,101",54,"1,379",488,485,153,521,806,211,432,545,632,507,337,417,42,"1,092"
2020년05월_남_10~19세,"10,571",79,"1,778",499,531,215,779,750,442,580,968,793,495,440,716,81,"1,425"
2020년05월_남_20~29세,"16,192",213,"1,407",750,821,525,"1,458",978,"1,426","1,129","1,573","2,006",766,"1,001",876,116,"1,147"
2020년05월_남_30~39세,"14,295",258,"1,583",926,844,449,966,"1,131",661,809,"1,135","1,803",844,774,802,106,"1,204"
2020년05월_남_40~49세,"18,076",367,"2,502",995,880,571,"1,313","1,198",760,"1,157","1,427","1,717",981,892,"1,194",161,"1,961"
2020년05월_남_50~59세,"19,035",678,"1,809",954,"1,080",797,"1,536","1,221",802,"1,276","1,673","1,792","1,086",999,"1,393",286,"1,653"
2020년05월_남_60~69세,"15,330",646,"1,356",799,890,889,"1,152",923,728,"1,072","1,263","1,228",889,781,"1,140",295,"1,279"
2020년05월_남_70~79세,"8,458",386,728,560,491,496,575,509,427,589,634,584,497,373,708,167,734
2020년05월_남_80~89세,"2,936",124,222,197,185,197,202,182,132,208,220,180,167,134,261,78,247
2020년05월_남_90~99세,267,12,16,15,23,21,21,21,10,15,12,20,18,3,23,9,28
2020년05월_남_100세 이상,27,6,1,4,2,0,3,3,0,1,0,0,3,1,2,0,1
2020년05월_여_총인구수,"111,441","2,204","13,244","6,318","6,568","4,516","8,360","7,728","5,061","6,811","9,506","10,165","6,351","5,456","7,288","1,214","10,651"
2020년05월_여_연령구간인구수,"111,441","2,204","13,244","6,318","6,568","4,516","8,360","7,728","5,061","6,811","9,506","10,165","6,351","5,456","7,288","1,214","10,651"
2020년05월_여_0~9세,"7,606",61,"1,402",468,415,157,484,712,185,405,510,585,444,282,470,41,985
2020년05월_여_10~19세,"9,924",70,"1,602",435,497,195,801,697,472,596,919,785,477,410,607,72,"1,289"
2020년05월_여_20~29세,"14,217",158,"1,262",715,754,360,"1,244",874,"1,180",896,"1,467","1,908",695,903,737,84,980
2020년05월_여_30~39세,"12,344",158,"1,718",811,756,326,792,"1,058",427,694,917,"1,353",753,593,707,57,"1,224"
2020년05월_여_40~49세,"16,294",196,"2,435",865,897,449,"1,252","1,166",536,894,"1,429","1,490",883,744,"1,038",132,"1,888"
2020년05월_여_50~59세,"18,243",380,"1,907","1,023","1,181",805,"1,462","1,220",777,"1,167","1,670","1,651","1,094",955,"1,251",201,"1,499"
2020년05월_여_60~69세,"16,350",504,"1,526","1,016",987,960,"1,239",976,741,"1,069","1,381","1,324",993,804,"1,220",247,"1,363"
2020년05월_여_70~79세,"10,364",422,900,635,658,756,683,637,487,703,787,723,641,486,801,181,864
2020년05월_여_80~89세,"5,204",214,413,287,377,443,345,330,223,335,371,292,307,230,389,173,475
2020년05월_여_90~99세,827,37,73,54,44,63,55,50,28,46,55,51,58,47,64,24,78
2020년05월_여_100세 이상,68,4,6,9,2,2,3,8,5,6,0,3,6,2,4,2,6
