,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년04월_계_총인구수,"102,529","11,015","4,116","3,865","3,233","2,213","3,216","1,228","4,243","5,933","4,474","3,103","28,861","9,832","4,791","8,224","4,182"
2021년04월_계_연령구간인구수,"102,529","11,015","4,116","3,865","3,233","2,213","3,216","1,228","4,243","5,933","4,474","3,103","28,861","9,832","4,791","8,224","4,182"
2021년04월_계_0~9세,"5,689",404,110,103,64,64,76,14,118,249,79,87,"2,429",731,158,759,244
2021년04월_계_10~19세,"6,744",483,135,211,91,92,136,37,146,219,129,83,"2,876",954,278,680,194
2021년04월_계_20~29세,"10,157",952,290,220,180,113,175,84,257,966,262,207,"3,431","1,261",496,866,397
2021년04월_계_30~39세,"9,374",773,288,207,180,92,161,44,222,439,238,198,"3,493","1,121",387,"1,095",436
2021년04월_계_40~49세,"12,582","1,250",351,339,268,166,244,69,363,515,397,251,"4,608","1,476",536,"1,263",486
2021년04월_계_50~59세,"18,239","2,259",737,646,571,398,595,264,714,859,778,569,"5,160","1,702",873,"1,319",795
2021년04월_계_60~69세,"19,161","2,345","1,052",960,792,573,842,314,"1,009","1,163","1,138",858,"3,906","1,326",978,"1,143",762
2021년04월_계_70~79세,"12,645","1,610",718,701,627,384,601,222,862,911,852,503,"1,877",820,699,733,525
2021년04월_계_80~89세,"7,095",850,390,421,411,289,336,159,493,555,533,308,974,395,348,337,296
2021년04월_계_90~99세,818,87,44,55,48,40,47,20,59,56,65,38,102,45,37,28,47
2021년04월_계_100세 이상,25,2,1,2,1,2,3,1,0,1,3,1,5,1,1,1,0
2021년04월_남_총인구수,"52,216","5,772","2,134","1,887","1,685","1,099","1,686",607,"2,153","3,298","2,309","1,644","14,229","4,963","2,381","4,098","2,271"
2021년04월_남_연령구간인구수,"52,216","5,772","2,134","1,887","1,685","1,099","1,686",607,"2,153","3,298","2,309","1,644","14,229","4,963","2,381","4,098","2,271"
2021년04월_남_0~9세,"2,890",207,60,58,37,40,38,7,64,128,37,44,"1,213",386,75,364,132
2021년04월_남_10~19세,"3,648",298,75,103,54,50,100,20,77,121,65,41,"1,533",479,143,383,106
2021년04월_남_20~29세,"6,095",546,175,138,129,64,113,47,158,777,158,119,"1,949",717,275,475,255
2021년04월_남_30~39세,"5,091",436,180,122,102,54,101,27,119,255,146,125,"1,814",587,215,551,257
2021년04월_남_40~49세,"6,913",726,221,186,163,101,159,43,225,321,240,169,"2,294",793,311,659,302
2021년04월_남_50~59세,"9,725","1,301",395,366,341,214,334,132,399,458,442,346,"2,550",835,475,666,471
2021년04월_남_60~69세,"9,662","1,201",543,466,436,304,439,177,507,622,607,455,"1,804",673,470,557,401
2021년04월_남_70~79세,"5,675",743,354,301,283,175,282,94,391,423,421,231,786,349,299,306,237
2021년04월_남_80~89세,"2,322",291,123,139,127,92,108,55,191,178,181,103,264,137,108,127,98
2021년04월_남_90~99세,190,22,8,7,13,4,12,5,22,15,11,10,22,7,10,10,12
2021년04월_남_100세 이상,5,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2021년04월_여_총인구수,"50,313","5,243","1,982","1,978","1,548","1,114","1,530",621,"2,090","2,635","2,165","1,459","14,632","4,869","2,410","4,126","1,911"
2021년04월_여_연령구간인구수,"50,313","5,243","1,982","1,978","1,548","1,114","1,530",621,"2,090","2,635","2,165","1,459","14,632","4,869","2,410","4,126","1,911"
2021년04월_여_0~9세,"2,799",197,50,45,27,24,38,7,54,121,42,43,"1,216",345,83,395,112
2021년04월_여_10~19세,"3,096",185,60,108,37,42,36,17,69,98,64,42,"1,343",475,135,297,88
2021년04월_여_20~29세,"4,062",406,115,82,51,49,62,37,99,189,104,88,"1,482",544,221,391,142
2021년04월_여_30~39세,"4,283",337,108,85,78,38,60,17,103,184,92,73,"1,679",534,172,544,179
2021년04월_여_40~49세,"5,669",524,130,153,105,65,85,26,138,194,157,82,"2,314",683,225,604,184
2021년04월_여_50~59세,"8,514",958,342,280,230,184,261,132,315,401,336,223,"2,610",867,398,653,324
2021년04월_여_60~69세,"9,499","1,144",509,494,356,269,403,137,502,541,531,403,"2,102",653,508,586,361
2021년04월_여_70~79세,"6,970",867,364,400,344,209,319,128,471,488,431,272,"1,091",471,400,427,288
2021년04월_여_80~89세,"4,773",559,267,282,284,197,228,104,302,377,352,205,710,258,240,210,198
2021년04월_여_90~99세,628,65,36,48,35,36,35,15,37,41,54,28,80,38,27,18,35
2021년04월_여_100세 이상,20,1,1,1,1,1,3,1,0,1,2,0,5,1,1,1,0
