카테고리,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년08월_계_총인구수,"292,400","3,803","4,637","10,907","4,980","8,229","11,018","30,351","24,826","23,813","15,603","20,711","10,118","15,527","5,825","20,121","28,775","36,929","16,227"
2021년08월_계_연령구간인구수,"292,400","3,803","4,637","10,907","4,980","8,229","11,018","30,351","24,826","23,813","15,603","20,711","10,118","15,527","5,825","20,121","28,775","36,929","16,227"
2021년08월_계_0~9세,"20,611",102,376,560,162,541,845,"2,119","1,592","1,142",819,"2,296",522,"1,052",391,"1,224","2,525","2,830","1,513"
2021년08월_계_10~19세,"30,355",140,344,625,238,581,"1,247","2,967","2,416","1,653","1,068","2,459",981,"1,523",389,"2,052","4,221","5,032","2,419"
2021년08월_계_20~29세,"44,766",404,466,"1,594",850,"1,052","1,756","5,521","4,690","4,383","3,060","2,354","1,536","2,131",717,"2,879","4,067","5,395","1,911"
2021년08월_계_30~39세,"35,437",334,549,"1,509",605,979,"1,460","4,221","3,499","2,926","2,338","2,856","1,076","1,658",679,"1,983","3,085","4,009","1,671"
2021년08월_계_40~49세,"47,303",420,728,"1,492",645,"1,247","1,917","4,803","3,908","3,167","2,170","3,713","1,359","2,152",707,"2,891","5,467","7,203","3,314"
2021년08월_계_50~59세,"49,397",596,667,"1,739",845,"1,530","1,895","5,394","3,969","3,991","2,325","2,887","1,707","2,599","1,201","3,863","5,236","6,398","2,555"
2021년08월_계_60~69세,"35,431",756,774,"1,578",819,"1,247",983,"2,938","2,724","3,442","1,887","2,426","1,624","2,669",957,"3,050","2,430","3,396","1,731"
2021년08월_계_70~79세,"19,390",708,521,"1,218",522,706,578,"1,505","1,440","2,077","1,231","1,243",867,"1,173",482,"1,436","1,153","1,739",791
2021년08월_계_80~89세,"8,438",310,185,525,259,301,294,790,503,900,611,402,371,494,251,662,501,814,265
2021년08월_계_90~99세,"1,225",32,27,63,34,42,43,90,82,123,92,73,72,73,49,79,84,111,56
2021년08월_계_100세 이상,47,1,0,4,1,3,0,3,3,9,2,2,3,3,2,2,6,2,1
2021년08월_남_총인구수,"143,271","1,894","2,272","5,404","2,603","4,238","5,617","14,494","12,403","11,600","7,419","10,365","4,987","7,485","3,006","9,542","14,089","18,174","7,679"
2021년08월_남_연령구간인구수,"143,271","1,894","2,272","5,404","2,603","4,238","5,617","14,494","12,403","11,600","7,419","10,365","4,987","7,485","3,006","9,542","14,089","18,174","7,679"
2021년08월_남_0~9세,"10,679",57,202,280,87,307,461,"1,054",787,607,421,"1,212",284,565,203,636,"1,321","1,442",753
2021년08월_남_10~19세,"15,977",72,190,356,149,288,640,"1,540","1,193",848,558,"1,453",534,844,202,"1,113","2,144","2,645","1,208"
2021년08월_남_20~29세,"22,905",232,255,785,442,556,921,"2,627","2,366","2,128","1,369","1,259",858,"1,150",395,"1,518","2,205","2,824","1,015"
2021년08월_남_30~39세,"18,057",187,269,812,348,531,804,"2,118","1,881","1,578","1,195","1,384",553,841,356,964,"1,490","1,992",754
2021년08월_남_40~49세,"22,814",250,407,774,368,697,973,"2,200","1,968","1,614","1,133","1,825",682,986,376,"1,276","2,428","3,327","1,530"
2021년08월_남_50~59세,"24,232",326,329,903,431,788,"1,003","2,552","1,998","1,978","1,120","1,384",788,"1,138",642,"1,768","2,620","3,222","1,242"
2021년08월_남_60~69세,"16,625",345,333,702,397,618,480,"1,456","1,287","1,622",809,"1,105",736,"1,226",511,"1,438","1,161","1,650",749
2021년08월_남_70~79세,"8,639",285,220,568,258,334,217,631,707,894,541,581,393,548,240,629,527,732,334
2021년08월_남_80~89세,"3,065",132,63,209,114,108,108,288,196,303,248,149,144,173,74,188,174,311,83
2021년08월_남_90~99세,275,8,4,14,9,11,10,27,20,28,25,13,15,14,7,12,19,28,11
2021년08월_남_100세 이상,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2021년08월_여_총인구수,"149,129","1,909","2,365","5,503","2,377","3,991","5,401","15,857","12,423","12,213","8,184","10,346","5,131","8,042","2,819","10,579","14,686","18,755","8,548"
2021년08월_여_연령구간인구수,"149,129","1,909","2,365","5,503","2,377","3,991","5,401","15,857","12,423","12,213","8,184","10,346","5,131","8,042","2,819","10,579","14,686","18,755","8,548"
2021년08월_여_0~9세,"9,932",45,174,280,75,234,384,"1,065",805,535,398,"1,084",238,487,188,588,"1,204","1,388",760
2021년08월_여_10~19세,"14,378",68,154,269,89,293,607,"1,427","1,223",805,510,"1,006",447,679,187,939,"2,077","2,387","1,211"
2021년08월_여_20~29세,"21,861",172,211,809,408,496,835,"2,894","2,324","2,255","1,691","1,095",678,981,322,"1,361","1,862","2,571",896
2021년08월_여_30~39세,"17,380",147,280,697,257,448,656,"2,103","1,618","1,348","1,143","1,472",523,817,323,"1,019","1,595","2,017",917
2021년08월_여_40~49세,"24,489",170,321,718,277,550,944,"2,603","1,940","1,553","1,037","1,888",677,"1,166",331,"1,615","3,039","3,876","1,784"
2021년08월_여_50~59세,"25,165",270,338,836,414,742,892,"2,842","1,971","2,013","1,205","1,503",919,"1,461",559,"2,095","2,616","3,176","1,313"
2021년08월_여_60~69세,"18,806",411,441,876,422,629,503,"1,482","1,437","1,820","1,078","1,321",888,"1,443",446,"1,612","1,269","1,746",982
2021년08월_여_70~79세,"10,751",423,301,650,264,372,361,874,733,"1,183",690,662,474,625,242,807,626,"1,007",457
2021년08월_여_80~89세,"5,373",178,122,316,145,193,186,502,307,597,363,253,227,321,177,474,327,503,182
2021년08월_여_90~99세,950,24,23,49,25,31,33,63,62,95,67,60,57,59,42,67,65,83,45
2021년08월_여_100세 이상,44,1,0,3,1,3,0,2,3,9,2,2,3,3,2,2,6,1,1
