카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2021년11월_계_총인구수,"74,793","8,158","6,601","4,827","4,378","4,813","7,858","4,852","6,247","6,707","11,497","6,916","1,939"
2021년11월_계_연령구간인구수,"74,793","8,158","6,601","4,827","4,378","4,813","7,858","4,852","6,247","6,707","11,497","6,916","1,939"
2021년11월_계_0~9세,"5,011",287,401,142,107,570,829,243,636,507,782,452,55
2021년11월_계_10~19세,"5,017",460,383,216,188,213,522,278,434,547,"1,048",597,131
2021년11월_계_20~29세,"11,386","1,432","1,789","1,396",797,520,790,858,789,671,"1,219",910,215
2021년11월_계_30~39세,"10,575","1,109","1,246",756,544,934,"1,244",624,"1,048",861,"1,254",784,171
2021년11월_계_40~49세,"10,548","1,042",889,502,464,704,"1,192",634,938,"1,106","1,781","1,013",283
2021년11월_계_50~59세,"11,031","1,248",701,590,688,641,"1,192",748,895,"1,000","1,821","1,182",325
2021년11월_계_60~69세,"10,239","1,208",626,584,763,650,"1,110",715,705,970,"1,722",864,322
2021년11월_계_70~79세,"7,030",867,349,401,544,388,646,493,522,670,"1,192",655,303
2021년11월_계_80~89세,"3,464",433,191,196,241,173,292,234,239,335,604,404,122
2021년11월_계_90~99세,470,65,25,42,42,18,40,25,38,39,71,53,12
2021년11월_계_100세 이상,22,7,1,2,0,2,1,0,3,1,3,2,0
2021년11월_남_총인구수,"35,927","4,071","3,130","2,312","2,203","2,421","3,829","2,328","2,967","3,097","5,373","3,236",960
2021년11월_남_연령구간인구수,"35,927","4,071","3,130","2,312","2,203","2,421","3,829","2,328","2,967","3,097","5,373","3,236",960
2021년11월_남_0~9세,"2,566",129,206,76,55,280,415,129,302,283,426,234,31
2021년11월_남_10~19세,"2,536",228,188,107,88,111,288,134,201,272,562,282,75
2021년11월_남_20~29세,"5,450",710,781,586,380,270,413,407,367,327,633,451,125
2021년11월_남_30~39세,"5,458",605,671,426,334,464,604,321,512,426,618,384,93
2021년11월_남_40~49세,"5,341",575,457,262,253,392,620,323,474,530,854,471,130
2021년11월_남_50~59세,"5,491",678,337,319,372,315,559,388,457,479,834,580,173
2021년11월_남_60~69세,"4,727",593,263,292,380,332,529,335,332,406,725,391,149
2021년11월_남_70~79세,"2,964",366,151,163,237,193,272,214,225,259,500,251,133
2021년11월_남_80~89세,"1,271",168,68,71,94,62,119,72,90,104,206,170,47
2021년11월_남_90~99세,120,18,8,9,10,2,10,5,7,11,15,21,4
2021년11월_남_100세 이상,3,1,0,1,0,0,0,0,0,0,0,1,0
2021년11월_여_총인구수,"38,866","4,087","3,471","2,515","2,175","2,392","4,029","2,524","3,280","3,610","6,124","3,680",979
2021년11월_여_연령구간인구수,"38,866","4,087","3,471","2,515","2,175","2,392","4,029","2,524","3,280","3,610","6,124","3,680",979
2021년11월_여_0~9세,"2,445",158,195,66,52,290,414,114,334,224,356,218,24
2021년11월_여_10~19세,"2,481",232,195,109,100,102,234,144,233,275,486,315,56
2021년11월_여_20~29세,"5,936",722,"1,008",810,417,250,377,451,422,344,586,459,90
2021년11월_여_30~39세,"5,117",504,575,330,210,470,640,303,536,435,636,400,78
2021년11월_여_40~49세,"5,207",467,432,240,211,312,572,311,464,576,927,542,153
2021년11월_여_50~59세,"5,540",570,364,271,316,326,633,360,438,521,987,602,152
2021년11월_여_60~69세,"5,512",615,363,292,383,318,581,380,373,564,997,473,173
2021년11월_여_70~79세,"4,066",501,198,238,307,195,374,279,297,411,692,404,170
2021년11월_여_80~89세,"2,193",265,123,125,147,111,173,162,149,231,398,234,75
2021년11월_여_90~99세,350,47,17,33,32,16,30,20,31,28,56,32,8
2021년11월_여_100세 이상,19,6,1,1,0,2,1,0,3,1,3,1,0
