,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년10월_계_총인구수,"1,850,680","225,278","280,584","282,676","114,931","150,461","45,903","28,106","25,578","64,038","40,611","62,562","37,823","34,724","69,118","53,869","84,944","32,192","53,226","44,620","50,042","30,233","39,161"
2020년10월_계_연령구간인구수,"1,850,680","225,278","280,584","282,676","114,931","150,461","45,903","28,106","25,578","64,038","40,611","62,562","37,823","34,724","69,118","53,869","84,944","32,192","53,226","44,620","50,042","30,233","39,161"
2020년10월_계_0~9세,"133,324","18,668","21,183","23,663","10,074","13,500","2,335","1,101","1,156","2,622","1,785","3,527","2,031","1,801","4,118","3,635","7,626","1,408","3,793","2,817","3,195","1,695","1,591"
2020년10월_계_10~19세,"168,025","24,721","26,557","30,460","9,392","15,995","2,988","1,963","1,845","3,916","2,614","5,721","2,834","2,541","5,319","4,496","9,160","2,074","4,195","3,313","3,667","2,208","2,046"
2020년10월_계_20~29세,"199,789","27,238","33,758","37,656","12,212","19,819","4,747","2,372","1,958","4,176","2,985","6,788","3,096","2,895","5,556","5,060","8,678","2,518","5,009","4,300","3,766","2,385","2,817"
2020년10월_계_30~39세,"186,951","26,191","31,183","33,317","14,524","18,501","3,627","1,742","1,667","3,730","2,570","4,771","2,816","2,490","5,209","4,875","9,968","2,165","4,890","3,683","4,064","2,223","2,745"
2020년10월_계_40~49세,"260,657","37,697","42,185","43,767","16,375","23,781","5,178","3,072","2,931","6,333","4,207","8,368","4,165","3,796","8,106","7,500","13,323","3,507","6,603","5,602","6,262","3,541","4,358"
2020년10월_계_50~59세,"313,610","36,382","48,506","49,249","17,229","28,778","8,058","4,883","4,600","10,311","6,702","11,268","6,311","5,694","11,660","9,421","12,739","5,539","8,592","7,517","8,123","4,965","7,083"
2020년10월_계_60~69세,"269,739","28,752","40,521","33,915","15,947","16,601","8,181","4,970","4,640","12,664","7,605","9,331","6,566","6,156","12,263","7,959","10,745","5,887","8,426","7,200","8,559","5,204","7,647"
2020년10월_계_70~79세,"192,581","17,560","24,366","18,950","11,536","8,091","6,328","4,297","3,898","11,498","6,655","7,503","5,477","5,237","10,066","6,347","7,890","5,163","7,159","5,948","7,434","4,749","6,429"
2020년10월_계_80~89세,"109,176","7,025","10,622","10,056","6,588","4,638","3,829","3,182","2,484","7,497","4,730","4,615","3,885","3,574","5,965","4,011","4,182","3,415","3,977","3,695","4,383","2,880","3,943"
2020년10월_계_90~99세,"15,959",963,"1,594","1,580",992,735,599,508,377,"1,238",718,636,617,511,810,530,596,490,548,505,563,365,484
2020년10월_계_100세 이상,869,81,109,63,62,22,33,16,22,53,40,34,25,29,46,35,37,26,34,40,26,18,18
2020년10월_남_총인구수,"929,911","112,217","143,106","141,053","57,830","78,387","23,323","13,724","12,434","31,092","19,766","30,936","18,373","16,783","34,127","27,704","42,640","16,113","26,539","22,862","25,156","14,865","20,881"
2020년10월_남_연령구간인구수,"929,911","112,217","143,106","141,053","57,830","78,387","23,323","13,724","12,434","31,092","19,766","30,936","18,373","16,783","34,127","27,704","42,640","16,113","26,539","22,862","25,156","14,865","20,881"
2020년10월_남_0~9세,"67,966","9,577","10,764","12,133","5,145","6,867","1,174",563,571,"1,302",945,"1,791","1,043",896,"2,076","1,818","3,931",734,"1,942","1,416","1,653",803,822
2020년10월_남_10~19세,"87,239","12,686","13,838","15,930","4,858","8,271","1,554","1,027",978,"2,085","1,335","2,957","1,493","1,308","2,755","2,398","4,663","1,095","2,170","1,747","1,887","1,149","1,055"
2020년10월_남_20~29세,"111,397","14,712","19,105","20,413","6,446","11,509","2,832","1,288","1,047","2,457","1,687","3,688","1,737","1,631","3,127","2,921","4,663","1,491","2,805","2,571","2,198","1,371","1,698"
2020년10월_남_30~39세,"98,398","13,479","16,776","17,097","7,575","9,899","1,894",934,889,"2,032","1,378","2,423","1,481","1,273","2,716","2,661","5,088","1,154","2,519","1,965","2,220","1,211","1,734"
2020년10월_남_40~49세,"139,484","19,437","22,268","21,571","9,143","12,151","3,025","1,715","1,598","3,683","2,405","4,354","2,294","2,115","4,577","4,452","7,052","2,083","3,742","3,201","3,654","2,043","2,921"
2020년10월_남_50~59세,"168,032","18,256","25,352","24,857","9,391","15,787","4,460","2,699","2,543","5,712","3,747","6,168","3,423","3,065","6,412","5,383","6,989","3,218","4,734","4,289","4,502","2,737","4,308"
2020년10월_남_60~69세,"135,743","13,702","20,103","17,010","8,089","8,734","4,215","2,591","2,286","6,287","3,812","4,877","3,284","3,070","6,114","4,057","5,383","3,058","4,230","3,758","4,260","2,625","4,198"
2020년10월_남_70~79세,"84,086","7,778","11,048","8,464","5,001","3,582","2,804","1,816","1,632","4,940","2,813","3,111","2,310","2,235","4,357","2,662","3,515","2,152","3,075","2,615","3,278","2,013","2,885"
2020년10월_남_80~89세,"34,282","2,376","3,550","3,253","1,963","1,456","1,231",988,809,"2,319","1,491","1,423","1,184","1,088","1,838","1,239","1,256","1,015","1,215","1,175","1,399",847,"1,167"
2020년10월_남_90~99세,"3,164",198,285,317,209,126,131,100,79,267,147,142,120,98,154,105,95,111,104,120,102,66,88
2020년10월_남_100세 이상,120,16,17,8,10,5,3,3,2,8,6,2,4,4,1,8,5,2,3,5,3,0,5
2020년10월_여_총인구수,"920,769","113,061","137,478","141,623","57,101","72,074","22,580","14,382","13,144","32,946","20,845","31,626","19,450","17,941","34,991","26,165","42,304","16,079","26,687","21,758","24,886","15,368","18,280"
2020년10월_여_연령구간인구수,"920,769","113,061","137,478","141,623","57,101","72,074","22,580","14,382","13,144","32,946","20,845","31,626","19,450","17,941","34,991","26,165","42,304","16,079","26,687","21,758","24,886","15,368","18,280"
2020년10월_여_0~9세,"65,358","9,091","10,419","11,530","4,929","6,633","1,161",538,585,"1,320",840,"1,736",988,905,"2,042","1,817","3,695",674,"1,851","1,401","1,542",892,769
2020년10월_여_10~19세,"80,786","12,035","12,719","14,530","4,534","7,724","1,434",936,867,"1,831","1,279","2,764","1,341","1,233","2,564","2,098","4,497",979,"2,025","1,566","1,780","1,059",991
2020년10월_여_20~29세,"88,392","12,526","14,653","17,243","5,766","8,310","1,915","1,084",911,"1,719","1,298","3,100","1,359","1,264","2,429","2,139","4,015","1,027","2,204","1,729","1,568","1,014","1,119"
2020년10월_여_30~39세,"88,553","12,712","14,407","16,220","6,949","8,602","1,733",808,778,"1,698","1,192","2,348","1,335","1,217","2,493","2,214","4,880","1,011","2,371","1,718","1,844","1,012","1,011"
2020년10월_여_40~49세,"121,173","18,260","19,917","22,196","7,232","11,630","2,153","1,357","1,333","2,650","1,802","4,014","1,871","1,681","3,529","3,048","6,271","1,424","2,861","2,401","2,608","1,498","1,437"
2020년10월_여_50~59세,"145,578","18,126","23,154","24,392","7,838","12,991","3,598","2,184","2,057","4,599","2,955","5,100","2,888","2,629","5,248","4,038","5,750","2,321","3,858","3,228","3,621","2,228","2,775"
