카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020년03월_계_총인구수,"289,575","15,053","26,698","20,871","39,813","43,561","15,878","30,706","13,348","12,585","11,319","12,690","27,642","19,411"
2020년03월_계_연령구간인구수,"289,575","15,053","26,698","20,871","39,813","43,561","15,878","30,706","13,348","12,585","11,319","12,690","27,642","19,411"
2020년03월_계_0~9세,"20,098",777,"1,543","1,034","2,332","4,277","1,029","2,825",549,492,504,913,"2,450","1,373"
2020년03월_계_10~19세,"24,688",752,"1,870","1,673","3,426","4,775","1,394","4,060",669,723,669,814,"2,455","1,408"
2020년03월_계_20~29세,"39,033","2,170","3,799","3,106","4,800","6,154","2,375","3,997","1,731","1,954","1,504","1,551","3,403","2,489"
2020년03월_계_30~39세,"35,160","2,068","3,410","2,130","4,084","5,747","1,739","3,316","1,656","1,563","1,239","2,024","3,588","2,596"
2020년03월_계_40~49세,"41,781","1,810","3,608","3,062","5,547","6,809","2,119","5,675","1,651","1,624","1,515","1,558","4,239","2,564"
2020년03월_계_50~59세,"55,939","3,113","5,537","4,458","7,854","8,565","3,349","5,441","2,518","2,404","2,034","2,306","4,788","3,572"
2020년03월_계_60~69세,"43,392","2,590","4,232","3,342","6,284","4,876","2,257","3,012","2,546","2,280","2,116","2,159","4,226","3,472"
2020년03월_계_70~79세,"20,638","1,238","1,968","1,540","3,518","1,707","1,069","1,671","1,362","1,070","1,240","1,015","1,813","1,427"
2020년03월_계_80~89세,"7,739",472,646,463,"1,782",557,436,629,591,407,441,300,580,435
2020년03월_계_90~99세,"1,007",58,68,59,182,89,74,78,70,63,51,45,95,75
2020년03월_계_100세 이상,100,5,17,4,4,5,37,2,5,5,6,5,5,0
2020년03월_남_총인구수,"143,363","7,628","13,763","10,710","19,350","21,451","7,767","15,004","6,570","6,250","5,528","6,244","13,589","9,509"
2020년03월_남_연령구간인구수,"143,363","7,628","13,763","10,710","19,350","21,451","7,767","15,004","6,570","6,250","5,528","6,244","13,589","9,509"
2020년03월_남_0~9세,"10,326",373,828,537,"1,193","2,194",535,"1,458",278,248,264,444,"1,259",715
2020년03월_남_10~19세,"12,864",361,"1,012",903,"1,741","2,470",715,"2,120",367,391,344,409,"1,267",764
2020년03월_남_20~29세,"20,945","1,154","2,049","1,747","2,580","3,317","1,280","2,115",942,"1,001",802,806,"1,802","1,350"
2020년03월_남_30~39세,"18,174","1,167","1,880","1,146","2,158","2,735",905,"1,534",905,886,687,"1,061","1,789","1,321"
2020년03월_남_40~49세,"20,636","1,001","1,890","1,588","2,713","3,139",998,"2,582",851,857,814,813,"2,112","1,278"
2020년03월_남_50~59세,"26,787","1,521","2,777","2,209","3,737","4,048","1,553","2,738","1,222","1,162",983,"1,058","2,249","1,530"
2020년03월_남_60~69세,"21,434","1,305","2,142","1,676","3,210","2,510","1,137","1,439","1,200","1,080",975,"1,055","2,021","1,684"
2020년03월_남_70~79세,"9,420",577,937,731,"1,432",856,478,736,611,485,518,487,877,695
2020년03월_남_80~89세,"2,558",158,235,161,539,171,135,263,180,126,131,108,193,158
2020년03월_남_90~99세,197,10,10,12,47,11,19,18,14,13,8,2,19,14
2020년03월_남_100세 이상,22,1,3,0,0,0,12,1,0,1,2,1,1,0
2020년03월_여_총인구수,"146,212","7,425","12,935","10,161","20,463","22,110","8,111","15,702","6,778","6,335","5,791","6,446","14,053","9,902"
2020년03월_여_연령구간인구수,"146,212","7,425","12,935","10,161","20,463","22,110","8,111","15,702","6,778","6,335","5,791","6,446","14,053","9,902"
2020년03월_여_0~9세,"9,772",404,715,497,"1,139","2,083",494,"1,367",271,244,240,469,"1,191",658
2020년03월_여_10~19세,"11,824",391,858,770,"1,685","2,305",679,"1,940",302,332,325,405,"1,188",644
2020년03월_여_20~29세,"18,088","1,016","1,750","1,359","2,220","2,837","1,095","1,882",789,953,702,745,"1,601","1,139"
2020년03월_여_30~39세,"16,986",901,"1,530",984,"1,926","3,012",834,"1,782",751,677,552,963,"1,799","1,275"
2020년03월_여_40~49세,"21,145",809,"1,718","1,474","2,834","3,670","1,121","3,093",800,767,701,745,"2,127","1,286"
2020년03월_여_50~59세,"29,152","1,592","2,760","2,249","4,117","4,517","1,796","2,703","1,296","1,242","1,051","1,248","2,539","2,042"
2020년03월_여_60~69세,"21,958","1,285","2,090","1,666","3,074","2,366","1,120","1,573","1,346","1,200","1,141","1,104","2,205","1,788"
2020년03월_여_70~79세,"11,218",661,"1,031",809,"2,086",851,591,935,751,585,722,528,936,732
2020년03월_여_80~89세,"5,181",314,411,302,"1,243",386,301,366,411,281,310,192,387,277
2020년03월_여_90~99세,810,48,58,47,135,78,55,60,56,50,43,43,76,61
2020년03월_여_100세 이상,78,4,14,4,4,5,25,1,5,4,4,4,4,0
