,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년08월_계_총인구수,"539,226","55,726","18,307","6,403","7,396","3,797","3,135","5,806","9,719","9,064","9,869","73,516","80,178","9,539","40,107","32,925","7,579","57,007","36,292","72,861"
2021년08월_계_연령구간인구수,"539,226","55,726","18,307","6,403","7,396","3,797","3,135","5,806","9,719","9,064","9,869","73,516","80,178","9,539","40,107","32,925","7,579","57,007","36,292","72,861"
2021년08월_계_0~9세,"46,889","6,234","2,817",200,176,79,76,139,544,586,565,"4,544","6,996",528,"2,413","1,450",481,"5,122","3,416","10,523"
2021년08월_계_10~19세,"60,425","6,182","1,264",306,322,118,137,204,656,541,628,"7,330","10,331",725,"3,775","2,955",723,"7,983","5,125","11,120"
2021년08월_계_20~29세,"67,824","5,290","2,043",568,584,295,260,378,"1,293","1,019","1,370","12,173","10,747","1,200","5,942","5,646",993,"7,005","4,368","6,650"
2021년08월_계_30~39세,"67,193","8,404","3,964",499,551,248,220,369,"1,200","1,180","1,188","8,430","9,268",950,"4,249","2,895",761,"6,812","4,368","11,637"
2021년08월_계_40~49세,"96,748","10,901","3,014",773,694,343,316,530,"1,339","1,191","1,372","11,393","15,036","1,327","6,174","4,740","1,182","11,858","7,665","16,900"
2021년08월_계_50~59세,"97,863","8,390","2,765","1,383","1,507",790,712,"1,030","1,942","1,650","2,079","16,231","15,086","1,972","8,663","7,394","1,550","9,731","6,249","8,739"
2021년08월_계_60~69세,"62,064","6,273","1,624","1,443","1,872","1,006",836,"1,680","1,674","1,617","1,630","8,464","7,971","1,704","5,585","4,878","1,172","4,975","3,055","4,605"
2021년08월_계_70~79세,"26,761","2,654",510,754,"1,013",579,373,944,724,870,724,"3,195","3,194",766,"2,284","1,944",498,"2,377","1,424","1,934"
2021년08월_계_80~89세,"11,936","1,226",273,403,601,305,168,455,309,356,287,"1,583","1,375",333,924,924,191,"1,020",539,664
2021년08월_계_90~99세,"1,471",169,33,73,75,34,34,76,37,48,25,164,167,33,97,97,23,117,82,87
2021년08월_계_100세 이상,52,3,0,1,1,0,3,1,1,6,1,9,7,1,1,2,5,7,1,2
2021년08월_남_총인구수,"272,767","28,706","9,357","3,513","4,037","2,020","1,728","3,019","4,967","4,536","5,068","36,628","40,148","5,053","20,396","16,883","3,858","28,392","18,281","36,177"
2021년08월_남_연령구간인구수,"272,767","28,706","9,357","3,513","4,037","2,020","1,728","3,019","4,967","4,536","5,068","36,628","40,148","5,053","20,396","16,883","3,858","28,392","18,281","36,177"
2021년08월_남_0~9세,"23,963","3,245","1,415",116,90,52,46,65,289,309,298,"2,380","3,581",285,"1,248",739,252,"2,517","1,716","5,320"
2021년08월_남_10~19세,"31,293","3,189",649,166,186,64,71,114,312,284,332,"3,784","5,420",378,"1,976","1,560",353,"4,104","2,645","5,706"
2021년08월_남_20~29세,"37,067","2,952","1,047",371,380,179,156,237,719,570,747,"6,604","5,847",663,"3,217","3,181",555,"3,768","2,416","3,458"
2021년08월_남_30~39세,"34,684","4,337","2,021",288,358,148,137,222,676,603,656,"4,448","4,689",553,"2,315","1,620",416,"3,409","2,242","5,546"
2021년08월_남_40~49세,"48,083","5,832","1,587",485,454,210,200,312,684,630,729,"5,353","7,100",723,"3,130","2,373",586,"5,715","3,693","8,287"
2021년08월_남_50~59세,"50,209","4,393","1,380",803,876,445,405,551,"1,009",818,"1,047","7,887","7,660","1,071","4,325","3,688",790,"5,119","3,309","4,633"
2021년08월_남_60~69세,"31,713","3,123",920,785,"1,016",545,460,896,850,805,819,"4,438","4,055",911,"2,893","2,584",612,"2,381","1,485","2,135"
2021년08월_남_70~79세,"11,745","1,204",255,345,498,270,189,459,322,370,330,"1,275","1,341",349,996,838,217,"1,022",587,878
2021년08월_남_80~89세,"3,728",403,77,143,172,103,57,147,98,138,107,426,421,116,275,279,68,328,174,196
2021년08월_남_90~99세,270,28,6,11,7,4,7,16,7,8,3,31,34,4,21,20,7,25,13,18
2021년08월_남_100세 이상,12,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,4,1,0
2021년08월_여_총인구수,"266,459","27,020","8,950","2,890","3,359","1,777","1,407","2,787","4,752","4,528","4,801","36,888","40,030","4,486","19,711","16,042","3,721","28,615","18,011","36,684"
2021년08월_여_연령구간인구수,"266,459","27,020","8,950","2,890","3,359","1,777","1,407","2,787","4,752","4,528","4,801","36,888","40,030","4,486","19,711","16,042","3,721","28,615","18,011","36,684"
2021년08월_여_0~9세,"22,926","2,989","1,402",84,86,27,30,74,255,277,267,"2,164","3,415",243,"1,165",711,229,"2,605","1,700","5,203"
2021년08월_여_10~19세,"29,132","2,993",615,140,136,54,66,90,344,257,296,"3,546","4,911",347,"1,799","1,395",370,"3,879","2,480","5,414"
