카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년06월_계_총인구수,"99,980","38,416","8,581","28,377","3,507","3,453","2,953","2,334","2,128","3,261","3,522","3,448"
2020년06월_계_연령구간인구수,"99,980","38,416","8,581","28,377","3,507","3,453","2,953","2,334","2,128","3,261","3,522","3,448"
2020년06월_계_0~9세,"7,944","2,596",289,"4,410",107,130,79,49,28,82,82,92
2020년06월_계_10~19세,"9,642","4,433",468,"3,620",138,233,118,73,66,149,159,185
2020년06월_계_20~29세,"9,679","4,881",615,"2,709",222,229,154,124,119,213,187,226
2020년06월_계_30~39세,"10,707","3,692",506,"5,189",222,189,146,105,107,151,200,200
2020년06월_계_40~49세,"14,631","6,217",838,"5,368",339,381,245,171,134,293,286,359
2020년06월_계_50~59세,"15,882","6,786","1,511","3,338",651,596,458,390,368,572,594,618
2020년06월_계_60~69세,"14,318","5,016","1,822","1,998",758,689,626,536,505,756,828,784
2020년06월_계_70~79세,"9,979","3,027","1,552","1,044",583,535,584,459,434,591,619,551
2020년06월_계_80~89세,"6,310","1,536",850,618,427,425,494,360,324,396,495,385
2020년06월_계_90~99세,828,216,110,79,59,44,47,66,43,51,67,46
2020년06월_계_100세 이상,60,16,20,4,1,2,2,1,0,7,5,2
2020년06월_남_총인구수,"49,711","19,028","4,214","14,194","1,783","1,756","1,426","1,177","1,035","1,607","1,755","1,736"
2020년06월_남_연령구간인구수,"49,711","19,028","4,214","14,194","1,783","1,756","1,426","1,177","1,035","1,607","1,755","1,736"
2020년06월_남_0~9세,"4,137","1,333",153,"2,306",61,73,40,27,13,37,46,48
2020년06월_남_10~19세,"4,912","2,255",248,"1,838",78,125,59,36,28,68,82,95
2020년06월_남_20~29세,"5,337","2,700",372,"1,365",134,151,89,79,76,129,111,131
2020년06월_남_30~39세,"5,528","1,897",301,"2,544",137,107,86,71,71,89,121,104
2020년06월_남_40~49세,"7,659","3,043",487,"2,731",214,217,162,111,88,193,192,221
2020년06월_남_50~59세,"8,261","3,468",769,"1,751",350,322,249,222,188,285,315,342
2020년06월_남_60~69세,"7,000","2,378",866,965,391,357,306,268,246,386,428,409
2020년06월_남_70~79세,"4,450","1,351",681,479,257,250,248,218,199,265,253,249
2020년06월_남_80~89세,"2,202",538,297,201,147,147,175,129,119,140,184,125
2020년06월_남_90~99세,207,58,35,14,13,7,11,16,7,13,21,12
2020년06월_남_100세 이상,18,7,5,0,1,0,1,0,0,2,2,0
2020년06월_여_총인구수,"50,269","19,388","4,367","14,183","1,724","1,697","1,527","1,157","1,093","1,654","1,767","1,712"
2020년06월_여_연령구간인구수,"50,269","19,388","4,367","14,183","1,724","1,697","1,527","1,157","1,093","1,654","1,767","1,712"
2020년06월_여_0~9세,"3,807","1,263",136,"2,104",46,57,39,22,15,45,36,44
2020년06월_여_10~19세,"4,730","2,178",220,"1,782",60,108,59,37,38,81,77,90
2020년06월_여_20~29세,"4,342","2,181",243,"1,344",88,78,65,45,43,84,76,95
2020년06월_여_30~39세,"5,179","1,795",205,"2,645",85,82,60,34,36,62,79,96
2020년06월_여_40~49세,"6,972","3,174",351,"2,637",125,164,83,60,46,100,94,138
2020년06월_여_50~59세,"7,621","3,318",742,"1,587",301,274,209,168,180,287,279,276
2020년06월_여_60~69세,"7,318","2,638",956,"1,033",367,332,320,268,259,370,400,375
2020년06월_여_70~79세,"5,529","1,676",871,565,326,285,336,241,235,326,366,302
2020년06월_여_80~89세,"4,108",998,553,417,280,278,319,231,205,256,311,260
2020년06월_여_90~99세,621,158,75,65,46,37,36,50,36,38,46,34
2020년06월_여_100세 이상,42,9,15,4,0,2,1,1,0,5,3,2
