카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년12월_계_총인구수,"376,837","21,254","29,233","33,071","20,300","37,520","17,730","32,627","18,197","22,301","17,342","16,561","12,324","10,611","19,076","19,968","14,525","11,912","22,285"
2021년12월_계_연령구간인구수,"376,837","21,254","29,233","33,071","20,300","37,520","17,730","32,627","18,197","22,301","17,342","16,561","12,324","10,611","19,076","19,968","14,525","11,912","22,285"
2021년12월_계_0~9세,"24,756","1,349","1,166","2,675","1,050","2,737",877,"3,256","1,291","1,553",549,"1,115",845,785,"1,133","2,051",857,391,"1,076"
2021년12월_계_10~19세,"23,640","1,196",840,"2,899",930,"2,273",920,"2,976","1,003","1,469",817,"1,081",801,723,"1,217","1,724",866,544,"1,361"
2021년12월_계_20~29세,"58,693","2,856","7,538","3,660","3,451","7,242","2,647","3,575","2,887","3,752","3,405","2,124","1,557","1,290","3,117","2,643","2,043","1,841","3,065"
2021년12월_계_30~39세,"69,403","3,228","7,565","4,847","4,239","8,273","3,156","5,945","4,634","5,335","3,123","2,500","1,866","1,472","3,105","3,350","1,930","1,660","3,175"
2021년12월_계_40~49세,"55,441","3,019","3,514","5,315","2,769","5,273","2,590","6,025","2,963","3,254","2,339","2,395","1,875","1,580","2,670","3,312","2,011","1,551","2,986"
2021년12월_계_50~59세,"56,262","3,645","3,508","5,198","2,995","4,801","2,932","4,257","2,090","3,041","2,511","2,816","2,015","1,793","3,015","3,000","2,505","2,083","4,057"
2021년12월_계_60~69세,"48,250","3,303","3,013","4,202","2,700","3,890","2,436","3,565","1,742","2,277","2,352","2,508","1,895","1,707","2,709","2,250","2,204","1,860","3,637"
2021년12월_계_70~79세,"26,867","1,821","1,416","2,578","1,412","1,997","1,429","2,013","1,050","1,065","1,464","1,387",991,882,"1,415","1,096","1,486","1,367","1,998"
2021년12월_계_80~89세,"11,950",736,579,"1,491",664,899,652,887,469,487,709,566,425,336,624,482,551,556,837
2021년12월_계_90~99세,"1,522",100,94,200,87,129,90,118,64,66,69,65,51,42,71,58,72,57,89
2021년12월_계_100세 이상,53,1,0,6,3,6,1,10,4,2,4,4,3,1,0,2,0,2,4
2021년12월_남_총인구수,"185,926","10,896","15,347","15,519","9,948","17,598","8,946","15,964","8,884","10,957","8,831","8,184","6,126","5,162","9,312","9,961","7,233","5,879","11,179"
2021년12월_남_연령구간인구수,"185,926","10,896","15,347","15,519","9,948","17,598","8,946","15,964","8,884","10,957","8,831","8,184","6,126","5,162","9,312","9,961","7,233","5,879","11,179"
2021년12월_남_0~9세,"12,670",677,585,"1,325",548,"1,420",446,"1,681",692,788,258,574,415,398,579,"1,082",459,202,541
2021년12월_남_10~19세,"12,307",615,432,"1,455",470,"1,127",495,"1,542",494,767,429,559,435,364,693,931,505,263,731
2021년12월_남_20~29세,"27,187","1,537","3,098","1,669","1,572","2,952","1,278","1,713","1,217","1,659","1,696","1,057",802,635,"1,437","1,303","1,028",931,"1,603"
2021년12월_남_30~39세,"35,400","1,704","4,179","2,173","2,163","3,934","1,654","2,814","2,353","2,723","1,769","1,287",980,769,"1,571","1,676","1,014",932,"1,705"
2021년12월_남_40~49세,"28,562","1,578","2,010","2,468","1,425","2,637","1,388","3,037","1,566","1,647","1,291","1,242",982,822,"1,380","1,677","1,072",829,"1,511"
2021년12월_남_50~59세,"28,723","1,907","2,197","2,554","1,554","2,295","1,554","2,140","1,105","1,569","1,324","1,414",996,866,"1,463","1,495","1,226","1,031","2,033"
2021년12월_남_60~69세,"23,432","1,689","1,812","1,982","1,286","1,883","1,200","1,659",786,"1,123","1,128","1,194",913,768,"1,268","1,092","1,034",844,"1,771"
2021년12월_남_70~79세,"12,335",849,749,"1,166",628,944,658,975,463,476,620,634,434,416,657,503,662,588,913
2021년12월_남_80~89세,"4,876",307,256,645,283,364,249,365,189,186,296,210,154,116,251,187,224,247,347
2021년12월_남_90~99세,421,33,29,81,18,38,24,35,18,19,19,13,13,8,13,15,9,12,24
2021년12월_남_100세 이상,13,0,0,1,1,4,0,3,1,0,1,0,2,0,0,0,0,0,0
2021년12월_여_총인구수,"190,911","10,358","13,886","17,552","10,352","19,922","8,784","16,663","9,313","11,344","8,511","8,377","6,198","5,449","9,764","10,007","7,292","6,033","11,106"
2021년12월_여_연령구간인구수,"190,911","10,358","13,886","17,552","10,352","19,922","8,784","16,663","9,313","11,344","8,511","8,377","6,198","5,449","9,764","10,007","7,292","6,033","11,106"
2021년12월_여_0~9세,"12,086",672,581,"1,350",502,"1,317",431,"1,575",599,765,291,541,430,387,554,969,398,189,535
2021년12월_여_10~19세,"11,333",581,408,"1,444",460,"1,146",425,"1,434",509,702,388,522,366,359,524,793,361,281,630
2021년12월_여_20~29세,"31,506","1,319","4,440","1,991","1,879","4,290","1,369","1,862","1,670","2,093","1,709","1,067",755,655,"1,680","1,340","1,015",910,"1,462"
2021년12월_여_30~39세,"34,003","1,524","3,386","2,674","2,076","4,339","1,502","3,131","2,281","2,612","1,354","1,213",886,703,"1,534","1,674",916,728,"1,470"
2021년12월_여_40~49세,"26,879","1,441","1,504","2,847","1,344","2,636","1,202","2,988","1,397","1,607","1,048","1,153",893,758,"1,290","1,635",939,722,"1,475"
2021년12월_여_50~59세,"27,539","1,738","1,311","2,644","1,441","2,506","1,378","2,117",985,"1,472","1,187","1,402","1,019",927,"1,552","1,505","1,279","1,052","2,024"
2021년12월_여_60~69세,"24,818","1,614","1,201","2,220","1,414","2,007","1,236","1,906",956,"1,154","1,224","1,314",982,939,"1,441","1,158","1,170","1,016","1,866"
2021년12월_여_70~79세,"14,532",972,667,"1,412",784,"1,053",771,"1,038",587,589,844,753,557,466,758,593,824,779,"1,085"
2021년12월_여_80~89세,"7,074",429,323,846,381,535,403,522,280,301,413,356,271,220,373,295,327,309,490
2021년12월_여_90~99세,"1,101",67,65,119,69,91,66,83,46,47,50,52,38,34,58,43,63,45,65
2021년12월_여_100세 이상,40,1,0,5,2,2,1,7,3,2,3,4,1,1,0,2,0,2,4
