,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년12월_남_50~59세,"53,407","22,041","2,491",426,435,466,328,246,600,246,568,402,861,914,"1,634","2,033","3,502","4,219","2,670","31,366","2,346","2,057","1,962",991,"1,775","2,008","1,147","3,180","1,667","2,925","2,616","2,132","3,454","3,106"
2021년12월_남_60~69세,"35,361","17,127","1,666",529,594,529,421,294,640,285,597,418,767,834,"1,304","1,374","1,835","2,819","2,221","18,234","2,059","1,393","1,298",902,"1,335","1,367",972,"1,780","1,086","1,430",927,638,"1,648","1,399"
2021년12월_남_70~79세,"14,047","7,323",733,264,272,257,221,156,306,184,316,162,395,453,509,541,604,"1,038",912,"6,724","1,131",557,541,427,578,451,357,537,362,427,229,178,567,382
2021년12월_남_80~89세,"5,523","2,964",321,126,122,129,101,93,145,93,129,60,148,210,147,209,205,382,344,"2,559",491,232,226,203,195,137,123,200,148,135,95,45,225,104
2021년12월_남_90~99세,520,283,27,13,14,13,8,6,20,5,10,11,15,15,16,19,23,45,23,237,37,15,17,34,17,10,15,23,14,13,5,7,19,11
2021년12월_남_100세 이상,11,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,6,0,2,0,0,0,1,0,1,0,0,1,1,0,0
2021년12월_여_총인구수,"321,874","125,893","11,911","1,825","2,128","2,072","1,472","1,022","2,867",953,"2,568","2,012","4,159","4,475","8,780","11,590","21,700","27,481","18,878","195,981","11,377","10,235","9,131","3,858","8,414","11,881","7,037","18,955","9,648","20,124","16,552","18,646","22,860","27,263"
2021년12월_여_연령구간인구수,"321,874","125,893","11,911","1,825","2,128","2,072","1,472","1,022","2,867",953,"2,568","2,012","4,159","4,475","8,780","11,590","21,700","27,481","18,878","195,981","11,377","10,235","9,131","3,858","8,414","11,881","7,037","18,955","9,648","20,124","16,552","18,646","22,860","27,263"
2021년12월_여_0~9세,"28,645","9,112",749,40,55,54,37,24,122,8,88,78,171,133,491,994,"2,004","2,694","1,370","19,533",505,837,639,130,421,428,376,"1,517",646,"2,603","1,846","3,156","1,936","4,493"
2021년12월_여_10~19세,"32,588","12,268","1,226",103,81,101,77,35,156,26,125,96,282,293,651,"1,537","2,741","3,414","1,324","20,320","1,024","1,136",869,237,571,587,602,"2,264","1,060","2,744","2,201","2,522","1,953","2,550"
2021년12월_여_20~29세,"45,031","16,257","1,281",140,129,146,90,60,269,47,274,322,452,502,"1,343","1,214","2,733","3,232","4,023","28,774","1,170","1,088",996,333,"1,253","3,208","1,168","2,866","1,209","2,388","2,297","2,030","5,019","3,749"
2021년12월_여_30~39세,"47,782","14,908","1,160",107,134,125,63,60,213,39,199,241,374,325,"1,083","1,252","2,999","3,878","2,656","32,874",870,"1,205","1,090",238,"1,095","2,208",839,"2,409","1,134","3,330","3,023","4,204","4,167","7,062"
2021년12월_여_40~49세,"53,623","20,242","2,058",153,192,226,114,68,304,43,279,242,535,597,"1,383","2,165","4,344","5,090","2,449","33,381","1,570","1,867","1,539",408,"1,138","1,597",943,"3,439","1,596","3,941","3,413","3,903","3,637","4,390"
2021년12월_여_50~59세,"50,723","21,361","2,148",315,400,376,250,161,532,164,435,320,821,867,"1,571","2,035","3,514","4,278","3,174","29,362","1,912","1,706","1,604",766,"1,585","1,658","1,287","3,574","1,864","2,879","2,429","1,855","3,380","2,863"
2021년12월_여_60~69세,"34,498","16,863","1,646",453,525,511,371,246,593,249,592,383,791,868,"1,293","1,273","1,898","2,844","2,327","17,635","2,044","1,273","1,242",819,"1,281","1,279","1,096","1,713","1,109","1,388",845,635,"1,566","1,345"
2021년12월_여_70~79세,"16,712","8,488",902,256,292,254,236,186,346,176,356,211,429,521,592,689,832,"1,230",980,"8,224","1,311",643,644,509,687,555,435,715,570,496,272,196,731,460
2021년12월_여_80~89세,"10,391","5,394",629,210,256,222,186,159,276,163,200,101,255,327,318,368,551,686,487,"4,997",843,423,436,352,321,301,245,392,386,298,184,124,403,289
2021년12월_여_90~99세,"1,825",971,110,47,62,56,47,23,55,36,20,18,47,42,54,61,82,128,83,854,125,56,69,65,58,58,46,66,72,52,40,20,66,61
2021년12월_여_100세 이상,56,29,2,1,2,1,1,0,1,2,0,0,2,0,1,2,2,7,5,27,3,1,3,1,4,2,0,0,2,5,2,1,2,1
