,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년12월_계_총인구수,"461,710","31,550","31,280","36,246","35,257","20,688","43,940","48,211","39,625","33,781","46,531","27,135","26,125","19,148","22,193"
2020년12월_계_연령구간인구수,"461,710","31,550","31,280","36,246","35,257","20,688","43,940","48,211","39,625","33,781","46,531","27,135","26,125","19,148","22,193"
2020년12월_계_0~9세,"34,453","1,112","1,806","2,301","2,492","1,531","2,798","3,507","3,284","2,858","6,680","1,921","1,511","1,106","1,546"
2020년12월_계_10~19세,"42,539","1,592","2,114","2,808","3,434","2,076","4,052","5,235","3,505","4,304","5,128","2,517","2,031","1,587","2,156"
2020년12월_계_20~29세,"64,571","6,303","5,283","4,719","4,560","2,429","6,186","6,971","5,512","4,535","5,188","3,737","3,589","2,514","3,045"
2020년12월_계_30~39세,"60,147","4,715","4,587","4,624","4,065","2,321","5,219","5,451","5,578","3,805","8,373","3,189","3,330","2,244","2,646"
2020년12월_계_40~49세,"74,794","4,362","4,821","5,818","5,633","3,462","6,798","7,748","6,376","6,348","9,008","4,227","3,857","2,779","3,557"
2020년12월_계_50~59세,"80,387","5,517","5,534","5,872","5,960","3,432","8,564","8,971","6,895","5,929","6,014","5,104","5,025","3,602","3,968"
2020년12월_계_60~69세,"57,284","4,430","3,981","5,183","4,569","2,836","5,873","5,902","4,862","2,995","3,667","3,487","3,724","2,904","2,871"
2020년12월_계_70~79세,"31,313","2,277","2,138","3,461","3,014","1,708","2,959","2,866","2,252","1,936","1,680","1,871","2,064","1,541","1,546"
2020년12월_계_80~89세,"14,102","1,035",888,"1,296","1,359",773,"1,315","1,344","1,193",923,698,941,871,731,735
2020년12월_계_90~99세,"1,887",145,116,144,160,108,164,206,155,143,92,120,109,105,120
2020년12월_계_100세 이상,233,62,12,20,11,12,12,10,13,5,3,21,14,35,3
2020년12월_남_총인구수,"227,342","16,130","15,503","17,671","17,086","9,867","21,618","23,395","19,679","16,728","22,616","13,268","13,043","9,652","11,086"
