카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년06월_계_총인구수,"69,465","24,858","2,996","3,290","2,876","6,264","2,867","2,039","3,068","2,188","2,448","4,931","3,860","4,125","3,655"
2020년06월_계_연령구간인구수,"69,465","24,858","2,996","3,290","2,876","6,264","2,867","2,039","3,068","2,188","2,448","4,931","3,860","4,125","3,655"
2020년06월_계_0~9세,"4,223","2,391",107,142,76,311,107,50,105,83,88,205,208,203,147
2020년06월_계_10~19세,"5,382","2,981",153,154,148,381,175,105,172,90,126,262,197,235,203
2020년06월_계_20~29세,"5,599","2,672",225,199,156,483,187,114,200,100,150,295,258,279,281
2020년06월_계_30~39세,"5,310","2,688",190,220,136,428,149,86,144,109,111,291,265,260,233
2020년06월_계_40~49세,"8,219","3,845",288,325,268,663,259,183,338,208,233,411,403,404,391
2020년06월_계_50~59세,"11,796","4,075",545,538,503,"1,125",469,337,521,330,435,902,652,736,628
2020년06월_계_60~69세,"12,104","3,136",619,662,630,"1,171",586,408,557,447,465,"1,115",718,837,753
2020년06월_계_70~79세,"10,059","2,010",515,637,565,"1,035",559,421,565,416,473,846,707,723,587
2020년06월_계_80~89세,"5,938",924,313,378,344,602,337,296,384,353,319,536,393,390,369
2020년06월_계_90~99세,790,134,39,33,46,62,38,38,76,47,44,63,57,56,57
2020년06월_계_100세 이상,45,2,2,2,4,3,1,1,6,5,4,5,2,2,6
2020년06월_남_총인구수,"34,269","12,249","1,486","1,646","1,427","3,070","1,377",966,"1,527","1,021","1,234","2,420","1,932","2,042","1,872"
2020년06월_남_연령구간인구수,"34,269","12,249","1,486","1,646","1,427","3,070","1,377",966,"1,527","1,021","1,234","2,420","1,932","2,042","1,872"
2020년06월_남_0~9세,"2,131","1,195",52,77,39,156,49,28,56,37,56,100,105,105,76
2020년06월_남_10~19세,"2,798","1,540",83,77,79,194,93,54,94,50,72,140,94,126,102
2020년06월_남_20~29세,"3,137","1,448",119,103,94,295,105,63,112,61,90,186,141,169,151
2020년06월_남_30~39세,"2,758","1,296",105,138,90,243,76,47,76,54,58,166,147,128,134
2020년06월_남_40~49세,"4,661","1,920",183,208,160,384,151,118,210,131,157,244,279,242,274
2020년06월_남_50~59세,"6,466","2,126",293,319,281,583,251,197,309,176,267,502,376,413,373
2020년06월_남_60~69세,"5,987","1,500",322,316,331,564,290,202,285,220,231,544,376,413,393
2020년06월_남_70~79세,"4,359",914,216,287,235,462,244,154,240,165,196,368,301,327,250
2020년06월_남_80~89세,"1,820",279,103,116,113,182,105,99,132,111,96,160,108,108,108
2020년06월_남_90~99세,151,31,10,5,5,7,13,4,13,15,11,10,5,11,11
2020년06월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년06월_여_총인구수,"35,196","12,609","1,510","1,644","1,449","3,194","1,490","1,073","1,541","1,167","1,214","2,511","1,928","2,083","1,783"
2020년06월_여_연령구간인구수,"35,196","12,609","1,510","1,644","1,449","3,194","1,490","1,073","1,541","1,167","1,214","2,511","1,928","2,083","1,783"
2020년06월_여_0~9세,"2,092","1,196",55,65,37,155,58,22,49,46,32,105,103,98,71
2020년06월_여_10~19세,"2,584","1,441",70,77,69,187,82,51,78,40,54,122,103,109,101
2020년06월_여_20~29세,"2,462","1,224",106,96,62,188,82,51,88,39,60,109,117,110,130
2020년06월_여_30~39세,"2,552","1,392",85,82,46,185,73,39,68,55,53,125,118,132,99
2020년06월_여_40~49세,"3,558","1,925",105,117,108,279,108,65,128,77,76,167,124,162,117
2020년06월_여_50~59세,"5,330","1,949",252,219,222,542,218,140,212,154,168,400,276,323,255
2020년06월_여_60~69세,"6,117","1,636",297,346,299,607,296,206,272,227,234,571,342,424,360
2020년06월_여_70~79세,"5,700","1,096",299,350,330,573,315,267,325,251,277,478,406,396,337
2020년06월_여_80~89세,"4,118",645,210,262,231,420,232,197,252,242,223,376,285,282,261
2020년06월_여_90~99세,639,103,29,28,41,55,25,34,63,32,33,53,52,45,46
2020년06월_여_100세 이상,44,2,2,2,4,3,1,1,6,4,4,5,2,2,6
