,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년04월_계_총인구수,"209,434","4,806","2,008","2,950","8,832","2,961","2,286","3,918","13,450","3,809","3,645","2,270","3,195","1,953","2,671","23,557","6,995","15,344","5,220","9,512","18,448","3,750","9,308","14,556","37,379","6,611"
2021년04월_계_연령구간인구수,"209,434","4,806","2,008","2,950","8,832","2,961","2,286","3,918","13,450","3,809","3,645","2,270","3,195","1,953","2,671","23,557","6,995","15,344","5,220","9,512","18,448","3,750","9,308","14,556","37,379","6,611"
2021년04월_계_0~9세,"14,251",94,35,74,564,33,51,65,"2,021",339,99,54,75,60,94,"1,604",261,"1,224",241,346,"2,033",91,530,989,"2,711",563
2021년04월_계_10~19세,"18,641",209,63,112,410,103,90,115,990,287,173,79,160,74,162,"2,501",525,"1,997",479,679,"2,359",170,743,"1,696","3,793",672
2021년04월_계_20~29세,"24,158",369,112,191,"1,426",176,118,257,"1,555",513,253,126,179,101,260,"2,735",872,"1,845",582,"1,046","2,217",509,"1,094","1,918","4,939",765
2021년04월_계_30~39세,"23,107",294,90,143,"1,395",170,113,168,"3,064",450,170,116,168,114,218,"2,447",596,"1,642",432,845,"2,604",262,998,"1,445","4,363",800
2021년04월_계_40~49세,"30,532",480,161,239,"1,174",212,172,316,"2,134",506,322,177,238,141,336,"3,670",924,"2,827",726,"1,145","3,403",418,"1,389","2,440","5,871","1,111"
2021년04월_계_50~59세,"37,057",987,414,605,"1,480",559,382,776,"1,553",515,697,430,554,336,458,"4,322","1,247","2,661",927,"1,729","2,866",723,"1,713","2,839","7,059","1,225"
2021년04월_계_60~69세,"32,937","1,201",589,797,"1,330",805,645,"1,099","1,213",583,925,593,884,540,545,"3,485","1,290","1,746",894,"1,988","1,786",789,"1,567","1,815","5,032",796
2021년04월_계_70~79세,"17,275",663,320,483,599,486,397,647,534,342,550,378,505,319,349,"1,735",799,874,581,"1,071",751,477,878,894,"2,234",409
2021년04월_계_80~89세,"10,127",461,188,266,400,377,276,410,332,245,390,280,382,245,213,942,430,473,323,585,373,278,353,459,"1,212",234
2021년04월_계_90~99세,"1,316",46,36,40,52,39,39,64,54,28,64,36,48,23,35,113,48,52,35,76,55,33,42,59,164,35
2021년04월_계_100세 이상,33,2,0,0,2,1,3,1,0,1,2,1,2,0,1,3,3,3,0,2,1,0,1,2,1,1
2021년04월_남_총인구수,"106,018","2,474","1,019","1,505","4,969","1,534","1,158","2,014","6,922","2,034","1,843","1,163","1,633",995,"1,316","11,783","3,529","7,528","2,600","4,788","9,154","2,032","4,845","7,205","18,532","3,443"
2021년04월_남_연령구간인구수,"106,018","2,474","1,019","1,505","4,969","1,534","1,158","2,014","6,922","2,034","1,843","1,163","1,633",995,"1,316","11,783","3,529","7,528","2,600","4,788","9,154","2,032","4,845","7,205","18,532","3,443"
2021년04월_남_0~9세,"7,198",56,13,33,275,14,23,42,"1,000",159,42,33,42,28,45,841,126,607,125,175,"1,028",42,276,510,"1,357",306
2021년04월_남_10~19세,"9,710",103,34,67,225,53,58,61,506,148,77,42,101,43,80,"1,309",270,"1,070",248,346,"1,202",103,361,883,"1,961",359
2021년04월_남_20~29세,"13,912",234,64,122,926,112,74,168,877,339,150,77,102,63,148,"1,564",506,"1,021",330,577,"1,209",307,636,"1,044","2,811",451
2021년04월_남_30~39세,"12,537",177,53,82,871,105,68,103,"1,669",259,97,72,93,59,131,"1,292",354,821,230,479,"1,296",170,548,760,"2,327",421
2021년04월_남_40~49세,"15,689",293,97,142,690,145,120,176,"1,130",289,196,99,141,83,194,"1,832",488,"1,346",375,626,"1,671",253,765,"1,142","2,820",576
