카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년02월_계_총인구수,"107,844","4,650","7,907","6,617","12,259","8,910","8,135","8,048","7,407","4,822","10,176","4,826","9,962","14,125"
2020년02월_계_연령구간인구수,"107,844","4,650","7,907","6,617","12,259","8,910","8,135","8,048","7,407","4,822","10,176","4,826","9,962","14,125"
2020년02월_계_0~9세,"5,652",230,380,269,921,660,696,492,113,131,537,106,385,732
2020년02월_계_10~19세,"7,452",292,580,449,953,890,793,598,341,214,547,213,560,"1,022"
2020년02월_계_20~29세,"13,504",636,790,"1,026","1,618","1,071",971,"1,577",803,443,"1,393",404,956,"1,816"
2020년02월_계_30~39세,"11,544",519,730,635,"1,645",949,958,"1,056",581,412,"1,330",424,860,"1,445"
2020년02월_계_40~49세,"14,762",600,"1,100",894,"1,821","1,404","1,286","1,096",891,650,"1,354",560,"1,303","1,803"
2020년02월_계_50~59세,"18,414",783,"1,357","1,044","1,918","1,497","1,332","1,135","1,372",847,"1,767",899,"1,797","2,666"
2020년02월_계_60~69세,"18,467",783,"1,416","1,129","1,686","1,255","1,111","1,113","1,550","1,000","1,677","1,118","2,079","2,550"
2020년02월_계_70~79세,"12,135",515,"1,025",756,"1,128",774,625,627,"1,151",753,"1,106",773,"1,441","1,461"
2020년02월_계_80~89세,"5,063",256,469,350,485,356,314,292,508,318,394,283,499,539
2020년02월_계_90~99세,737,32,56,55,79,52,47,57,70,45,56,39,69,80
2020년02월_계_100세 이상,114,4,4,10,5,2,2,5,27,9,15,7,13,11
2020년02월_남_총인구수,"52,368","2,239","3,843","3,079","5,801","4,135","3,942","3,849","3,779","2,405","4,900","2,449","4,965","6,982"
2020년02월_남_연령구간인구수,"52,368","2,239","3,843","3,079","5,801","4,135","3,942","3,849","3,779","2,405","4,900","2,449","4,965","6,982"
2020년02월_남_0~9세,"2,948",117,198,140,477,338,381,260,57,62,285,56,197,380
2020년02월_남_10~19세,"3,759",141,271,219,476,408,423,297,179,113,283,101,299,549
2020년02월_남_20~29세,"6,716",322,423,470,779,532,490,720,426,233,653,225,523,920
2020년02월_남_30~39세,"5,991",274,384,332,810,453,450,526,337,220,698,257,479,771
2020년02월_남_40~49세,"7,667",317,580,450,901,665,615,561,526,383,690,334,700,945
2020년02월_남_50~59세,"9,394",394,671,523,936,693,661,560,759,476,897,491,969,"1,364"
2020년02월_남_60~69세,"8,606",347,664,486,756,572,532,526,784,484,762,530,993,"1,170"
2020년02월_남_70~79세,"5,265",230,456,328,475,342,263,270,499,327,465,331,628,651
2020년02월_남_80~89세,"1,823",89,186,114,171,120,117,117,187,92,149,112,159,210
2020년02월_남_90~99세,168,8,9,15,18,12,10,10,15,13,14,10,16,18
2020년02월_남_100세 이상,31,0,1,2,2,0,0,2,10,2,4,2,2,4
2020년02월_여_총인구수,"55,476","2,411","4,064","3,538","6,458","4,775","4,193","4,199","3,628","2,417","5,276","2,377","4,997","7,143"
2020년02월_여_연령구간인구수,"55,476","2,411","4,064","3,538","6,458","4,775","4,193","4,199","3,628","2,417","5,276","2,377","4,997","7,143"
2020년02월_여_0~9세,"2,704",113,182,129,444,322,315,232,56,69,252,50,188,352
2020년02월_여_10~19세,"3,693",151,309,230,477,482,370,301,162,101,264,112,261,473
2020년02월_여_20~29세,"6,788",314,367,556,839,539,481,857,377,210,740,179,433,896
2020년02월_여_30~39세,"5,553",245,346,303,835,496,508,530,244,192,632,167,381,674
2020년02월_여_40~49세,"7,095",283,520,444,920,739,671,535,365,267,664,226,603,858
2020년02월_여_50~59세,"9,020",389,686,521,982,804,671,575,613,371,870,408,828,"1,302"
2020년02월_여_60~69세,"9,861",436,752,643,930,683,579,587,766,516,915,588,"1,086","1,380"
2020년02월_여_70~79세,"6,870",285,569,428,653,432,362,357,652,426,641,442,813,810
2020년02월_여_80~89세,"3,240",167,283,236,314,236,197,175,321,226,245,171,340,329
2020년02월_여_90~99세,569,24,47,40,61,40,37,47,55,32,42,29,53,62
2020년02월_여_100세 이상,83,4,3,8,3,2,2,3,17,7,11,5,11,7
