,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년06월_계_총인구수,"230,705","35,845","20,465","61,289","32,131","16,205","64,770"
2021년06월_계_연령구간인구수,"230,705","35,845","20,465","61,289","32,131","16,205","64,770"
2021년06월_계_0~9세,"22,807","3,864",858,"6,862","3,960","1,325","5,938"
2021년06월_계_10~19세,"24,937","4,163","1,165","7,121","3,354","1,950","7,184"
2021년06월_계_20~29세,"31,522","4,450","3,838","7,158","4,083","2,208","9,785"
2021년06월_계_30~39세,"38,192","5,384","4,915","9,718","5,911","2,315","9,949"
2021년06월_계_40~49세,"43,700","6,752","3,843","11,745","6,151","3,097","12,112"
2021년06월_계_50~59세,"33,660","5,450","2,861","8,505","4,281","2,546","10,017"
2021년06월_계_60~69세,"21,198","3,353","1,810","5,982","2,780","1,580","5,693"
2021년06월_계_70~79세,"9,916","1,608",809,"2,832","1,114",776,"2,777"
2021년06월_계_80~89세,"4,224",743,335,"1,197",422,367,"1,160"
2021년06월_계_90~99세,524,78,27,157,74,36,152
2021년06월_계_100세 이상,25,0,4,12,1,5,3
2021년06월_남_총인구수,"119,561","17,987","12,117","30,958","16,458","8,321","33,720"
2021년06월_남_연령구간인구수,"119,561","17,987","12,117","30,958","16,458","8,321","33,720"
2021년06월_남_0~9세,"11,653","2,002",419,"3,500","1,996",687,"3,049"
2021년06월_남_10~19세,"12,735","2,048",586,"3,609","1,706","1,011","3,775"
2021년06월_남_20~29세,"17,051","2,337","2,192","3,777","2,157","1,209","5,379"
2021년06월_남_30~39세,"20,696","2,729","3,179","5,030","3,098","1,264","5,396"
2021년06월_남_40~49세,"23,276","3,451","2,422","6,212","3,227","1,598","6,366"
2021년06월_남_50~59세,"17,613","2,782","1,805","4,302","2,172","1,301","5,251"
2021년06월_남_60~69세,"10,492","1,654",992,"2,849","1,399",780,"2,818"
2021년06월_남_70~79세,"4,379",684,384,"1,239",548,335,"1,189"
2021년06월_남_80~89세,"1,554",288,135,402,148,124,457
2021년06월_남_90~99세,105,12,3,35,7,9,39
2021년06월_남_100세 이상,7,0,0,3,0,3,1
2021년06월_여_총인구수,"111,144","17,858","8,348","30,331","15,673","7,884","31,050"
2021년06월_여_연령구간인구수,"111,144","17,858","8,348","30,331","15,673","7,884","31,050"
2021년06월_여_0~9세,"11,154","1,862",439,"3,362","1,964",638,"2,889"
2021년06월_여_10~19세,"12,202","2,115",579,"3,512","1,648",939,"3,409"
2021년06월_여_20~29세,"14,471","2,113","1,646","3,381","1,926",999,"4,406"
2021년06월_여_30~39세,"17,496","2,655","1,736","4,688","2,813","1,051","4,553"
2021년06월_여_40~49세,"20,424","3,301","1,421","5,533","2,924","1,499","5,746"
2021년06월_여_50~59세,"16,047","2,668","1,056","4,203","2,109","1,245","4,766"
2021년06월_여_60~69세,"10,706","1,699",818,"3,133","1,381",800,"2,875"
2021년06월_여_70~79세,"5,537",924,425,"1,593",566,441,"1,588"
2021년06월_여_80~89세,"2,670",455,200,795,274,243,703
2021년06월_여_90~99세,419,66,24,122,67,27,113
2021년06월_여_100세 이상,18,0,4,9,1,2,2
