,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년05월_계_총인구수,"22,094","13,998","3,360","2,113","1,318","1,305"
2021년05월_계_연령구간인구수,"22,094","13,998","3,360","2,113","1,318","1,305"
2021년05월_계_0~9세,"1,687","1,404",113,98,41,31
2021년05월_계_10~19세,"2,041","1,631",179,86,59,86
2021년05월_계_20~29세,"3,019","1,735",423,460,291,110
2021년05월_계_30~39세,"2,520","1,922",250,168,93,87
2021년05월_계_40~49세,"2,492","1,837",283,150,86,136
2021년05월_계_50~59세,"3,462","2,005",625,346,203,283
2021년05월_계_60~69세,"3,521","1,867",730,367,276,281
2021년05월_계_70~79세,"1,991",936,456,269,148,182
2021년05월_계_80~89세,"1,183",577,260,140,108,98
2021년05월_계_90~99세,164,74,37,29,13,11
2021년05월_계_100세 이상,14,10,4,0,0,0
2021년05월_남_총인구수,"11,679","7,142","1,861","1,196",776,704
2021년05월_남_연령구간인구수,"11,679","7,142","1,861","1,196",776,704
2021년05월_남_0~9세,849,693,62,56,19,19
2021년05월_남_10~19세,"1,021",799,96,42,33,51
2021년05월_남_20~29세,"2,016","1,041",333,330,245,67
2021년05월_남_30~39세,"1,400","1,017",160,113,62,48
2021년05월_남_40~49세,"1,339",957,166,85,48,83
2021년05월_남_50~59세,"1,851","1,045",352,186,113,155
2021년05월_남_60~69세,"1,880",974,393,205,151,157
2021년05월_남_70~79세,863,398,196,118,63,88
2021년05월_남_80~89세,417,194,94,54,40,35
2021년05월_남_90~99세,38,20,8,7,2,1
2021년05월_남_100세 이상,5,4,1,0,0,0
2021년05월_여_총인구수,"10,415","6,856","1,499",917,542,601
2021년05월_여_연령구간인구수,"10,415","6,856","1,499",917,542,601
2021년05월_여_0~9세,838,711,51,42,22,12
2021년05월_여_10~19세,"1,020",832,83,44,26,35
2021년05월_여_20~29세,"1,003",694,90,130,46,43
2021년05월_여_30~39세,"1,120",905,90,55,31,39
2021년05월_여_40~49세,"1,153",880,117,65,38,53
2021년05월_여_50~59세,"1,611",960,273,160,90,128
2021년05월_여_60~69세,"1,641",893,337,162,125,124
2021년05월_여_70~79세,"1,128",538,260,151,85,94
2021년05월_여_80~89세,766,383,166,86,68,63
2021년05월_여_90~99세,126,54,29,22,11,10
2021년05월_여_100세 이상,9,6,3,0,0,0
