카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년08월_계_총인구수,"36,406","34,550","1,856"
2021년08월_계_연령구간인구수,"36,406","34,550","1,856"
2021년08월_계_0~9세,"2,995","2,948",47
2021년08월_계_10~19세,"3,363","3,287",76
2021년08월_계_20~29세,"4,416","4,293",123
2021년08월_계_30~39세,"4,454","4,355",99
2021년08월_계_40~49세,"5,496","5,313",183
2021년08월_계_50~59세,"6,009","5,682",327
2021년08월_계_60~69세,"5,272","4,797",475
2021년08월_계_70~79세,"2,681","2,401",280
2021년08월_계_80~89세,"1,537","1,318",219
2021년08월_계_90~99세,179,152,27
2021년08월_계_100세 이상,4,4,0
2021년08월_남_총인구수,"18,984","18,008",976
2021년08월_남_연령구간인구수,"18,984","18,008",976
2021년08월_남_0~9세,"1,563","1,535",28
2021년08월_남_10~19세,"1,760","1,722",38
2021년08월_남_20~29세,"2,611","2,533",78
2021년08월_남_30~39세,"2,468","2,411",57
2021년08월_남_40~49세,"2,970","2,856",114
2021년08월_남_50~59세,"3,185","3,004",181
2021년08월_남_60~69세,"2,648","2,386",262
2021년08월_남_70~79세,"1,210","1,073",137
2021년08월_남_80~89세,525,451,74
2021년08월_남_90~99세,42,35,7
2021년08월_남_100세 이상,2,2,0
2021년08월_여_총인구수,"17,422","16,542",880
2021년08월_여_연령구간인구수,"17,422","16,542",880
2021년08월_여_0~9세,"1,432","1,413",19
2021년08월_여_10~19세,"1,603","1,565",38
2021년08월_여_20~29세,"1,805","1,760",45
2021년08월_여_30~39세,"1,986","1,944",42
2021년08월_여_40~49세,"2,526","2,457",69
2021년08월_여_50~59세,"2,824","2,678",146
2021년08월_여_60~69세,"2,624","2,411",213
2021년08월_여_70~79세,"1,471","1,328",143
2021년08월_여_80~89세,"1,012",867,145
2021년08월_여_90~99세,137,117,20
2021년08월_여_100세 이상,2,2,0
