,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2021년03월_계_총인구수,"1,080,845","479,323","14,935","23,580","46,291","21,844","11,417","13,343","23,850","21,719","30,162","36,647","15,584","37,897","33,223","19,078","21,974","32,177","45,803","27,342","2,457","300,350","36,822","47,080","23,588","38,987","30,774","20,910","24,226","16,549","11,262","26,966","23,186","301,172","27,446","18,603","35,790","51,879","28,086","29,235","36,482","21,867","51,784"
2021년03월_계_연령구간인구수,"1,080,845","479,323","14,935","23,580","46,291","21,844","11,417","13,343","23,850","21,719","30,162","36,647","15,584","37,897","33,223","19,078","21,974","32,177","45,803","27,342","2,457","300,350","36,822","47,080","23,588","38,987","30,774","20,910","24,226","16,549","11,262","26,966","23,186","301,172","27,446","18,603","35,790","51,879","28,086","29,235","36,482","21,867","51,784"
2021년03월_계_0~9세,"81,455","38,523",555,"3,045","5,408","1,277",617,"2,037","2,403","2,626","2,148","2,103",894,"1,943","2,578",711,"1,326","2,220","2,648","3,899",85,"20,712","3,644","3,363","1,230","3,125","2,002",886,"1,407","1,216","1,376","1,078","1,385","22,220","1,948",901,"2,601","4,518","1,822","1,979","2,281","1,663","4,507"
2021년03월_계_10~19세,"103,975","41,307","1,153","2,001","4,055","1,820","1,032",979,"1,548","1,583","3,100","2,819","1,195","3,616","3,699","1,211","2,043","2,771","4,805","1,750",127,"29,329","4,858","4,426","2,075","4,461","2,698","1,317","3,246","2,195",969,"1,562","1,522","33,339","2,639","1,470","5,741","5,517","3,194","3,207","3,012","2,263","6,296"
2021년03월_계_20~29세,"150,167","62,755","2,102","2,230","5,157","2,998","1,475","1,552","2,798","2,404","3,579","4,335","2,117","6,187","4,635","2,845","3,079","4,913","6,943","2,999",407,"44,905","4,985","6,847","3,997","5,374","4,935","3,464","3,752","2,262","1,241","5,077","2,971","42,507","3,960","2,733","4,741","7,384","3,784","3,792","6,345","3,094","6,674"
2021년03월_계_30~39세,"143,290","68,428","1,531","3,947","7,815","2,531","1,260","2,901","4,587","4,862","3,231","4,090","1,827","4,280","4,281","2,286","2,692","4,874","5,075","6,094",264,"38,654","4,155","5,485","2,912","4,699","4,543","3,351","2,291","1,577","1,830","4,828","2,983","36,208","3,180","1,930","3,515","7,049","3,293","3,292","5,328","2,906","5,715"
2021년03월_계_40~49세,"181,155","78,762","2,106","4,283","8,594","3,431","1,708","2,338","3,999","3,819","5,209","5,710","2,204","5,757","6,113","2,695","3,483","4,919","7,333","4,769",292,"50,948","7,264","7,327","3,566","6,712","5,008","3,696","4,141","2,932","2,046","4,772","3,484","51,445","4,251","2,528","7,062","9,133","4,619","4,792","5,616","3,738","9,706"
2021년03월_계_50~59세,"195,166","83,160","3,163","3,299","6,643","4,240","2,110","1,668","3,421","2,718","5,097","6,948","3,150","7,553","5,820","4,010","4,265","5,927","9,292","3,378",458,"55,949","6,532","9,152","4,480","7,009","5,711","3,876","4,725","3,110","1,940","4,847","4,567","56,057","5,220","4,167","6,549","9,529","5,030","5,213","6,841","4,028","9,480"
2021년03월_계_60~69세,"124,986","58,562","2,398","2,819","4,871","3,024","1,643","1,112","2,799","2,171","4,116","5,901","2,370","4,293","3,186","3,035","2,857","3,535","5,336","2,653",443,"33,828","3,176","5,841","3,031","4,321","3,469","2,376","2,656","1,615","1,195","2,579","3,569","32,596","3,371","2,819","3,216","4,778","3,179","3,313","4,083","2,376","5,461"
2021년03월_계_70~79세,"61,861","30,350","1,225","1,332","2,548","1,585",942,491,"1,568","1,050","2,449","3,109","1,155","2,530","1,709","1,421","1,365","1,827","2,615","1,176",253,"15,621","1,402","2,737","1,437","2,037","1,493","1,156","1,157",838,458,"1,263","1,643","15,890","1,810","1,248","1,365","2,334","1,708","1,965","1,843","1,116","2,501"
2021년03월_계_80~89세,"33,687","15,304",616,548,"1,062",812,564,227,656,411,"1,087","1,422",580,"1,545","1,066",747,760,"1,051","1,520",520,110,"8,926",692,"1,614",748,"1,076",810,683,721,697,170,843,872,"9,457",935,700,841,"1,417","1,277","1,458",980,601,"1,248"
2021년03월_계_90~99세,"4,917","2,078",82,76,134,116,62,30,68,72,140,201,91,181,133,114,99,133,234,98,14,"1,433",109,281,109,171,100,100,125,105,36,111,186,"1,406",126,103,154,218,172,218,145,79,191
2021년03월_계_100세 이상,186,94,4,0,4,10,4,8,3,3,6,9,1,12,3,3,5,7,2,6,4,45,5,7,3,2,5,5,5,2,1,6,4,47,6,4,5,2,8,6,8,3,5
