,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년05월_계_총인구수,"49,458","18,094","3,743","4,366",783,"3,208","3,439","4,221","2,340","2,075",219,"2,492",995,"2,663",820
2021년05월_계_연령구간인구수,"49,458","18,094","3,743","4,366",783,"3,208","3,439","4,221","2,340","2,075",219,"2,492",995,"2,663",820
2021년05월_계_0~9세,"3,053","1,415",209,313,50,90,135,178,115,68,5,143,44,245,43
2021년05월_계_10~19세,"3,558","1,703",194,384,49,129,200,271,96,92,10,135,51,219,25
2021년05월_계_20~29세,"3,761","1,848",228,283,43,184,210,263,130,138,10,135,63,159,67
2021년05월_계_30~39세,"3,839","1,721",288,372,72,166,214,231,119,129,6,168,62,238,53
2021년05월_계_40~49세,"6,093","2,650",417,578,114,319,374,415,203,176,27,285,103,342,90
2021년05월_계_50~59세,"8,002","3,076",587,646,126,534,579,626,393,353,31,343,163,412,133
2021년05월_계_60~69세,"8,679","2,864",752,639,159,717,652,709,492,424,36,455,171,449,160
2021년05월_계_70~79세,"7,360","1,823",619,650,132,628,597,881,471,366,45,474,178,350,146
2021년05월_계_80~89세,"4,494",865,403,447,35,390,426,571,280,280,41,308,143,217,88
2021년05월_계_90~99세,603,124,46,53,2,51,51,74,40,48,7,45,16,32,14
2021년05월_계_100세 이상,16,5,0,1,1,0,1,2,1,1,1,1,1,0,1
2021년05월_남_총인구수,"24,899","9,123","1,903","2,183",432,"1,609","1,752","2,076","1,190","1,012",114,"1,223",496,"1,352",434
2021년05월_남_연령구간인구수,"24,899","9,123","1,903","2,183",432,"1,609","1,752","2,076","1,190","1,012",114,"1,223",496,"1,352",434
2021년05월_남_0~9세,"1,555",747,102,149,22,54,59,84,72,30,3,67,20,126,20
2021년05월_남_10~19세,"1,850",882,97,209,28,64,98,138,44,51,5,69,32,116,17
2021년05월_남_20~29세,"2,207","1,072",136,162,27,97,140,159,81,78,10,81,34,89,41
2021년05월_남_30~39세,"2,098",876,167,216,49,105,117,130,65,83,3,94,35,126,32
2021년05월_남_40~49세,"3,552","1,367",277,339,83,203,237,250,138,103,19,190,66,211,69
2021년05월_남_50~59세,"4,496","1,639",343,361,70,313,339,375,230,210,21,196,96,226,77
2021년05월_남_60~69세,"4,329","1,398",383,329,75,353,339,344,245,218,21,219,92,234,79
2021년05월_남_70~79세,"3,263",835,269,273,67,298,261,380,214,146,22,187,78,162,71
2021년05월_남_80~89세,"1,430",283,121,139,11,116,149,200,92,81,10,107,39,56,26
2021년05월_남_90~99세,117,24,8,6,0,6,13,16,9,11,0,12,4,6,2
2021년05월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년05월_여_총인구수,"24,559","8,971","1,840","2,183",351,"1,599","1,687","2,145","1,150","1,063",105,"1,269",499,"1,311",386
2021년05월_여_연령구간인구수,"24,559","8,971","1,840","2,183",351,"1,599","1,687","2,145","1,150","1,063",105,"1,269",499,"1,311",386
2021년05월_여_0~9세,"1,498",668,107,164,28,36,76,94,43,38,2,76,24,119,23
2021년05월_여_10~19세,"1,708",821,97,175,21,65,102,133,52,41,5,66,19,103,8
2021년05월_여_20~29세,"1,554",776,92,121,16,87,70,104,49,60,0,54,29,70,26
2021년05월_여_30~39세,"1,741",845,121,156,23,61,97,101,54,46,3,74,27,112,21
2021년05월_여_40~49세,"2,541","1,283",140,239,31,116,137,165,65,73,8,95,37,131,21
2021년05월_여_50~59세,"3,506","1,437",244,285,56,221,240,251,163,143,10,147,67,186,56
2021년05월_여_60~69세,"4,350","1,466",369,310,84,364,313,365,247,206,15,236,79,215,81
2021년05월_여_70~79세,"4,097",988,350,377,65,330,336,501,257,220,23,287,100,188,75
2021년05월_여_80~89세,"3,064",582,282,308,24,274,277,371,188,199,31,201,104,161,62
2021년05월_여_90~99세,486,100,38,47,2,45,38,58,31,37,7,33,12,26,12
2021년05월_여_100세 이상,14,5,0,1,1,0,1,2,1,0,1,0,1,0,1
