카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년03월_계_총인구수,"65,089","18,812","19,930","2,430","6,294","2,899","3,535","5,537","1,978","2,769",905
2020년03월_계_연령구간인구수,"65,089","18,812","19,930","2,430","6,294","2,899","3,535","5,537","1,978","2,769",905
2020년03월_계_0~9세,"4,467","1,393","2,102",66,328,65,73,336,25,64,15
2020년03월_계_10~19세,"6,087","2,020","2,669",128,319,91,141,491,71,129,28
2020년03월_계_20~29세,"5,716","2,077","1,662",164,497,188,261,446,130,236,55
2020년03월_계_30~39세,"6,107","2,008","2,255",151,578,152,156,472,99,184,52
2020년03월_계_40~49세,"9,652","2,942","3,927",227,604,292,315,847,167,263,68
2020년03월_계_50~59세,"11,450","3,395","3,140",432,"1,097",573,635,"1,050",371,574,183
2020년03월_계_60~69세,"10,522","2,593","2,356",545,"1,226",688,787,893,491,685,258
2020년03월_계_70~79세,"6,635","1,449","1,188",403,912,493,681,635,375,357,142
2020년03월_계_80~89세,"3,929",818,541,284,647,318,426,324,229,250,92
2020년03월_계_90~99세,514,113,86,30,84,39,60,43,20,27,12
2020년03월_계_100세 이상,10,4,4,0,2,0,0,0,0,0,0
2020년03월_남_총인구수,"32,964","9,484","10,096","1,200","3,236","1,474","1,741","2,846","1,021","1,404",462
2020년03월_남_연령구간인구수,"32,964","9,484","10,096","1,200","3,236","1,474","1,741","2,846","1,021","1,404",462
2020년03월_남_0~9세,"2,236",723,"1,021",31,158,33,41,180,10,29,10
2020년03월_남_10~19세,"3,248","1,106","1,407",70,178,52,71,230,42,74,18
2020년03월_남_20~29세,"3,284","1,189",922,88,304,115,147,259,81,147,32
2020년03월_남_30~39세,"3,134","1,025","1,064",86,333,97,91,245,60,102,31
2020년03월_남_40~49세,"5,239","1,516","2,025",128,393,190,201,472,113,156,45
2020년03월_남_50~59세,"6,255","1,766","1,709",235,632,336,367,601,223,290,96
2020년03월_남_60~69세,"5,429","1,290","1,204",295,647,355,394,475,257,373,139
2020년03월_남_70~79세,"2,868",605,562,174,378,197,282,282,157,167,64
2020년03월_남_80~89세,"1,158",234,160,88,189,90,135,97,76,63,26
2020년03월_남_90~99세,110,30,21,5,22,9,12,5,2,3,1
2020년03월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년03월_여_총인구수,"32,125","9,328","9,834","1,230","3,058","1,425","1,794","2,691",957,"1,365",443
2020년03월_여_연령구간인구수,"32,125","9,328","9,834","1,230","3,058","1,425","1,794","2,691",957,"1,365",443
2020년03월_여_0~9세,"2,231",670,"1,081",35,170,32,32,156,15,35,5
2020년03월_여_10~19세,"2,839",914,"1,262",58,141,39,70,261,29,55,10
2020년03월_여_20~29세,"2,432",888,740,76,193,73,114,187,49,89,23
2020년03월_여_30~39세,"2,973",983,"1,191",65,245,55,65,227,39,82,21
2020년03월_여_40~49세,"4,413","1,426","1,902",99,211,102,114,375,54,107,23
2020년03월_여_50~59세,"5,195","1,629","1,431",197,465,237,268,449,148,284,87
2020년03월_여_60~69세,"5,093","1,303","1,152",250,579,333,393,418,234,312,119
2020년03월_여_70~79세,"3,767",844,626,229,534,296,399,353,218,190,78
2020년03월_여_80~89세,"2,771",584,381,196,458,228,291,227,153,187,66
2020년03월_여_90~99세,404,83,65,25,62,30,48,38,18,24,11
2020년03월_여_100세 이상,7,4,3,0,0,0,0,0,0,0,0
