,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2020년08월_계_총인구수,"65,723","20,475","12,001","3,804","2,372","1,554","2,403","2,902","1,444","1,884","1,149","1,726","2,934","2,758","3,198","2,956","2,163"
2020년08월_계_연령구간인구수,"65,723","20,475","12,001","3,804","2,372","1,554","2,403","2,902","1,444","1,884","1,149","1,726","2,934","2,758","3,198","2,956","2,163"
2020년08월_계_0~9세,"3,025","1,093",971,108,52,52,64,89,27,48,20,29,107,79,108,115,63
2020년08월_계_10~19세,"4,760","1,961","1,173",209,124,56,141,169,58,81,33,49,144,122,132,225,83
2020년08월_계_20~29세,"5,446","2,212","1,312",232,114,59,146,196,71,106,52,75,163,156,186,233,133
2020년08월_계_30~39세,"4,494","1,621","1,234",196,100,85,120,139,51,80,53,75,139,141,183,151,126
2020년08월_계_40~49세,"7,353","2,756","1,731",353,207,109,225,256,108,143,62,113,267,231,279,332,181
2020년08월_계_50~59세,"11,021","3,712","1,933",652,392,264,396,456,213,263,184,241,411,427,566,559,352
2020년08월_계_60~69세,"12,812","3,499","1,692",922,569,366,463,635,362,419,295,431,648,599,737,621,554
2020년08월_계_70~79세,"9,496","2,245","1,111",605,482,313,465,565,293,400,233,363,591,516,571,390,353
2020년08월_계_80~89세,"6,281","1,164",734,456,281,219,331,338,217,298,196,290,387,421,387,290,272
2020년08월_계_90~99세,980,196,104,60,47,31,49,53,43,44,21,59,76,65,48,39,45
2020년08월_계_100세 이상,55,16,6,11,4,0,3,6,1,2,0,1,1,1,1,1,1
2020년08월_남_총인구수,"32,560","10,172","5,917","1,916","1,165",779,"1,168","1,405",681,912,574,821,"1,442","1,366","1,618","1,536","1,088"
2020년08월_남_연령구간인구수,"32,560","10,172","5,917","1,916","1,165",779,"1,168","1,405",681,912,574,821,"1,442","1,366","1,618","1,536","1,088"
2020년08월_남_0~9세,"1,621",596,513,57,26,30,37,48,15,27,11,15,49,45,51,63,38
2020년08월_남_10~19세,"2,509","1,029",599,100,83,33,69,92,27,43,22,28,79,71,75,118,41
2020년08월_남_20~29세,"3,164","1,317",693,154,74,38,84,111,46,65,33,43,97,83,106,137,83
2020년08월_남_30~39세,"2,440",836,609,120,58,55,72,81,34,53,32,46,82,81,109,95,77
2020년08월_남_40~49세,"4,012","1,401",905,204,125,63,138,138,59,87,40,60,158,157,175,189,113
2020년08월_남_50~59세,"5,751","1,875","1,014",354,202,131,196,246,106,140,102,128,230,216,300,323,188
2020년08월_남_60~69세,"6,374","1,665",837,463,267,200,238,297,182,211,139,215,333,327,374,327,299
2020년08월_남_70~79세,"4,238","1,015",474,286,216,146,208,248,125,166,117,166,257,221,267,180,146
2020년08월_남_80~89세,"2,204",395,246,158,106,73,115,128,75,106,76,108,142,146,145,93,92
2020년08월_남_90~99세,240,41,26,18,8,10,11,15,12,13,2,12,15,19,16,11,11
2020년08월_남_100세 이상,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020년08월_여_총인구수,"33,163","10,303","6,084","1,888","1,207",775,"1,235","1,497",763,972,575,905,"1,492","1,392","1,580","1,420","1,075"
2020년08월_여_연령구간인구수,"33,163","10,303","6,084","1,888","1,207",775,"1,235","1,497",763,972,575,905,"1,492","1,392","1,580","1,420","1,075"
2020년08월_여_0~9세,"1,404",497,458,51,26,22,27,41,12,21,9,14,58,34,57,52,25
2020년08월_여_10~19세,"2,251",932,574,109,41,23,72,77,31,38,11,21,65,51,57,107,42
2020년08월_여_20~29세,"2,282",895,619,78,40,21,62,85,25,41,19,32,66,73,80,96,50
2020년08월_여_30~39세,"2,054",785,625,76,42,30,48,58,17,27,21,29,57,60,74,56,49
2020년08월_여_40~49세,"3,341","1,355",826,149,82,46,87,118,49,56,22,53,109,74,104,143,68
2020년08월_여_50~59세,"5,270","1,837",919,298,190,133,200,210,107,123,82,113,181,211,266,236,164
2020년08월_여_60~69세,"6,438","1,834",855,459,302,166,225,338,180,208,156,216,315,272,363,294,255
2020년08월_여_70~79세,"5,258","1,230",637,319,266,167,257,317,168,234,116,197,334,295,304,210,207
2020년08월_여_80~89세,"4,077",769,488,298,175,146,216,210,142,192,120,182,245,275,242,197,180
2020년08월_여_90~99세,740,155,78,42,39,21,38,38,31,31,19,47,61,46,32,28,34
2020년08월_여_100세 이상,48,14,5,9,4,0,3,5,1,1,0,1,1,1,1,1,1
