,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년01월_계_총인구수,"208,900","29,668","12,563","10,188","10,769","16,438","20,943","7,413","16,752","16,526","17,084","14,420","36,136"
2021년01월_계_연령구간인구수,"208,900","29,668","12,563","10,188","10,769","16,438","20,943","7,413","16,752","16,526","17,084","14,420","36,136"
2021년01월_계_0~9세,"14,599","2,590","1,085",473,738,"1,224","1,974",221,708,770,"1,059","1,258","2,499"
2021년01월_계_10~19세,"16,422","3,564","1,558",693,980,"1,246","1,299",380,903,682,"1,014","1,123","2,980"
2021년01월_계_20~29세,"26,013","3,230","1,329","1,169","1,241","1,852","2,531",803,"2,386","3,412","1,882","1,608","4,570"
2021년01월_계_30~39세,"27,051","3,115","1,283","1,091","1,159","2,139","3,665",728,"2,021","3,139","2,354","1,855","4,502"
2021년01월_계_40~49세,"31,827","5,552","2,345","1,332","1,638","2,494","3,042",954,"2,277","2,327","2,268","2,250","5,348"
2021년01월_계_50~59세,"34,143","4,774","1,972","1,662","1,883","2,656","3,117","1,315","2,813","2,357","2,682","2,450","6,462"
2021년01월_계_60~69세,"32,688","3,627","1,666","1,810","1,784","2,788","2,888","1,588","3,181","2,153","3,068","2,278","5,857"
2021년01월_계_70~79세,"18,206","2,221",916,"1,269",915,"1,470","1,684","1,017","1,734","1,206","1,899","1,170","2,705"
2021년01월_계_80~89세,"7,014",887,364,599,371,514,649,362,647,436,764,376,"1,045"
2021년01월_계_90~99세,846,104,35,83,58,47,86,39,78,35,82,44,155
2021년01월_계_100세 이상,91,4,10,7,2,8,8,6,4,9,12,8,13
2021년01월_남_총인구수,"100,563","14,342","6,007","4,818","5,286","8,021","10,068","3,529","8,014","7,874","8,248","7,044","17,312"
2021년01월_남_연령구간인구수,"100,563","14,342","6,007","4,818","5,286","8,021","10,068","3,529","8,014","7,874","8,248","7,044","17,312"
2021년01월_남_0~9세,"7,409","1,350",508,255,375,630,"1,006",116,330,384,546,657,"1,252"
2021년01월_남_10~19세,"8,435","1,867",753,370,537,664,635,192,454,358,536,564,"1,505"
2021년01월_남_20~29세,"13,159","1,690",695,569,687,980,"1,268",418,"1,130","1,431",996,868,"2,427"
2021년01월_남_30~39세,"13,588","1,459",612,562,613,"1,104","1,808",398,"1,049","1,576","1,225",901,"2,281"
2021년01월_남_40~49세,"15,548","2,576","1,112",669,774,"1,212","1,516",471,"1,151","1,213","1,191","1,131","2,532"
2021년01월_남_50~59세,"16,176","2,359",966,777,887,"1,225","1,463",615,"1,374","1,137","1,292","1,175","2,906"
2021년01월_남_60~69세,"15,002","1,659",789,807,846,"1,296","1,302",731,"1,433","1,016","1,330","1,062","2,731"
2021년01월_남_70~79세,"8,302",970,422,550,423,685,796,446,811,566,822,542,"1,269"
2021년01월_남_80~89세,"2,728",385,140,229,135,208,253,133,260,184,286,136,379
2021년01월_남_90~99세,196,26,8,28,8,15,18,8,21,7,22,6,29
2021년01월_남_100세 이상,20,1,2,2,1,2,3,1,1,2,2,2,1
2021년01월_여_총인구수,"108,337","15,326","6,556","5,370","5,483","8,417","10,875","3,884","8,738","8,652","8,836","7,376","18,824"
2021년01월_여_연령구간인구수,"108,337","15,326","6,556","5,370","5,483","8,417","10,875","3,884","8,738","8,652","8,836","7,376","18,824"
2021년01월_여_0~9세,"7,190","1,240",577,218,363,594,968,105,378,386,513,601,"1,247"
2021년01월_여_10~19세,"7,987","1,697",805,323,443,582,664,188,449,324,478,559,"1,475"
2021년01월_여_20~29세,"12,854","1,540",634,600,554,872,"1,263",385,"1,256","1,981",886,740,"2,143"
2021년01월_여_30~39세,"13,463","1,656",671,529,546,"1,035","1,857",330,972,"1,563","1,129",954,"2,221"
2021년01월_여_40~49세,"16,279","2,976","1,233",663,864,"1,282","1,526",483,"1,126","1,114","1,077","1,119","2,816"
2021년01월_여_50~59세,"17,967","2,415","1,006",885,996,"1,431","1,654",700,"1,439","1,220","1,390","1,275","3,556"
2021년01월_여_60~69세,"17,686","1,968",877,"1,003",938,"1,492","1,586",857,"1,748","1,137","1,738","1,216","3,126"
2021년01월_여_70~79세,"9,904","1,251",494,719,492,785,888,571,923,640,"1,077",628,"1,436"
2021년01월_여_80~89세,"4,286",502,224,370,236,306,396,229,387,252,478,240,666
2021년01월_여_90~99세,650,78,27,55,50,32,68,31,57,28,60,38,126
2021년01월_여_100세 이상,71,3,8,5,1,6,5,5,3,7,10,6,12
