카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년02월_계_총인구수,"41,329","9,303","12,250","1,135","1,433","1,185","1,216","1,718",905,"3,830","2,853","1,309","3,090","1,102"
2020년02월_계_연령구간인구수,"41,329","9,303","12,250","1,135","1,433","1,185","1,216","1,718",905,"3,830","2,853","1,309","3,090","1,102"
2020년02월_계_0~9세,"1,905",702,583,37,42,31,42,66,21,134,68,59,98,22
2020년02월_계_10~19세,"2,752",873,891,53,62,50,69,84,51,184,137,84,173,41
2020년02월_계_20~29세,"3,130",999,876,61,94,65,68,112,45,275,145,97,208,85
2020년02월_계_30~39세,"2,743",872,820,65,75,60,60,80,37,215,173,99,134,53
2020년02월_계_40~49세,"4,412","1,274","1,363",90,124,102,118,140,94,361,255,129,281,81
2020년02월_계_50~59세,"6,876","1,533","2,008",173,247,179,195,269,164,579,496,231,611,191
2020년02월_계_60~69세,"7,454","1,329","2,257",221,277,220,201,330,172,773,578,256,636,204
2020년02월_계_70~79세,"6,731","1,023","2,017",204,266,225,236,333,188,740,526,211,539,223
2020년02월_계_80~89세,"4,621",613,"1,244",197,216,222,205,266,115,494,402,130,353,164
2020년02월_계_90~99세,663,81,175,34,28,30,21,36,17,73,67,13,52,36
2020년02월_계_100세 이상,42,4,16,0,2,1,1,2,1,2,6,0,5,2
2020년02월_남_총인구수,"20,035","4,546","5,940",536,708,559,583,816,466,"1,840","1,368",624,"1,515",534
2020년02월_남_연령구간인구수,"20,035","4,546","5,940",536,708,559,583,816,466,"1,840","1,368",624,"1,515",534
2020년02월_남_0~9세,985,361,307,20,22,12,23,29,11,76,32,32,49,11
2020년02월_남_10~19세,"1,386",411,461,31,38,26,39,46,27,98,70,36,81,22
2020년02월_남_20~29세,"1,764",559,488,33,50,36,38,62,28,162,83,59,126,40
2020년02월_남_30~39세,"1,477",446,448,34,49,26,34,42,20,113,91,58,77,39
2020년02월_남_40~49세,"2,496",639,770,59,73,61,79,82,61,227,157,72,164,52
2020년02월_남_50~59세,"3,816",812,"1,107",99,146,111,114,147,110,335,300,108,324,103
2020년02월_남_60~69세,"3,711",653,"1,087",121,155,110,102,186,86,368,278,132,326,107
2020년02월_남_70~79세,"2,809",437,844,83,104,101,89,137,82,298,217,86,235,96
2020년02월_남_80~89세,"1,444",210,391,49,68,64,61,73,38,150,124,41,119,56
2020년02월_남_90~99세,141,18,32,7,3,12,4,12,3,13,15,0,14,8
2020년02월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020년02월_여_총인구수,"21,294","4,757","6,310",599,725,626,633,902,439,"1,990","1,485",685,"1,575",568
2020년02월_여_연령구간인구수,"21,294","4,757","6,310",599,725,626,633,902,439,"1,990","1,485",685,"1,575",568
2020년02월_여_0~9세,920,341,276,17,20,19,19,37,10,58,36,27,49,11
2020년02월_여_10~19세,"1,366",462,430,22,24,24,30,38,24,86,67,48,92,19
2020년02월_여_20~29세,"1,366",440,388,28,44,29,30,50,17,113,62,38,82,45
2020년02월_여_30~39세,"1,266",426,372,31,26,34,26,38,17,102,82,41,57,14
2020년02월_여_40~49세,"1,916",635,593,31,51,41,39,58,33,134,98,57,117,29
2020년02월_여_50~59세,"3,060",721,901,74,101,68,81,122,54,244,196,123,287,88
2020년02월_여_60~69세,"3,743",676,"1,170",100,122,110,99,144,86,405,300,124,310,97
2020년02월_여_70~79세,"3,922",586,"1,173",121,162,124,147,196,106,442,309,125,304,127
2020년02월_여_80~89세,"3,177",403,853,148,148,158,144,193,77,344,278,89,234,108
2020년02월_여_90~99세,522,63,143,27,25,18,17,24,14,60,52,13,38,28
2020년02월_여_100세 이상,36,4,11,0,2,1,1,2,1,2,5,0,5,2
