카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년05월_계_총인구수,"24,089","9,505","2,275","4,024","2,589","4,297","1,399"
2020년05월_계_연령구간인구수,"24,089","9,505","2,275","4,024","2,589","4,297","1,399"
2020년05월_계_0~9세,"1,266",776,64,195,66,133,32
2020년05월_계_10~19세,"1,810",968,109,289,122,267,55
2020년05월_계_20~29세,"1,828",881,157,320,151,252,67
2020년05월_계_30~39세,"1,761",923,134,260,129,253,62
2020년05월_계_40~49세,"2,923","1,474",205,511,237,390,106
2020년05월_계_50~59세,"4,236","1,471",456,795,454,807,253
2020년05월_계_60~69세,"4,244","1,257",494,731,529,893,340
2020년05월_계_70~79세,"3,398","1,008",378,536,490,712,274
2020년05월_계_80~89세,"2,276",626,247,341,366,517,179
2020년05월_계_90~99세,331,112,31,46,42,69,31
2020년05월_계_100세 이상,16,9,0,0,3,4,0
2020년05월_남_총인구수,"11,976","4,729","1,122","2,031","1,267","2,142",685
2020년05월_남_연령구간인구수,"11,976","4,729","1,122","2,031","1,267","2,142",685
2020년05월_남_0~9세,678,409,37,117,32,67,16
2020년05월_남_10~19세,911,481,63,152,57,131,27
2020년05월_남_20~29세,"1,024",489,77,174,90,152,42
2020년05월_남_30~39세,961,471,82,148,72,152,36
2020년05월_남_40~49세,"1,637",781,119,292,141,239,65
2020년05월_남_50~59세,"2,329",825,234,440,257,435,138
2020년05월_남_60~69세,"2,153",597,255,372,274,475,180
2020년05월_남_70~79세,"1,407",434,168,209,197,288,111
2020년05월_남_80~89세,798,220,79,120,133,184,62
2020년05월_남_90~99세,74,21,8,7,13,17,8
2020년05월_남_100세 이상,4,1,0,0,1,2,0
2020년05월_여_총인구수,"12,113","4,776","1,153","1,993","1,322","2,155",714
2020년05월_여_연령구간인구수,"12,113","4,776","1,153","1,993","1,322","2,155",714
2020년05월_여_0~9세,588,367,27,78,34,66,16
2020년05월_여_10~19세,899,487,46,137,65,136,28
2020년05월_여_20~29세,804,392,80,146,61,100,25
2020년05월_여_30~39세,800,452,52,112,57,101,26
2020년05월_여_40~49세,"1,286",693,86,219,96,151,41
2020년05월_여_50~59세,"1,907",646,222,355,197,372,115
2020년05월_여_60~69세,"2,091",660,239,359,255,418,160
2020년05월_여_70~79세,"1,991",574,210,327,293,424,163
2020년05월_여_80~89세,"1,478",406,168,221,233,333,117
2020년05월_여_90~99세,257,91,23,39,29,52,23
2020년05월_여_100세 이상,12,8,0,0,2,2,0
