,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년05월_계_총인구수,"63,434","12,474","9,716",616,224,"3,113","2,957","4,340","3,859","4,900","1,885","2,628","3,313","2,287","3,102","2,264","3,016","1,267","1,473"
2021년05월_계_연령구간인구수,"63,434","12,474","9,716",616,224,"3,113","2,957","4,340","3,859","4,900","1,885","2,628","3,313","2,287","3,102","2,264","3,016","1,267","1,473"
2021년05월_계_0~9세,"2,572","1,004",516,24,1,67,81,118,92,129,52,40,92,62,109,67,56,28,34
2021년05월_계_10~19세,"3,734","1,400",744,22,13,93,120,189,165,217,91,90,112,104,112,69,100,40,53
2021년05월_계_20~29세,"4,061","1,241",743,18,9,130,145,232,202,230,79,112,217,119,208,103,131,59,83
2021년05월_계_30~39세,"3,551","1,146",673,27,15,132,141,172,146,204,67,84,151,116,156,102,95,51,73
2021년05월_계_40~49세,"6,142","1,845","1,162",32,33,224,224,337,294,425,147,200,242,151,264,142,208,82,130
2021년05월_계_50~59세,"10,033","1,986","1,670",32,43,464,466,671,636,797,281,401,557,335,462,377,431,195,229
2021년05월_계_60~69세,"12,902","1,828","1,901",97,30,702,625,940,861,"1,067",434,607,737,574,703,521,625,280,370
2021년05월_계_70~79세,"11,366","1,230","1,473",177,43,716,585,949,801,"1,009",399,567,619,464,575,447,715,309,288
2021년05월_계_80~89세,"7,747",655,728,157,34,494,480,655,563,713,288,426,496,307,434,389,551,185,192
2021년05월_계_90~99세,"1,279",130,102,30,3,90,89,75,93,103,45,100,84,55,75,46,101,37,21
2021년05월_계_100세 이상,47,9,4,0,0,1,1,2,6,6,2,1,6,0,4,1,3,1,0
2021년05월_남_총인구수,"30,819","6,126","4,750",311,118,"1,544","1,420","2,108","1,864","2,365",915,"1,244","1,583","1,078","1,514","1,106","1,427",604,742
2021년05월_남_연령구간인구수,"30,819","6,126","4,750",311,118,"1,544","1,420","2,108","1,864","2,365",915,"1,244","1,583","1,078","1,514","1,106","1,427",604,742
2021년05월_남_0~9세,"1,278",496,252,11,0,35,38,62,33,60,30,16,49,31,63,39,31,12,20
2021년05월_남_10~19세,"2,007",758,392,11,5,48,59,99,80,119,42,50,68,60,60,42,57,26,31
2021년05월_남_20~29세,"2,366",696,412,8,8,89,78,143,122,147,43,77,123,72,119,71,71,35,52
2021년05월_남_30~39세,"1,922",556,349,14,12,84,93,99,92,110,38,46,89,56,90,62,59,34,39
2021년05월_남_40~49세,"3,553",908,615,17,28,160,136,199,190,271,100,137,156,88,168,104,137,53,86
2021년05월_남_50~59세,"5,636","1,058",903,16,26,297,270,381,353,448,171,229,302,200,277,211,255,109,130
2021년05월_남_60~69세,"6,417",855,921,54,16,367,347,460,424,515,213,310,374,291,343,270,318,143,196
2021년05월_남_70~79세,"4,949",569,647,96,15,286,238,410,384,424,174,249,254,183,254,196,307,130,133
2021년05월_남_80~89세,"2,413",208,241,74,8,157,143,235,172,242,90,116,145,93,112,103,174,51,49
2021년05월_남_90~99세,272,20,18,10,0,20,18,19,14,29,13,14,23,4,28,7,18,11,6
2021년05월_남_100세 이상,6,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
2021년05월_여_총인구수,"32,615","6,348","4,966",305,106,"1,569","1,537","2,232","1,995","2,535",970,"1,384","1,730","1,209","1,588","1,158","1,589",663,731
2021년05월_여_연령구간인구수,"32,615","6,348","4,966",305,106,"1,569","1,537","2,232","1,995","2,535",970,"1,384","1,730","1,209","1,588","1,158","1,589",663,731
2021년05월_여_0~9세,"1,294",508,264,13,1,32,43,56,59,69,22,24,43,31,46,28,25,16,14
2021년05월_여_10~19세,"1,727",642,352,11,8,45,61,90,85,98,49,40,44,44,52,27,43,14,22
2021년05월_여_20~29세,"1,695",545,331,10,1,41,67,89,80,83,36,35,94,47,89,32,60,24,31
2021년05월_여_30~39세,"1,629",590,324,13,3,48,48,73,54,94,29,38,62,60,66,40,36,17,34
2021년05월_여_40~49세,"2,589",937,547,15,5,64,88,138,104,154,47,63,86,63,96,38,71,29,44
2021년05월_여_50~59세,"4,397",928,767,16,17,167,196,290,283,349,110,172,255,135,185,166,176,86,99
2021년05월_여_60~69세,"6,485",973,980,43,14,335,278,480,437,552,221,297,363,283,360,251,307,137,174
2021년05월_여_70~79세,"6,417",661,826,81,28,430,347,539,417,585,225,318,365,281,321,251,408,179,155
2021년05월_여_80~89세,"5,334",447,487,83,26,337,337,420,391,471,198,310,351,214,322,286,377,134,143
2021년05월_여_90~99세,"1,007",110,84,20,3,70,71,56,79,74,32,86,61,51,47,39,83,26,15
2021년05월_여_100세 이상,41,7,4,0,0,0,1,1,6,6,1,1,6,0,4,0,3,1,0
