카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년12월_계_총인구수,"23,748","9,426","2,186","3,970","2,576","4,194","1,396"
2021년12월_계_연령구간인구수,"23,748","9,426","2,186","3,970","2,576","4,194","1,396"
2021년12월_계_0~9세,"1,066",659,48,144,63,117,35
2021년12월_계_10~19세,"1,772","1,006",102,263,110,240,51
2021년12월_계_20~29세,"1,697",852,102,329,136,222,56
2021년12월_계_30~39세,"1,622",863,126,236,104,226,67
2021년12월_계_40~49세,"2,720","1,402",179,454,224,361,100
2021년12월_계_50~59세,"4,122","1,529",422,772,436,739,224
2021년12월_계_60~69세,"4,664","1,347",546,817,595,987,372
2021년12월_계_70~79세,"3,253",979,343,541,460,667,263
2021년12월_계_80~89세,"2,468",682,276,366,393,558,193
2021년12월_계_90~99세,343,99,41,45,53,71,34
2021년12월_계_100세 이상,21,8,1,3,2,6,1
2021년12월_남_총인구수,"11,826","4,697","1,088","2,004","1,259","2,080",698
2021년12월_남_연령구간인구수,"11,826","4,697","1,088","2,004","1,259","2,080",698
2021년12월_남_0~9세,571,361,28,79,27,60,16
2021년12월_남_10~19세,893,493,59,147,52,117,25
2021년12월_남_20~29세,936,463,56,168,79,134,36
2021년12월_남_30~39세,907,452,72,143,66,136,38
2021년12월_남_40~49세,"1,492",725,112,249,124,220,62
2021년12월_남_50~59세,"2,282",849,213,435,247,406,132
2021년12월_남_60~69세,"2,427",668,286,430,324,516,203
2021년12월_남_70~79세,"1,370",422,157,214,184,284,109
2021년12월_남_80~89세,870,243,94,131,142,190,70
2021년12월_남_90~99세,75,21,10,8,14,15,7
2021년12월_남_100세 이상,3,0,1,0,0,2,0
2021년12월_여_총인구수,"11,922","4,729","1,098","1,966","1,317","2,114",698
2021년12월_여_연령구간인구수,"11,922","4,729","1,098","1,966","1,317","2,114",698
2021년12월_여_0~9세,495,298,20,65,36,57,19
2021년12월_여_10~19세,879,513,43,116,58,123,26
2021년12월_여_20~29세,761,389,46,161,57,88,20
2021년12월_여_30~39세,715,411,54,93,38,90,29
2021년12월_여_40~49세,"1,228",677,67,205,100,141,38
2021년12월_여_50~59세,"1,840",680,209,337,189,333,92
2021년12월_여_60~69세,"2,237",679,260,387,271,471,169
2021년12월_여_70~79세,"1,883",557,186,327,276,383,154
2021년12월_여_80~89세,"1,598",439,182,235,251,368,123
2021년12월_여_90~99세,268,78,31,37,39,56,27
2021년12월_여_100세 이상,18,8,0,3,2,4,1
