카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년11월_계_총인구수,"431,313","16,587","22,949","15,508","14,719","23,950","14,965","15,392","18,187","23,010","15,062","24,916","35,542","16,637","38,889","26,416","19,500","24,342","13,720","15,888","35,134"
2021년11월_계_연령구간인구수,"431,313","16,587","22,949","15,508","14,719","23,950","14,965","15,392","18,187","23,010","15,062","24,916","35,542","16,637","38,889","26,416","19,500","24,342","13,720","15,888","35,134"
2021년11월_계_0~9세,"27,524",733,"1,021",522,777,"1,900",422,940,"1,386","1,407",563,"1,470","3,637","1,428","2,507","1,922","1,000","1,740",566,"1,679","1,904"
2021년11월_계_10~19세,"36,126","1,140","1,798",916,"1,221","2,742",798,918,"1,709","1,781",904,"2,084","4,950","1,422","3,589","2,556","1,415","1,887",850,"1,328","2,118"
2021년11월_계_20~29세,"65,737","2,730","4,218","4,561","1,963","2,854","5,211","2,603","2,237","3,190","3,091","3,232","3,378","2,015","5,586","2,985","3,486","3,353","1,951","1,992","5,101"
2021년11월_계_30~39세,"58,591","2,489","3,225","2,497","1,918","2,937","2,061","2,556","2,524","3,058","1,842","3,043","4,238","2,413","5,039","3,497","2,704","3,381","1,805","2,477","4,887"
2021년11월_계_40~49세,"67,666","2,507","3,427","1,949","2,065","4,255","1,572","2,305","3,123","3,436","1,786","4,048","7,750","2,843","6,203","4,450","2,736","3,714","1,870","2,622","5,005"
2021년11월_계_50~59세,"69,261","2,748","3,694","1,952","2,650","4,141","1,949","2,517","2,829","3,782","2,327","4,189","5,158","2,758","6,345","4,239","3,010","4,214","2,383","2,501","5,875"
2021년11월_계_60~69세,"56,754","2,096","2,795","1,529","2,222","2,807","1,512","1,965","2,286","3,445","2,297","3,654","3,382","2,166","4,975","3,666","2,748","3,459","2,258","1,972","5,520"
2021년11월_계_70~79세,"32,536","1,278","1,777","1,024","1,246","1,440",928,"1,046","1,356","1,936","1,423","2,134","2,057","1,072","2,850","2,113","1,585","1,750","1,357",924,"3,240"
2021년11월_계_80~89세,"15,014",723,881,480,583,733,451,479,656,856,720,921,863,457,"1,545",886,719,756,608,351,"1,346"
2021년11월_계_90~99세,"2,029",137,102,73,69,138,57,59,79,115,106,139,125,62,243,102,95,86,70,37,135
2021년11월_계_100세 이상,75,6,11,5,5,3,4,4,2,4,3,2,4,1,7,0,2,2,2,5,3
2021년11월_남_총인구수,"207,979","7,760","10,945","6,505","6,889","11,341","7,519","7,433","8,752","11,123","7,495","12,013","16,882","7,983","19,294","12,753","9,391","11,914","6,771","7,826","17,390"
2021년11월_남_연령구간인구수,"207,979","7,760","10,945","6,505","6,889","11,341","7,519","7,433","8,752","11,123","7,495","12,013","16,882","7,983","19,294","12,753","9,391","11,914","6,771","7,826","17,390"
2021년11월_남_0~9세,"14,067",354,534,253,381,959,215,469,726,722,298,768,"1,865",739,"1,291",965,534,876,287,857,974
2021년11월_남_10~19세,"18,365",592,921,387,598,"1,346",407,442,855,940,467,"1,093","2,420",757,"1,974","1,240",725,979,429,670,"1,123"
2021년11월_남_20~29세,"31,488","1,261","1,907","1,508",902,"1,405","2,688","1,237","1,105","1,577","1,725","1,649","1,624",934,"2,958","1,411","1,474","1,689",961,965,"2,508"
2021년11월_남_30~39세,"29,282","1,200","1,584","1,139",941,"1,385","1,161","1,321","1,253","1,568","1,054","1,477","1,902","1,163","2,571","1,729","1,420","1,757",933,"1,189","2,535"
2021년11월_남_40~49세,"33,362","1,198","1,683",927,974,"2,000",804,"1,160","1,500","1,699",885,"1,992","3,683","1,358","3,050","2,215","1,383","1,865","1,016","1,352","2,618"
2021년11월_남_50~59세,"34,136","1,297","1,833",968,"1,273","1,988",975,"1,235","1,389","1,803","1,141","2,028","2,653","1,352","3,150","2,125","1,517","2,047","1,211","1,253","2,898"
2021년11월_남_60~69세,"26,693",984,"1,365",684,"1,026","1,313",705,925,"1,076","1,602","1,024","1,649","1,520","1,019","2,412","1,750","1,327","1,626","1,057",950,"2,679"
2021년11월_남_70~79세,"14,172",526,753,435,559,623,386,450,566,858,606,950,860,473,"1,217",931,703,765,613,443,"1,455"
2021년11월_남_80~89세,"5,896",304,334,182,217,288,166,186,263,326,272,373,332,177,593,358,285,290,244,140,566
2021년11월_남_90~99세,501,42,29,22,18,34,10,7,19,26,23,34,23,11,75,29,22,19,20,6,32
2021년11월_남_100세 이상,17,2,2,0,0,0,2,1,0,2,0,0,0,0,3,0,1,1,0,1,2
