카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년08월_계_총인구수,"42,802","6,768","18,362","8,969","8,703"
2020년08월_계_연령구간인구수,"42,802","6,768","18,362","8,969","8,703"
2020년08월_계_0~9세,"3,999",617,"1,279","1,344",759
2020년08월_계_10~19세,"6,381",893,"2,382","2,005","1,101"
2020년08월_계_20~29세,"4,859",698,"2,364",796,"1,001"
2020년08월_계_30~39세,"4,665",663,"1,662","1,402",938
2020년08월_계_40~49세,"8,441","1,129","3,214","2,539","1,559"
2020년08월_계_50~59세,"6,909","1,260","3,451",704,"1,494"
2020년08월_계_60~69세,"4,291",917,"2,120",93,"1,161"
2020년08월_계_70~79세,"2,009",386,"1,112",59,452
2020년08월_계_80~89세,"1,067",158,678,25,206
2020년08월_계_90~99세,171,44,95,2,30
2020년08월_계_100세 이상,10,3,5,0,2
2020년08월_남_총인구수,"21,300","3,292","9,003","4,651","4,354"
2020년08월_남_연령구간인구수,"21,300","3,292","9,003","4,651","4,354"
2020년08월_남_0~9세,"2,030",311,674,672,373
2020년08월_남_10~19세,"3,335",446,"1,259","1,052",578
2020년08월_남_20~29세,"2,715",375,"1,292",460,588
2020년08월_남_30~39세,"2,295",314,826,688,467
2020년08월_남_40~49세,"4,110",526,"1,539","1,310",735
2020년08월_남_50~59세,"3,471",628,"1,682",427,734
2020년08월_남_60~69세,"2,077",451,"1,027",22,577
2020년08월_남_70~79세,887,187,469,12,219
2020년08월_남_80~89세,343,47,216,7,73
2020년08월_남_90~99세,37,7,19,1,10
2020년08월_남_100세 이상,0,0,0,0,0
2020년08월_여_총인구수,"21,502","3,476","9,359","4,318","4,349"
2020년08월_여_연령구간인구수,"21,502","3,476","9,359","4,318","4,349"
2020년08월_여_0~9세,"1,969",306,605,672,386
2020년08월_여_10~19세,"3,046",447,"1,123",953,523
2020년08월_여_20~29세,"2,144",323,"1,072",336,413
2020년08월_여_30~39세,"2,370",349,836,714,471
2020년08월_여_40~49세,"4,331",603,"1,675","1,229",824
2020년08월_여_50~59세,"3,438",632,"1,769",277,760
2020년08월_여_60~69세,"2,214",466,"1,093",71,584
2020년08월_여_70~79세,"1,122",199,643,47,233
2020년08월_여_80~89세,724,111,462,18,133
2020년08월_여_90~99세,134,37,76,1,20
2020년08월_여_100세 이상,10,3,5,0,2
