,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년12월_계_총인구수,"542,040","45,777","41,389","31,412","48,926","30,437","28,304","6,637","9,804","22,742","13,415","14,195","32,203","12,251","20,441","16,555","10,865","33,016","22,826","24,579","28,339","24,733","23,194"
2020년12월_계_연령구간인구수,"542,040","45,777","41,389","31,412","48,926","30,437","28,304","6,637","9,804","22,742","13,415","14,195","32,203","12,251","20,441","16,555","10,865","33,016","22,826","24,579","28,339","24,733","23,194"
2020년12월_계_0~9세,"49,907","4,598","2,422","3,853","6,852","4,730","3,296",340,467,"1,231",698,611,"2,765",628,"1,408",663,785,"2,695","1,930","2,548","2,956","2,300","2,131"
2020년12월_계_10~19세,"56,627","4,451","3,551","4,434","6,316","3,847","2,117",424,764,"1,562",937,"1,233","3,018",881,"1,944","1,276",797,"3,442","2,838","3,508","3,328","2,675","3,284"
2020년12월_계_20~29세,"72,603","6,520","6,570","3,921","5,747","3,276","3,482","1,024","1,577","3,289","1,731","2,175","4,311","1,745","2,962","2,351","1,380","4,736","2,868","2,750","3,875","3,152","3,161"
2020년12월_계_30~39세,"79,439","8,296","4,943","5,768","8,238","5,659","4,950",908,"1,185","2,962","1,572","1,537","4,501","1,581","2,554","1,837","1,672","4,651","2,571","3,350","4,566","3,285","2,853"
2020년12월_계_40~49세,"95,351","8,522","6,290","6,525","10,066","6,130","4,513",845,"1,329","3,244","1,886","2,079","4,974","1,855","3,046","2,271","1,592","5,882","4,487","5,582","5,481","4,317","4,435"
2020년12월_계_50~59세,"93,412","6,914","8,718","4,015","6,608","3,938","4,681","1,621","2,250","4,747","2,803","3,006","6,065","2,525","4,001","3,385","2,001","5,775","3,929","3,614","4,523","4,427","3,866"
2020년12월_계_60~69세,"58,312","4,035","5,286","1,899","3,458","2,008","3,304","1,008","1,456","3,528","2,279","2,133","4,319","1,792","2,874","2,834","1,663","3,509","2,200","1,797","2,193","2,747","1,990"
2020년12월_계_70~79세,"24,355","1,723","2,269",659,"1,122",576,"1,321",295,504,"1,500","1,034",960,"1,590",857,"1,069","1,279",633,"1,577","1,318",968,919,"1,212",970
2020년12월_계_80~89세,"10,255",614,"1,133",294,435,225,533,132,243,576,402,408,559,342,484,553,279,644,621,395,433,518,432
2020년12월_계_90~99세,"1,669",100,192,42,80,47,100,33,26,93,69,51,94,42,96,99,57,93,58,63,63,99,72
2020년12월_계_100세 이상,110,4,15,2,4,1,7,7,3,10,4,2,7,3,3,7,6,12,6,4,2,1,0
2020년12월_남_총인구수,"273,778","23,293","21,074","15,632","24,351","15,065","14,194","3,493","4,922","11,702","6,961","7,151","16,119","6,558","9,954","8,421","5,605","17,093","11,577","12,443","14,137","12,605","11,428"
2020년12월_남_연령구간인구수,"273,778","23,293","21,074","15,632","24,351","15,065","14,194","3,493","4,922","11,702","6,961","7,151","16,119","6,558","9,954","8,421","5,605","17,093","11,577","12,443","14,137","12,605","11,428"
2020년12월_남_0~9세,"25,830","2,405","1,223","2,017","3,584","2,426","1,740",164,232,634,350,349,"1,395",339,731,336,384,"1,424",990,"1,352","1,495","1,156","1,104"
2020년12월_남_10~19세,"29,021","2,350","1,835","2,215","3,243","1,953","1,100",219,403,819,493,599,"1,495",456,972,675,435,"1,761","1,457","1,794","1,724","1,381","1,642"
2020년12월_남_20~29세,"37,666","3,326","3,557","1,914","2,885","1,635","1,762",590,813,"1,766",976,"1,149","2,231",944,"1,539","1,242",701,"2,519","1,542","1,433","1,940","1,639","1,563"
2020년12월_남_30~39세,"40,572","4,269","2,631","2,865","3,869","2,625","2,467",500,662,"1,693",859,872,"2,305",929,"1,291","1,022",886,"2,525","1,317","1,643","2,287","1,667","1,388"
2020년12월_남_40~49세,"48,637","4,434","3,222","3,213","5,017","3,086","2,399",470,675,"1,777","1,029","1,083","2,537","1,043","1,447","1,168",848,"3,040","2,260","2,767","2,712","2,227","2,183"
2020년12월_남_50~59세,"47,408","3,472","4,407","2,065","3,312","1,959","2,313",830,"1,067","2,382","1,425","1,490","2,998","1,379","1,874","1,700","1,032","3,040","2,104","2,018","2,315","2,284","1,942"
2020년12월_남_60~69세,"29,678","2,001","2,761",961,"1,753","1,046","1,628",538,776,"1,750","1,185","1,051","2,196",952,"1,437","1,441",900,"1,820","1,063",839,"1,087","1,484","1,009"
2020년12월_남_70~79세,"11,225",802,990,281,524,268,612,144,217,701,500,433,769,387,494,621,314,730,580,430,398,587,443
2020년12월_남_80~89세,"3,379",213,397,98,150,59,154,31,72,157,130,120,179,114,146,192,88,215,244,153,159,167,141
2020년12월_남_90~99세,325,19,44,3,13,7,17,4,4,19,14,5,13,13,22,23,15,15,18,13,19,12,13
2020년12월_남_100세 이상,37,2,7,0,1,1,2,3,1,4,0,0,1,2,1,1,2,4,2,1,1,1,0
2020년12월_여_총인구수,"268,262","22,484","20,315","15,780","24,575","15,372","14,110","3,144","4,882","11,040","6,454","7,044","16,084","5,693","10,487","8,134","5,260","15,923","11,249","12,136","14,202","12,128","11,766"
2020년12월_여_연령구간인구수,"268,262","22,484","20,315","15,780","24,575","15,372","14,110","3,144","4,882","11,040","6,454","7,044","16,084","5,693","10,487","8,134","5,260","15,923","11,249","12,136","14,202","12,128","11,766"
2020년12월_여_0~9세,"24,077","2,193","1,199","1,836","3,268","2,304","1,556",176,235,597,348,262,"1,370",289,677,327,401,"1,271",940,"1,196","1,461","1,144","1,027"
2020년12월_여_10~19세,"27,606","2,101","1,716","2,219","3,073","1,894","1,017",205,361,743,444,634,"1,523",425,972,601,362,"1,681","1,381","1,714","1,604","1,294","1,642"
2020년12월_여_20~29세,"34,937","3,194","3,013","2,007","2,862","1,641","1,720",434,764,"1,523",755,"1,026","2,080",801,"1,423","1,109",679,"2,217","1,326","1,317","1,935","1,513","1,598"
2020년12월_여_30~39세,"38,867","4,027","2,312","2,903","4,369","3,034","2,483",408,523,"1,269",713,665,"2,196",652,"1,263",815,786,"2,126","1,254","1,707","2,279","1,618","1,465"
2020년12월_여_40~49세,"46,714","4,088","3,068","3,312","5,049","3,044","2,114",375,654,"1,467",857,996,"2,437",812,"1,599","1,103",744,"2,842","2,227","2,815","2,769","2,090","2,252"
2020년12월_여_50~59세,"46,004","3,442","4,311","1,950","3,296","1,979","2,368",791,"1,183","2,365","1,378","1,516","3,067","1,146","2,127","1,685",969,"2,735","1,825","1,596","2,208","2,143","1,924"
2020년12월_여_60~69세,"28,634","2,034","2,525",938,"1,705",962,"1,676",470,680,"1,778","1,094","1,082","2,123",840,"1,437","1,393",763,"1,689","1,137",958,"1,106","1,263",981
2020년12월_여_70~79세,"13,130",921,"1,279",378,598,308,709,151,287,799,534,527,821,470,575,658,319,847,738,538,521,625,527
2020년12월_여_80~89세,"6,876",401,736,196,285,166,379,101,171,419,272,288,380,228,338,361,191,429,377,242,274,351,291
2020년12월_여_90~99세,"1,344",81,148,39,67,40,83,29,22,74,55,46,81,29,74,76,42,78,40,50,44,87,59
2020년12월_여_100세 이상,73,2,8,2,3,0,5,4,2,6,4,2,6,1,2,6,4,8,4,3,1,0,0
